ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,NetCap,PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
44800,Participating Unit,Yes,Yes,DIVSON_6_NSQF,Division,47,SDGE,SDG&E Exempt,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SDG1,1/1/1989,,48.6,A,,8.02602874,6.637710187,6.898655927,7.159601666,19,47,6,6,2,58.53075811,3290
93000,Participating Unit,No,Yes,PALOMR_2_PL1X3,PALOMAR ENERGY CENTER,575,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,3/31/2006,,595,A,,11.08579554,9.697476986,9.958422726,10.21936847,230,575,2,2,2,716.0677854,40250
98000,Participating Unit,No,No,OTMESA_2_PL1X3,Otay,603.68,SDGE,"Otay Mesa Energy Center, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,10/3/2009,,669,A,,11.00844857,9.620130014,9.881075754,10.14202149,242,604,1,1,2,751.7840012,42257.6
83900,Participating Unit,No,Yes,LAROA2_2_UNITA1,CENTRAL LA ROSITA II COMBINED CYCLE (AGGREGATE),322,SDGE,Energia de Baja California,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,7/22/2003,,336.5,A,,9.248566127,7.860247574,8.121193313,8.382139053,129,322,4,4,2,400.9979598,22540
84300,Participating Unit,No,Yes,TERMEX_2_PL1X3,TERMOELCTRICA DE MEXICALI (Aggregate),625,SDGE,Termoelectrica De Mexicali,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,7/30/2003,,668,A,,9.248566127,7.860247574,8.121193313,8.382139053,250,625,4,4,2,778.3345493,43750
60500,Participating Unit,Yes,No,PTLOMA_6_NTCQF,NTC/MCRD COGENERATION,22.3,SDGE,SDG&E Exempt,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1989,,22.3,A,,10.53767547,8.626787402,8.691812164,8.756836926,17,23,1,1,3.17,34.31742529,1561
43900,Participating Unit,Yes,Yes,SAMPSN_6_KELCO1,CPK,25,SDGE,"CP Kelco U.S., Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,3/5/2014,,26.95,A,,9.929203496,8.018315431,8.083340193,8.148364955,202,25,1,1,3.17,38.47244988,1750
60100,Participating Unit,Yes,No,NIMTG_6_NIQF,North Island,42.7,SDGE,SDG&E Exempt,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1989,,34.5,A,,9.552117161,7.641229095,7.706253857,7.771278619,212,43,1,1,3.17,65.71094439,2989
48200,Participating Unit,Yes,No,ESCO_6_GLMQF,Goal Line,49.9,SDGE,"Goal Line, L.P.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1994,,52.2,A,,8.881998014,6.971109948,7.03613471,7.101159473,113,50,1,1,3.17,76.79100996,3493
96300,Participating Unit,No,No,OTAY_6_PL1X2,Chula Vista Energy Center,35.5,SDGE,"Chula Vista Energy Center, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/8/2006,,44.02,A,,21.23834144,19.32745337,19.39247813,19.4575029,8,36,1,1,3.17,54.63087883,2485
