ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Operating Date,Comments,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO
113600,Non-Participating,No,No,TUPMAN_1_BIOGAS,ABEC Bidart-Stockale #1,0.6,PGAE,ABEC Bidart-Stockdale LLC,BIOMASS,INTERNAL COMBUSTION,LANDFILL GAS,ZP26,PGE4,3/20/2013,,,0.6,A
35400,Non-Participating,Yes,No,,ARCADIA U.S.D. - ARCADIA HIGH SCHOOL,0.07,SCE,2344,COGENERATION,,,SP15,SCE1,1/23/1989,,,0.07,A
35700,Non-Participating,Yes,No,AZUSA_2_HYDRO,AZUSA HYDRO,2.5,SCE,PASADENA,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1949,,,2.5,A
35800,Non-Participating,Yes,No,,B. BRAUN MEDICAL INC.,6.1,SCE,2462,COGENERATION,,NATURAL GAS,SP15,SCE1,2/21/1995,,,6.1,A
36400,Non-Participating,Yes,No,,BASSETT UNIFIED SCHOOL DIST (BASSETT HS),0.07,SCE,2355,COGENERATION,,,SP15,SCE1,7/1/1988,,,0.07,A
36700,Non-Participating,Yes,No,,BERRYMAN HEALTH #1,0.04,SCE,2458,COGENERATION,,,SP15,SCE1,11/18/1993,,,0.04,A
36800,Non-Participating,Yes,No,,BERRYMAN HEALTH #2,0.04,SCE,2471,COGENERATION,,,SP15,SCE1,3/1/1995,,,0.09,A
35600,Non-Participating,Yes,No,,BP AMOCO (Formerly ARCO PETROLEUM PRODUCTS),8,SCE,2060,COGENERATION,,NATURAL GAS,SP15,SCE1,5/1/1985,,,8,A
37300,Non-Participating,Yes,No,,BREA-OLINDA UNIFIED SCHOOL DISTRICT,0.07,SCE,2386,COGENERATION,,,SP15,SCE1,3/9/1990,,,0.07,A
99300,Non-Participating,Yes,No,BLULKE_6_BLUELK,Blue lake Power,12,PGAE,"Blue lake Power, LLC",BIOMASS,STEAM,WOOD WASTE,NP15,SCE1,9/9/2010,End SC association 10/28/2015.,,13.8,A
37700,Non-Participating,Yes,No,,"CAL POLY UNIVERSITY, POMONA",0.12,SCE,2149,COGENERATION,,,SP15,SCE1,9/3/1987,,,0.12,A
37900,Non-Participating,Yes,No,,CALIFORNIA STATE UNIV. LONG BEACH (POOL),0.2,SCE,2235,COGENERATION,,,SP15,SCE1,5/31/1987,,,0.2,A
38500,Non-Participating,Yes,No,,CAMPBELL MOTEL & PROPERTIES INC.,0.04,SCE,2442,COGENERATION,,,SP15,SCE1,2/7/1992,,,0.04,A
39100,Non-Participating,Yes,No,,CERRITOS COLLEGE,0.15,SCE,2182,COGENERATION,,,SP15,SCE1,12/31/1985,,,0.15,A
39200,Non-Participating,Yes,No,,CHAFFEY JOINT U.H.S.D. (ETIWANDA HIGH SCHOOL),0.08,SCE,2446,COGENERATION,,,SP15,SCE1,10/11/1993,,,0.08,A
39300,Non-Participating,Yes,No,,CHAFFEY JOINT UNION HI SCH-MONTCLAIR HS,0.07,SCE,2358,COGENERATION,,,SP15,SCE1,3/30/1990,,,0.07,A
39500,Non-Participating,Yes,No,,CHAFFEY U.S.D./ONTARIO HIGH SCHOOL,0.08,SCE,2219,COGENERATION,,,SP15,SCE1,7/1/1986,,,0.08,A
39700,Non-Participating,Yes,No,,CHARTER OAK HIGH SCHOOL DIST.,0.09,SCE,2478,COGENERATION,COMBUSTION TURBINE,,SP15,SCE1,1/30/1996,,,0.09,A
39800,Non-Participating,Yes,No,,CHEVRON USA,0,SCE,2155,COGENERATION,COMBUSTION TURBINE,,SP15,SCE1,12/29/1987,Does not export to grid.,,76.7,A
40600,Non-Participating,Yes,No,,"CHEVRON, USA, INCORPORATED #1",0,SCE,2005,COGENERATION,STEAM,,SP15,SCE1,5/29/1984,Self-gen. No export to grid.,,1.5,A
41000,Non-Participating,Yes,No,,CITY OF VENTURA/EASTSIDE WTR RENOVATION,0.55,SCE,2401,COGENERATION,,,SP15,SCE1,4/2/1992,,,0.55,A
41200,Non-Participating,Yes,No,,CLARKE & RUSH MECHANICAL (WHITTIER COLLEGE),0.06,SCE,2273,COGENERATION,,,SP15,SCE1,5/20/1988,,,0.06,A
41300,Non-Participating,Yes,No,,CO. SAN. DIST #32 OF L.A. CO. (VALENCIA),0.5,SCE,1068,BIOMASS,,,SP15,SCE1,1/1/1987,,,0.5,A
42100,Non-Participating,Yes,No,,CONEJO VALLEY U. S. D. (THOUSAND OAKS),0.08,SCE,2326,COGENERATION,,,SP15,SCE1,12/9/1987,,,0.08,A
42200,Non-Participating,Yes,No,,CONEJO VALLEY U.S.D. (NEWBURY PK HI SCH),0.08,SCE,2268,COGENERATION,,,SP15,SCE1,6/5/1987,,,0.08,A
43300,Non-Participating,Yes,No,,"COTIJA CHEESE, INCORPORATED",0.12,SCE,2473,COGENERATION,,,SP15,SCE1,5/4/1995,,,0.12,A
39400,Non-Participating,Yes,No,,Chaffey U.S.D. (Chaffey High School),0.08,SCE,2433,COGENERATION,,,SP15,SCE1,2/28/1992,,,0.08,A
6300,Non-Participating,No,No,CWATER_7_UNIT 1,Coolwater Unit 1,63,SCE,NRG California South LP,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1961,Non-Participating as of 1/22/2015,,65,A
6400,Non-Participating,No,No,CWATER_7_UNIT 2,Coolwater Unit 2,81.5,SCE,NRG California South LP,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1964,Non-Participating as of 1/22/2015,,71,A
45600,Non-Participating,Yes,No,,ENCINA POLLUTION CONTROL,0,SDGE,15089,COGENERATION,RECIPROCATING ENGINE,NATURAL GAS,SP15,SDG1,1/1/1984,No export to grid. No telemetry. No metering.,,2.3,A
98100,Non-Participating,No,No,ETIWND_2_SOLAR,FONTANA RT SOLAR,2,SCE,Southern California Edison,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,6/30/2009,Changed to non-participant 3/29/2012,,2,A
46400,Non-Participating,Yes,No,,FRED L. HARTLEY RESEARCH CENTER (UNION OIL CO.),0.25,SCE,2457,COGENERATION,,,SP15,SCE1,,,,0.25,A
