PNAME,ORISPL,PLPRMFL,PLFUELCT,NAMEPCAP
1420 Coil Av #C,57310,SUN,SOLAR,1.3
2081 Terzian Solar Project,58918,SUN,SOLAR,1.2
2097 Helton Solar Project,58920,SUN,SOLAR,1.5
2127 Harris Solar Project,58919,SUN,SOLAR,1.3
2555 E Olympic Bl,57871,SUN,SOLAR,1
85 A,52162,WND,WIND,14.1
85 B,52163,WND,WIND,21.2
A G Wishon,293,WAT,HYDRO,12.8
ABEC #2 dba West-Star Dairy,61501,OBG,BIOMASS,1
ABEC #3 dba Lakeview Dairy,61502,OBG,BIOMASS,1
ABEC #4 dba CE&S Dairy,61503,OBG,BIOMASS,1
ABEC Bidart-Old River LLC,58699,OBG,BIOMASS,2
Acorn I Energy Storage LLC,62874,MWH,OTHF,2
"Adelanto Solar II, LLC",59440,SUN,SOLAR,7
Adelanto Solar Project,57305,SUN,SOLAR,10
"Adelanto Solar, LLC",59441,SUN,SOLAR,20
Adera Solar,60027,SUN,SOLAR,20
Adobe San Jose,57811,NG,GAS,1.2
Adobe Solar,57651,SUN,SOLAR,20
Aera San Ardo Cogen Facility,55184,NG,GAS,6.2
Aera South Belridge Cogen Facility,55185,NG,GAS,9
Aerojet I,57697,SUN,SOLAR,3
Aerojet II,57698,SUN,SOLAR,2.7
Aerolease,61718,SUN,SOLAR,1.5
AES Alamitos,315,NG,GAS,"2,055.00"
AES Alamitos Energy Center,62115,NG,GAS,678
"AES ES ALAMITOS, LLC",61204,MWH,OTHF,100
AES Huntington Beach,335,NG,GAS,"1,021.00"
AES Huntington Beach Energy Project,62116,NG,GAS,678
AES Redondo Beach,356,NG,GAS,"1,316.40"
Agnews Power Plant,50748,NG,GAS,32
Agua Mansa Power,55951,NG,GAS,60.5
Aidlin Geothermal Power Plant,52158,GEO,GEOTHERMAL,25
Alameda,7450,NG,GAS,54.8
Alamo,905,WAT,HYDRO,19.6
Alamo Solar,59469,SUN,SOLAR,20
Algonquin Power Sanger,57564,NG,GAS,74
"Algonquin SKIC 10 Solar, LLC",60242,SUN,SOLAR,10
Algonquin SKIC20 Solar LLC,59412,SUN,SOLAR,20
Almond,62546,SUN,SOLAR,19.9
Almond Power Plant,7315,NG,GAS,223.5
Alpaugh 50,58003,SUN,SOLAR,50
Alpaugh North,58002,SUN,SOLAR,20
Alpine Solar,57295,SUN,SOLAR,132
Alta Mesa Project Phase IV,55352,WND,WIND,40
Alta Powerhouse,214,WAT,HYDRO,2
Alta Wind Energy Center I,57282,WND,WIND,150
Alta Wind Energy Center II,57291,WND,WIND,150
Alta Wind Energy Center III,57292,WND,WIND,150
Alta Wind Energy Center IV,57293,WND,WIND,102
Alta Wind Energy Center V,57294,WND,WIND,168
Alta Wind VIII,57835,WND,WIND,150
Alta Wind X,58394,WND,WIND,138
Alta Wind XI,58395,WND,WIND,90
AltaGas Pomona Energy Inc.,50300,MWH,OTHF,66
AltaGas Ripon Energy Inc.,50299,NG,GAS,49.5
Altamont Gas Recovery,50571,LFG,BIOMASS,8.6
Altamont Midway Ltd,50001,WND,WIND,10.9
Altech III,50485,WND,WIND,25.1
Alvarado Hydro Facility,54242,WAT,HYDRO,2.1
Amazon - Patterson PV,61377,SUN,SOLAR,2.5
Amazon San Bernardino,59800,NG,GAS,1.1
Amedee Geothermal Venture I,50964,GEO,GEOTHERMAL,3
Ameresco Butte County,57771,LFG,BIOMASS,2.3
Ameresco Chiquita Canyon,56898,LFG,BIOMASS,9.2
Ameresco Forward,58437,LFG,BIOMASS,4.4
Ameresco Johnson Canyon,58397,LFG,BIOMASS,1.4
Ameresco Keller Canyon,56897,LFG,BIOMASS,3.8
Ameresco Ox Mountain,56895,LFG,BIOMASS,11.4
Ameresco San Joaquin,58436,LFG,BIOMASS,4.4
Ameresco Santa Cruz Energy,56428,LFG,BIOMASS,3
Ameresco Vasco Road,58435,LFG,BIOMASS,4.4
American Canyon Solar,62687,SUN,SOLAR,3
"American Kings Solar, LLC",60777,SUN,SOLAR,123
Ampersand Chowchilla Biomass LLC,56706,WDS,BIOMASS,12.5
Anaheim Combustion Turbine,7693,NG,GAS,49.2
Anaheim Solar Energy Plant,59416,SUN,SOLAR,2.1
Angels,215,WAT,HYDRO,1.4
Anheuser-Busch #2,59331,WND,WIND,1.6
Antelope Big Sky Ranch,60279,SUN,SOLAR,20
Antelope DSR 1,60186,SUN,SOLAR,50
Antelope DSR 2,60187,SUN,SOLAR,5
Antelope DSR 3,61265,SUN,SOLAR,20
Antelope Expansion 1B,62320,SUN,SOLAR,17
Antelope Expansion 2,61264,SUN,SOLAR,105
Antelope Expansion 3A,62673,SUN,SOLAR,15
Antelope Expansion 3B,62674,SUN,SOLAR,5
"AP North Lake I, LP",59610,SUN,SOLAR,20
APP Prune A-D,62577,NG,GAS,4
Apple Campus 2 Fuel Cell,59557,LFG,BIOMASS,4
Apple Campus 2 PV,59473,SUN,SOLAR,14.4
Aquamarine,62547,SUN,SOLAR,250
Argus Cogen Plant,10684,RC,COAL,62.5
Arrache 4006,58445,SUN,SOLAR,2
Arrache 4013,58446,SUN,SOLAR,1.5
Arrache 8083,58447,SUN,SOLAR,4
Aspiration G,59737,SUN,SOLAR,9
ASTI,58889,SUN,SOLAR,1
AT&T Anaheim,61154,NG,GAS,1.3
AT&T Holger,61153,NG,GAS,1.3
ATT  Kelvin,62573,NG,GAS,1
ATT Van Nyus,62574,NG,GAS,1
Atwell Island,58366,SUN,SOLAR,20.2
Atwell Island West Solar,59414,SUN,SOLAR,20
AV Solar Ranch One,57378,SUN,SOLAR,253
Avenal Park,57359,SUN,SOLAR,6
AVS Lancaster 1,60085,SUN,SOLAR,3.7
Axium Modesto Solar,58039,SUN,SOLAR,25
Azusa,6449,WAT,HYDRO,3
B Braun Medical,50200,NG,GAS,6.1
Badger Creek Limited,10650,NG,GAS,46
Baker Creek Hydroelectric,59428,WAT,HYDRO,1.5
Bakersfield 111,59948,SUN,SOLAR,1.4
Bakersfield College Solar 01,57655,SUN,SOLAR,1.1
Bakersfield Industrial PV 1,61118,SUN,SOLAR,1
Bakersfield PV 1,61117,SUN,SOLAR,5.3
Balch 1,217,WAT,HYDRO,31
Balch 2,218,WAT,HYDRO,97.2
Barre Generating Station,56474,NG,GAS,49.8
"Bayshore Solar A, LLC",60481,SUN,SOLAR,20
"Bayshore Solar B, LLC",60474,SUN,SOLAR,20
"Bayshore Solar C, LLC",60475,SUN,SOLAR,20
Beacon BESS 1,61431,MWH,OTHF,20
Beacon Solar Plant Site 2,59309,SUN,SOLAR,47.3
Beacon Solar Plant Site 5,59308,SUN,SOLAR,37.8
Bear Canyon Power Plant,10469,GEO,GEOTHERMAL,24.4
Bear Creek,50156,WAT,HYDRO,3.2
Bear Creek Solar,58508,SUN,SOLAR,1.5
Bear Mountain Limited,10649,NG,GAS,46
Bear Valley,457,WAT,HYDRO,1.4
Bear Valley Power Plant,56346,NG,GAS,8.4
Beardsley,414,WAT,HYDRO,10
Belden,219,WAT,HYDRO,117.9
Beringer,58890,SUN,SOLAR,1.2
Berry Cogen,50170,NG,GAS,38.7
Berry Cogen Tanne Hills 18,50622,NG,GAS,17.6
Berry NMW Cogens,62176,NG,GAS,9.6
Berry Placerita Cogen,52096,NG,GAS,42.8
Bidwell Ditch Project,10880,WAT,HYDRO,1.8
Big Creek 1,317,WAT,HYDRO,88.4
Big Creek 2,318,WAT,HYDRO,66.6
Big Creek 2A,322,WAT,HYDRO,110
Big Creek 3,319,WAT,HYDRO,174.5
Big Creek 4,320,WAT,HYDRO,100
Big Creek 8,321,WAT,HYDRO,75
Big Creek Water Works,10282,WAT,HYDRO,5
Big Pine Creek,391,WAT,HYDRO,3.2
Big Valley Power LLC,10288,WDS,BIOMASS,9.3
Biola University,54296,NG,GAS,5.5
Bishop Creek 2,323,WAT,HYDRO,7.3
Bishop Creek 3,324,WAT,HYDRO,8.4
Bishop Creek 4,325,WAT,HYDRO,8.2
Bishop Creek 5,326,WAT,HYDRO,4.5
Bishop Creek 6,327,WAT,HYDRO,1.6
Black Butte,7229,WAT,HYDRO,6.1
Black Rock I,57477,GEO,GEOTHERMAL,70
Black Rock II,57478,GEO,GEOTHERMAL,70
Black Rock III,57479,GEO,GEOTHERMAL,70
Blacksand Generating Facility,56090,PRG,OTHF,8
Blackwell Solar Park,59524,SUN,SOLAR,20
Blue Lake Power LLC,10764,WDS,BIOMASS,13.8
Blue Shld Of Cal- El Dorado Hlls Mtr B,62077,SUN,SOLAR,2.1
Blythe Energy,55295,NG,GAS,591
"Blythe Solar 110, LLC",60093,SUN,SOLAR,109.8
"Blythe Solar II, LLC",60092,SUN,SOLAR,131.2
