,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE
46,CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2,5.904059041,875,AERA ENERGY LLC. (Coalinga),Coalinga Cogeneration Facility,50131
44,CALPIN_1_AGNEW,ngcc,PGE_valley,28,8.05,8.31,8.57,12,28,5,5,2,12.91512915,1960,Agnews Power Plant,Agnews Power Plant,50748
169,COLTON_6_AGUAM1,ngct,SCE,43,11.9,11.97,12.03,16,43,1,1,3.17,18.08219178,3010,AGUA MANSA GENERATING FACILITY,Agua Mansa Power,55951
25,ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,11.48,11.55,11.61,9,24,1,1,3.17,10.02739726,1666,Alameda GT Unit 1,Alameda,7450
26,ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,11.48,11.55,11.61,9,26,1,1,3.17,10.68493151,1778,Alameda GT Unit 2,Alameda,7450
209,ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,Alamitos 1,AES Alamitos,315
210,ALAMIT_7_UNIT2,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,Alamitos 2,AES Alamitos,315
211,ALAMIT_7_UNIT3,ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2,68.95705521,23252.6,Alamitos 3,AES Alamitos,315
212,ALAMIT_7_UNIT4,ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2,69.69325153,23496.9,Alamitos 4,AES Alamitos,315
213,ALAMIT_7_UNIT5,ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2,103.3128834,34857.9,Alamitos 5,AES Alamitos,315
214,ALAMIT_7_UNIT6,ngst,SCE,495,11.19,11.89,12.6,198,495,6,6,2,102.6993865,34650,Alamitos 6,AES Alamitos,315
170,ANAHM_7_CT,ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,7693
98,BDGRCK_1_UNITS,ngct,PGE_valley,47.49,7.52,7.58,7.65,17,48,1,1,3.17,20,3324.3,BADGER CREEK LIMITED,Badger Creek Limited,10650
171,BARRE_6_PEAKER,ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,Barre Peaker,Barre Generating Station,56474
109,BEARMT_1_UNIT,ngct,PGE_valley,47.49,7.1,7.17,7.23,17,48,1,1,3.17,20,3324.3,BEAR MOUNTAIN LIMITED,Bear Mountain Limited,10649
105,UNVRSY_1_UNIT1,ngct,PGE_valley,38,7.26,7.32,7.39,14,38,1,1,3.17,15.89041096,2660,BERRY COGEN 38,Berry Cogen,50170
155,TENGEN_2_PL1X2,ngct,SCE,40.2,7.26,7.32,7.39,15,41,1,1,3.17,16.98630137,2814,Berry Cogen 42,Berry Placerita Cogen,52096
