Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,yr,SO2_lbs_MD,NOX_lbs_MD,PM_MD_KWH,CO2rate,NOXrate,SO2rate,Status,,
209,ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,Alamitos 1,AES Alamitos,315,0.104,0.008,"1,576.74",0.003,2017,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695,all,,
210,ALAMIT_7_UNIT2,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,Alamitos 2,AES Alamitos,315,0.104,0.008,"1,576.74",0.003,2017,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695,all,,
211,ALAMIT_7_UNIT3,ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2,68.95705521,23252.6,Alamitos 3,AES Alamitos,315,0.104,0.008,"1,576.74",0.003,2017,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695,all,,
212,ALAMIT_7_UNIT4,ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2,69.69325153,23496.9,Alamitos 4,AES Alamitos,315,0.104,0.008,"1,576.74",0.003,2017,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695,all,,
213,ALAMIT_7_UNIT5,ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2,103.3128834,34857.9,Alamitos 5,AES Alamitos,315,0.104,0.008,"1,576.74",0.003,2017,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695,all,,
214,ALAMIT_7_UNIT6,ngst,SCE,495,11.19,11.89,12.6,198,495,6,6,2,102.6993865,34650,Alamitos 6,AES Alamitos,315,0.104,0.008,"1,576.74",0.003,2017,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695,all,,
170,ANAHM_7_CT,ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,7693,0.18,0.006,"1,073.76",0.002,2017,33.3115,13.2275,5.50648,1.09812,0.2596201,0.0055436,all,,
171,BARRE_6_PEAKER,ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,Barre Peaker,Barre Generating Station,56474,0.124,0.006,"1,209.12",0.002,2017,33.3115,13.2275,5.50648,0.912993,0.1094631,0.0046093,all,,
133,BUCKBL_2_PL1X3,ngcc,SCE,493.63,9.91,10.17,10.43,198,494,1,1,2,226.9372694,34554.1,Blythe Energy Project,Blythe Energy,55295,0.054,0.004,890.354,0.002,2017,34.979,9.918,2.940709,1.324998,0.1024861,0.0066892,all,,
49,BASICE_2_UNITS,ngcc,PGE_valley,135,6.64,6.9,7.16,54,135,5,5,2,61.99261993,9450,CALPINE AMERICAN I COGEN (Aggregate),"Calpine Gilroy Cogen, LP",10034,0.166,0.004,848.902,0.002,2017,30.5035,11.2815,4.547334,0.9505191,0.3405398,0.0047984,all,,
181,ANAHM_2_CANYN1,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 1,Canyon Power Plant,57027,0.092,0.006,"1,271.97",0.002,2017,33.3115,13.2275,5.50648,1.058235,0.1002023,0.0053421,all,,
182,ANAHM_2_CANYN2,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 2,Canyon Power Plant,57027,0.092,0.006,"1,271.97",0.002,2017,33.3115,13.2275,5.50648,1.058235,0.1002023,0.0053421,all,,
183,ANAHM_2_CANYN3,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 3,Canyon Power Plant,57027,0.092,0.006,"1,271.97",0.002,2017,33.3115,13.2275,5.50648,1.058235,0.1002023,0.0053421,all,,
