TSMachine,MargCost $/MWh,MVABase,MWMax,BusNum,FuelType,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MWMin,MvarMin,MvarMax,CostModel,PartFact,Fuel Cost $/MBTU,Heat Rate MBTU/MWh
GENROU,8.53,1764.36,1403.2,408441,NUC (Nuclear),PHOENIX 74 5,1,Closed,1397.5,516.38,1.043,YES,YES,295.62,-115.06,516.38,Cubic,1403.2,1.0,8.53
GENROU,8.53,1663.53,1403.2,408431,NUC (Nuclear),PHOENIX 74 4,1,Closed,1397.5,516.38,1.043,YES,YES,305.1,-115.06,516.38,Cubic,1403.2,1.0,8.53
GENROU,8.53,1608.37,1403.2,408451,NUC (Nuclear),PHOENIX 74 6,1,Closed,1397.32,143.68,1.043,YES,YES,446.18,-115.06,516.38,Cubic,1403.2,1.0,8.53
GENROU,8.45,1400.38,1200.0,108111,NUC (Nuclear),RICHLAND 4 4,1,Closed,1195.12,296.98,1.042,YES,YES,469.13,-98.4,441.6,Cubic,1200.0,1.0,8.45
GENROU,8.44,1398.26,1161.5,261331,NUC (Nuclear),AVILA BEACH 4,1,Closed,1156.78,53.95,1.02312,YES,YES,165.83,-95.24,427.43,Cubic,1161.5,1.0,8.44
GENROU,8.44,1384.26,1161.5,261341,NUC (Nuclear),AVILA BEACH 5,1,Closed,1156.78,53.95,1.02312,YES,YES,130.25,-95.24,427.43,Cubic,1161.5,1.0,8.44
GENSAL,0.0,1357.65,1082.5,110161,WAT (Water),GRAND COULEE 6,1,Closed,1082.5,322.47,1.041,NO,YES,475.95,-53.04,415.68,Cubic,1082.5,0.0,
GENSAL,0.0,1082.5,1082.5,110181,WAT (Water),GRAND COULEE 8,1,Closed,885.08,322.47,1.041,NO,YES,330.24,-53.04,415.68,Cubic,1082.5,0.0,
GENROU,15.48,936.79,820.0,503851,BIT (Bituminous Coal),DELTA 2 3,1,Closed,816.67,-100.04,1.01795,YES,YES,114.27,-100.04,382.12,Cubic,820.0,1.648,9.393203883
GENROU,17.81,866.59,820.0,503861,BIT (Bituminous Coal),DELTA 2 4,1,Closed,816.67,-100.04,1.01795,YES,YES,100.66,-100.04,382.12,Cubic,820.0,1.896,9.393459916
GENROU,19.79,931.25,818.1,532971,BIT (Bituminous Coal),FRUITLAND 2 4,1,Closed,814.78,-99.81,1.01577,YES,YES,206.26,-99.81,381.23,Cubic,818.1,2.107,9.392501187
GENSAL,0.0,1169.43,1082.5,110141,WAT (Water),GRAND COULEE 4,1,Closed,812.69,322.47,1.041,NO,YES,416.53,-53.04,415.68,Cubic,1082.5,0.0,
GENROU,20.64,951.99,806.0,258301,NG (Natural Gas),OXNARD 9 7,1,Closed,802.73,410.25,1.042,YES,YES,320.46,-89.47,410.25,Cubic,806.0,3.284,6.28501827
GENROU,18.63,856.08,803.1,407871,BIT (Bituminous Coal),PAGE 2 5,1,Closed,799.84,21.71,1.02,YES,YES,339.15,-97.98,374.24,Cubic,803.1,1.989,9.366515837
GENSAL,0.0,1299.87,1082.5,110191,WAT (Water),GRAND COULEE 9,1,Closed,754.61,322.47,1.041,NO,YES,424.83,-53.04,415.68,Cubic,1082.5,0.0,
GENROU,18.38,692.83,642.2,136981,BIT (Bituminous Coal),BOARDMAN 4 4,1,Closed,639.59,299.27,1.044,YES,YES,188.21,-78.35,299.27,Cubic,642.2,2.021,9.094507669
GENROU,20.35,716.41,600.0,261631,NG (Natural Gas),MC KITTRICK 2 4,1,Closed,597.56,-66.6,1.00283,YES,YES,194.01,-66.6,305.4,Cubic,600.0,3.481,5.846021258
