,AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
0,8.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
1,12.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
2,11.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
3,6.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
4,3.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
5,5.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
6,7.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
7,4.0,0.0,1.0,0.0,,164.0,,13.0,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,4.0,1.0,,,0.0,,
8,57.0,0.0,1.0,0.0,,3389.0,,67.0,,28.0,4.0,111.0,84.0,0.0,74.0,3.0,,28.0,22.0,,,161.0,20.0,,,5.0,,
9,168.0,1.0,49.0,1.0,,6909.0,,87.0,,94.0,89.0,516.0,290.0,0.0,350.0,49.0,,47.0,44.0,,,422.0,28.0,,,16.0,,
10,201.0,7.0,97.0,3.0,,7931.0,,87.0,,117.0,131.0,812.0,379.0,0.0,517.0,97.0,,56.0,53.0,,,500.0,50.0,,,24.0,,
