,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",IMPERIAL IRRIGATION DISTRICT,PUD NO. 1 OF DOUGLAS COUNTY,PUBLIC SERVICE COMPANY OF COLORADO,BONNEVILLE POWER ADMINISTRATION,NORTHWESTERN ENERGY (NWMT),SALT RIVER PROJECT,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,EL PASO ELECTRIC COMPANY,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,PUBLIC SERVICE COMPANY OF NEW MEXICO,AVISTA CORPORATION,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,TUCSON ELECTRIC POWER COMPANY,SEATTLE CITY LIGHT,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
2020-01-01,2.215,6.097551020408162,2.825,3.2425,2.8766666666666665,3.0900000000000003,2.94,3.2700000000000005,3.2122889203957445,3.346996269017821,3.2257685784046624,3.1805720728741056,3.1399158395305085,3.2172170094510544,2.5671481743325733,4.302075662728076,3.23183998190288,3.212409558457015,3.5246172798214066,3.1596021971243893,3.1991396293883505,3.3208334089483125,4.2542075442841885,3.2274922997491404,3.1125241579905985,3.2412849762719587,3.2099312052508306,3.1959267777941545
2020-01-02,2.215,6.097551020408162,2.825,3.2425,2.8766666666666665,3.0900000000000003,2.94,3.2700000000000005,3.2122889203957445,3.346996269017821,3.2257685784046624,3.1805720728741056,3.1399158395305085,3.2172170094510544,2.5671481743325733,4.302075662728076,3.23183998190288,3.212409558457015,3.5246172798214066,3.1596021971243893,3.1991396293883505,3.3208334089483125,4.2542075442841885,3.2274922997491404,3.1125241579905985,3.2412849762719587,3.2099312052508306,3.1959267777941545
2020-01-03,1.6469999999999998,5.57265306122449,2.115,2.6275,2.23,2.13,2.473333333333333,2.382222222222222,2.4625567945048745,2.7183768731087308,2.48064306969813,2.523671418002557,2.431628260589839,2.5301217100464424,1.9761039673396301,3.694063520918927,2.4568431694336414,2.562597034487839,2.8421120879895714,2.514392948944918,2.4882582099055237,2.6878992023780595,3.6325983783580074,2.5451124075195932,2.4905128566400196,2.434660320850808,2.4789618408903307,2.5321028993229193
2020-01-04,1.5239999999999998,5.593673469387754,2.21,2.3699999999999997,2.2433333333333336,2.26,2.2000000000000006,2.365555555555556,2.4038777141860717,2.649914197504403,2.437235967031481,2.479619628525186,2.4231515742554848,2.4950554625361185,1.8722437465812805,3.6509445239917877,2.4153159007130887,2.504037218652587,2.7996354336722757,2.454880788775768,2.454495931410757,2.61569934437677,3.5949437712976278,2.506182998840843,2.412251232764608,2.3959647035663605,2.4329171783170347,2.491065049598026
2020-01-05,1.5260000000000002,5.619591836734693,2.21,2.3724999999999996,2.2433333333333336,2.26,2.2000000000000006,2.365555555555556,2.4050187408160815,2.655452588001462,2.438819604882758,2.4826887745992883,2.4249843431871496,2.497727492811291,1.875134098814638,3.662780335111589,2.4164798897167055,2.5079239632010806,2.8046290700023895,2.4585496112906,2.456535313463878,2.620677900161996,3.6061339902634133,2.5090265846692628,2.4166827312364854,2.3967258927517463,2.4345458196421106,2.494038813330476
2020-01-06,1.5260000000000002,5.619591836734693,2.21,2.3724999999999996,2.2433333333333336,2.26,2.2000000000000006,2.365555555555556,2.4050187408160815,2.655452588001462,2.438819604882758,2.4826887745992883,2.4249843431871496,2.497727492811291,1.875134098814638,3.662780335111589,2.4164798897167055,2.5079239632010806,2.8046290700023895,2.4585496112906,2.456535313463878,2.620677900161996,3.6061339902634133,2.5090265846692628,2.4166827312364854,2.3967258927517463,2.4345458196421106,2.494038813330476
2020-01-07,1.69,5.715102040816326,2.5149999999999997,2.7275,2.6700000000000004,2.535,2.4133333333333336,2.6377777777777776,2.667020658913126,2.8929831503770447,2.706232205449381,2.778349024863895,2.7040256461715537,2.779207779824643,2.0686856247502363,3.8722568160792163,2.6834310810551605,2.769352881090321,3.059300674309357,2.7241067377245107,2.7293130384588222,2.8764615875214674,3.8191943854096113,2.790279096804151,2.6529398790471683,2.6637102524821086,2.70114434042892,2.7894703354015964
2020-01-08,1.707,5.51265306122449,2.76,2.9275,2.81,2.795,2.7300000000000004,2.9744444444444444,2.942957562286941,2.9852484801660664,2.9597813890935654,2.9249306552402268,2.9241592300085975,2.968880100137853,2.1168447513812425,3.8953333132075025,2.9589181757924257,2.9009311152640094,3.217665616331644,2.8506045471663572,2.9528258083813346,2.9833459427088904,3.861682901823162,2.972709294616666,2.7426798727149264,2.960762388333867,2.94981597891035,2.9461849634630584
2020-01-09,1.6989999999999998,5.227142857142857,3.1400000000000006,2.9775,2.8866666666666667,3.1700000000000004,3.0233333333333334,3.6133333333333337,3.3633949975790323,3.0619791629648945,3.3388527906084473,3.066859853675044,3.217365829217705,3.1998245747927196,2.1443925562827255,3.8802118520196323,3.3995389533983684,3.033971567207227,3.3955211308976594,2.972210337224137,3.2536367262541055,3.068448938009591,3.878449144682369,3.1893674109367933,2.8138799274106745,3.464678724189988,3.306793513864693,3.1068776661229687
2020-01-10,1.7129999999999996,5.413469387755102,3.1550000000000002,2.8549999999999995,2.7366666666666664,3.16,3.0366666666666666,3.7999999999999994,3.4494403971299734,3.0765625963019088,3.4085425716445115,3.041863039561617,3.2348390266262443,3.207499590279487,2.15486989103169,3.9406155601030197,3.4963177990549514,3.035609869443165,3.4176535331102027,2.96605288900634,3.2852460513860158,3.067299951049423,3.9394576541974105,3.1944241664042927,2.8187591401706893,3.5900558493631425,3.364006122359571,3.086672028082905
