Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,268.16838426,973.4159562269999,1248.7525014471003,1480.140815496,258.8,441.70915084296007,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.926906321901,0.0,0.0,161.85,675.0,1588.6349853994002,258.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,268.16838426,973.4159562269999,1189.8092177373,1328.765904438,258.8,441.70915084296007,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.526906321901,0.0,0.0,161.85,540.0,1588.6349853994002,238.44000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,268.16838426,973.4159562269999,1189.8092177373,1328.765904438,258.8,441.70915084296007,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0269063219007,0.0,0.0,161.85,540.0,1421.8349121298202,238.44000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,268.16838426,973.4159562269999,1189.8092177373,1305.80888499615,258.8,441.70915084296007,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.3269063219007,0.0,0.0,161.85,540.0,1421.8349121298202,238.44000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,268.16838426,973.4159562269999,1020.9289544928,1064.38814915244,258.8,441.70915084296007,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.6317034027006,0.0,0.0,161.85,540.0,1421.8349121298202,238.44000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,268.16838426,943.279592671,1020.9289544928,596.41814915244,258.8,441.70915084296007,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.6317034027006,0.0,0.0,161.85,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,597.5715672900001,1164.279592671,1140.7356436857,889.91415793563,517.6,677.6034367931401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.7241926978,0.0,0.0,161.85,945.0,2365.5949121298204,357.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
8,416.21580459,1186.725851935,1471.1390916261,456.6424847773201,258.8,612.37321552836,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088.894093536501,0.0,0.0,188.825,675.0,1899.9098242596403,298.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
9,402.450603435,464.446259264,1142.0390916261001,184.85204819010002,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
10,402.450603435,464.446259264,1142.0390916261001,279.87652437903,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
11,402.450603435,464.446259264,1142.0390916261001,184.85204819010002,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
12,402.450603435,464.446259264,1142.0390916261001,184.85204819010002,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
13,402.450603435,464.446259264,812.9390916261,255.92441493309002,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
14,402.450603435,464.446259264,812.9390916261,255.92441493309002,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,161.85,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
15,402.450603435,464.446259264,812.9390916261,255.92441493309002,258.8,507.25570011402004,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,161.85,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
16,402.450603435,464.446259264,812.9390916261,255.92441493309002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
17,402.450603435,464.446259264,812.9390916261,255.92441493309002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1421.8349121298202,218.57000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
18,422.827961895,464.446259264,812.9390916261,255.92441493309002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1667.7187435781802,198.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
19,422.827961895,464.446259264,812.9390916261,255.92441493309002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1667.7187435781802,198.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
20,422.827961895,464.446259264,812.9390916261,184.85204819010002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1667.7187435781802,198.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
21,422.827961895,464.446259264,812.9390916261,184.85204819010002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1667.7187435781802,198.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
22,422.827961895,464.446259264,812.9390916261,184.85204819010002,258.8,531.6585572812801,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.4432914158003,0.0,0.0,80.92500000000001,540.0,1667.7187435781802,198.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201581949999976
