FULTON_20_hydro,MC_CALL_20_hydro,MESA_CAL_20_hydro,ROUND_MT_20_hydro,SUMMIT_20_hydro,TESLA_20_hydro,CANAD_G1_20_hydro,CMAIN_GM_20_hydro,COTWDWAP_20_hydro,COULEE_20_hydro,CRAIG_20_hydro,DALLES21_20_hydro,EMERY_20_hydro,HANFORD_20_hydro,HOOVER_20_hydro,IMPERIAL_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,MIDPOINT_20_hydro,MONTA_G1_20_hydro,NAUGHT_20_hydro,NAVAJO_2_20_hydro,NORTH_G3_20_hydro,OWENS_G_20_hydro,RNCHSECO_20_hydro,SJUAN_G4_20_hydro,WCASCADE_20_hydro
6,604.8,272.1355262,1650.81747,51,701,3449.433515,2302.737595,628.4,5185,207,584,20.6,2276.6,732.2,100,1851.832276,489.4,1071.6,277,292.6359399,377,723,32.8,274.0064542,559.6,115
9,403.2,268,1848.338068,51,701,3369.456526,1861.737595,471.2,3889,138,876.2,16.4,1707.8,488,100,2219.032276,587.2,857.4,208,211.6359399,251,1084.8,22,205.0064542,419.8,172
12,403.2,268,1478.738068,51,1051.4,3030.183769,1420.737595,314,2593,138,1168.4,12.2,1139,488,100,2586.232276,685,643.2,139,162,251,723,22,138,280,229
15,403.2,268,1209.204379,51,1401.8,2921.199756,1210.121608,314,2593,138,900.1376588,8,1139,488,100,2219.032276,782.8,429,139,162,251,723,22,138,280,221.7409605
15,403.2,268,1578.804379,51,1401.8,2884.426672,1156.494691,314,2593,138,1192.337659,12.2,1139,488,100,2443.269926,685,643.2,139,162,251,723,22,138,280,218.4960099
12,403.2,268,1209.204379,51,1051.4,3320.909148,1083.240583,314,2593,138,1484.537659,16.4,1139,488,100,2810.469926,587.2,857.4,139,162,251,1084.8,22,138,280,275.4960099
9,419.5895218,268,1277.793295,51,701,3455.665102,1524.240583,471.2,3889,138,1192.337659,20.6,1707.8,488,100,2443.269926,489.4,1071.6,208,243,349.1231019,1446.6,22,207,419.8,218.4960099
6,621.1895218,268,1379.300527,51,701,2705.997786,1965.240583,628.4,5185,138,900.1376588,24.8,2276.6,488,100,2076.069926,391.6,1285.8,277,192.8372051,330.0361905,1808.4,22,276,526.7006659,161.4960099
6,822.7895218,401.8,1612.913522,51,701,3000.68859,2406.240583,785.6,6481,138,607.9376588,29,2092.133513,488,150.4,1708.869926,293.8,1500,346,273.8372051,456.0361905,2170.2,32.8,345,517.1874301,115
6,1024.389522,387.1281306,1834.853765,51,701,2625.325096,2847.240583,942.8,7777,138,584,33.2,2660.933513,488,187.2068573,1341.669926,196,1714.2,415,354.8372051,582.0361905,2532,43.6,414,656.9874301,115
6,1225.989522,353.7110712,2011.155976,51,701,2932.380931,3288.240583,952.8019073,8979.346696,138,584,34,2092.133513,488,237.6068573,974.4699262,196,1865,484,435.8372051,708.0361905,2727.968854,43.925,419.9231851,796.7874301,115
6,1427.589522,487.5110712,2038.959837,51,701,3812.580931,3279.66784,795.6019073,8049.219608,138,876.2,34,2660.933513,488,222.6542427,766.6302358,196,1650.8,415,463,834.0361905,3089.768854,52.8,350.9231851,746.9852305,115
6,1350.7,353.7110712,2044.372803,67.1,701,4692.780931,2838.66784,638.4019073,6753.219608,144.3571429,1168.4,34,3092.782538,590.4198378,172.2542427,1133.830236,196,1436.6,346,382,712.077616,2987.130672,42,281.9231851,607.1852305,115
8.35126,1149.1,438.4963549,2413.972803,92.9,701,5572.980931,2397.66784,481.2019073,5457.219608,213.3571429,1460.6,29.8,2523.982538,488,183,1501.030236,293.8,1222.4,277,301,586.077616,3145,31.2,212.9231851,467.3852305,172
11.35126,947.5,572.2963549,2783.572803,118.7,1051.4,6259.54385,1956.66784,324.0019073,4161.219608,282.3571429,1752.8,25.6,1955.182538,488,233.4,1868.230236,391.6,1008.2,208,382,542.1831827,2783.2,42,143.9231851,607.1852305,229
14.35126,1149.1,706.0963549,2813.462148,144.5,1401.8,5379.34385,1879.516642,314,5457.219608,351.3571429,1460.6,25.6,1847.103667,732.2,283.8,1501.030236,397.6,794,277,463,668.1831827,2421.4,52.8,212.9231851,746.9852305,172
11.35126,1350.7,839.8963549,2611.0729,170.3,1752.2,6259.54385,2320.516642,471.2,6753.219608,420.3571429,1168.4,29.8,2415.903667,976.4,334.2,1133.830236,299.8,993.9145301,346,544,794.1831827,2783.2,63.6,281.9231851,886.7852305,115
8.35126,1552.3,973.6963549,2672.737474,196.1,1936.7,7139.74385,2761.516642,628.4,8049.219608,489.3571429,1460.6,34,2984.703667,1220.6,384.6,1468.4,202,1208.11453,415,625,920.1831827,3145,74.4,350.9231851,1026.58523,172
6,1753.9,1107.496355,2581.576767,221.9,1586.3,6259.54385,2896.251022,785.6,9345.219608,558.3571429,1168.4,34,2415.903667,1464.8,435,1101.2,196,1422.31453,484,706,1046.183183,2783.2,85.2,419.9231851,1166.38523,115
6,1753.9,1165.8,2353.466755,221.9,1235.9,6063.823294,3337.251022,942.8,8049.219608,601,892.9569894,34,2984.703667,1582.857432,435,734,196,1208.11453,532.6,706,1093,3076.977207,96,488.9231851,1218,115
6,1643.640717,1032,2495.944789,211.9461,885.5,6418.506498,2896.251022,1023.381991,6753.219608,532,1185.156989,34,2845.4,1338.657432,384.6,1101.2,196,1299.513002,463.6,625,967,2715.177207,85.2,419.9231851,1078.2,115
6,1442.040717,898.2,2126.344789,186.1461,701,6011.688824,2455.251022,866.1819908,5457.219608,463,1477.356989,32.15416667,2276.6,1094.457432,334.2,1468.4,196,1329.409626,394.6,544,841,3076.977207,74.4,350.9231851,938.4,172
9,1240.440717,764.4,1756.744789,160.3461,701,5617.862326,2014.251022,708.9819908,4161.219608,394,1769.556989,27.95416667,1707.8,850.2574324,283.8,1835.6,293.8,1115.209626,325.6,463,715,3145,63.6,281.9231851,798.6,229
6,1038.840717,630.6,1922.74914,134.5461,701,4737.662326,1573.251022,551.7819908,2865.219608,325,1477.356989,23.75416667,1139,606.0574324,233.4,1468.4,196,901.0096257,256.6,382,589,2783.2,52.8,212.9231851,658.8,172
9,837.2407173,496.8,2292.34914,108.7461,701,3857.462326,1428.610207,394.5819908,2593,256,1185.156989,19.55416667,1139,488,183,1101.2,293.8,686.8096257,187.6,301,463,2421.4,42,143.9231851,519,115
12,635.6407173,363,2661.94914,82.9461,945.0614692,3182.509068,1384.912295,314,2593,187,892.9569894,15.35416667,1139,488,132.6,734,391.6,472.6096257,139,220,337,2059.6,31.2,138,379.2,115
