,Generator,Time,Value
0,PHUM_TROR_CPGC,1,0.0
1,PHUM_TROR_CPGC,2,0.0
2,PHUM_TROR_CPGC,3,0.0
3,PHUM_TROR_CPGC,4,0.0
4,PHUM_TROR_CPGC,5,0.0
5,PHUM_TROR_CPGC,6,0.0
6,PHUM_TROR_CPGC,7,0.0
7,PHUM_TROR_CPGC,8,0.0
8,PHUM_TROR_CPGC,9,0.0
9,PHUM_TROR_CPGC,10,0.0
10,PHUM_TROR_CPGC,11,0.0
11,PHUM_TROR_CPGC,12,0.0
12,PHUM_TROR_CPGC,13,5.0
13,PHUM_TROR_CPGC,14,0.0
14,PHUM_TROR_CPGC,15,0.0
15,PHUM_TROR_CPGC,16,0.0
16,PHUM_TROR_CPGC,17,0.0
17,PHUM_TROR_CPGC,18,5.0
18,PHUM_TROR_CPGC,19,5.0
19,PHUM_TROR_CPGC,20,0.0
20,PHUM_TROR_CPGC,21,5.0
21,PHUM_TROR_CPGC,22,5.0
22,PHUM_TROR_CPGC,23,0.0
23,PHUM_TROR_CPGC,24,0.0
24,PPSEZ_PLANT,1,10.0
25,PPSEZ_PLANT,2,0.0
26,PPSEZ_PLANT,3,0.0
27,PPSEZ_PLANT,4,0.0
28,PPSEZ_PLANT,5,0.0
29,PPSEZ_PLANT,6,0.0
30,PPSEZ_PLANT,7,10.0
31,PPSEZ_PLANT,8,10.0
32,PPSEZ_PLANT,9,0.0
33,PPSEZ_PLANT,10,0.0
34,PPSEZ_PLANT,11,10.0
35,PPSEZ_PLANT,12,10.0
36,PPSEZ_PLANT,13,0.0
37,PPSEZ_PLANT,14,0.0
38,PPSEZ_PLANT,15,0.0
39,PPSEZ_PLANT,16,10.0
40,PPSEZ_PLANT,17,10.0
41,PPSEZ_PLANT,18,10.0
42,PPSEZ_PLANT,19,10.0
43,PPSEZ_PLANT,20,10.0
44,PPSEZ_PLANT,21,10.0
45,PPSEZ_PLANT,22,10.0
46,PPSEZ_PLANT,23,10.0
47,PPSEZ_PLANT,24,10.0
48,CENTRALE-2,1,6.894999999999996
49,CENTRALE-2,2,18.0
50,CENTRALE-2,3,14.225000000000012
51,CENTRALE-2,4,0.0
52,CENTRALE-2,5,0.0
53,CENTRALE-2,6,14.150000000000002
54,CENTRALE-2,7,18.0
55,CENTRALE-2,8,1.6974999999999838
56,CENTRALE-2,9,18.0
57,CENTRALE-2,10,18.0
58,CENTRALE-2,11,18.0
59,CENTRALE-2,12,1.2774999999999963
60,CENTRALE-2,13,18.0
61,CENTRALE-2,14,18.0
62,CENTRALE-2,15,18.0
63,CENTRALE-2,16,0.0
64,CENTRALE-2,17,0.0
65,CENTRALE-2,18,0.0
66,CENTRALE-2,19,0.0
67,CENTRALE-2,20,2.384999999999989
68,CENTRALE-2,21,0.0
69,CENTRALE-2,22,18.0
70,CENTRALE-2,23,18.0
71,CENTRALE-2,24,18.0
72,CENTRALE-2_CUPL,1,0.0
73,CENTRALE-2_CUPL,2,0.0
74,CENTRALE-2_CUPL,3,0.0
75,CENTRALE-2_CUPL,4,0.0
76,CENTRALE-2_CUPL,5,0.0
77,CENTRALE-2_CUPL,6,0.0
78,CENTRALE-2_CUPL,7,0.0
79,CENTRALE-2_CUPL,8,0.0
80,CENTRALE-2_CUPL,9,0.0
81,CENTRALE-2_CUPL,10,0.0
82,CENTRALE-2_CUPL,11,0.0
83,CENTRALE-2_CUPL,12,0.0
84,CENTRALE-2_CUPL,13,0.0
85,CENTRALE-2_CUPL,14,0.0
86,CENTRALE-2_CUPL,15,0.0
87,CENTRALE-2_CUPL,16,0.0
88,CENTRALE-2_CUPL,17,0.0
89,CENTRALE-2_CUPL,18,0.0
90,CENTRALE-2_CUPL,19,0.0
91,CENTRALE-2_CUPL,20,0.0
92,CENTRALE-2_CUPL,21,0.0
93,CENTRALE-2_CUPL,22,0.0
94,CENTRALE-2_CUPL,23,0.0
95,CENTRALE-2_CUPL,24,0.0
96,SLACK1,1,0.0
97,SLACK1,2,0.0
98,SLACK1,3,0.0
99,SLACK1,4,0.0
100,SLACK1,5,0.0
101,SLACK1,6,0.0
102,SLACK1,7,0.0
103,SLACK1,8,0.0
104,SLACK1,9,0.0
105,SLACK1,10,0.0
106,SLACK1,11,0.0
107,SLACK1,12,0.0
108,SLACK1,13,0.0
109,SLACK1,14,0.0
110,SLACK1,15,0.0
111,SLACK1,16,0.0
112,SLACK1,17,0.0
113,SLACK1,18,0.0
114,SLACK1,19,0.0
115,SLACK1,20,0.0
116,SLACK1,21,0.0
117,SLACK1,22,0.0
118,SLACK1,23,0.0
119,SLACK1,24,0.0
120,KHAN_MEAN_CHAY,1,0.0
121,KHAN_MEAN_CHAY,2,0.0
122,KHAN_MEAN_CHAY,3,0.0
123,KHAN_MEAN_CHAY,4,0.0
124,KHAN_MEAN_CHAY,5,0.0
125,KHAN_MEAN_CHAY,6,0.0
126,KHAN_MEAN_CHAY,7,0.0
127,KHAN_MEAN_CHAY,8,0.0
128,KHAN_MEAN_CHAY,9,48.12
129,KHAN_MEAN_CHAY,10,48.12
130,KHAN_MEAN_CHAY,11,0.0
131,KHAN_MEAN_CHAY,12,0.0
132,KHAN_MEAN_CHAY,13,0.0
133,KHAN_MEAN_CHAY,14,48.12
134,KHAN_MEAN_CHAY,15,0.0
135,KHAN_MEAN_CHAY,16,0.0
136,KHAN_MEAN_CHAY,17,0.0
137,KHAN_MEAN_CHAY,18,0.0
138,KHAN_MEAN_CHAY,19,0.0
139,KHAN_MEAN_CHAY,20,0.0
140,KHAN_MEAN_CHAY,21,0.0
141,KHAN_MEAN_CHAY,22,0.0
142,KHAN_MEAN_CHAY,23,0.0
143,KHAN_MEAN_CHAY,24,0.0
144,CENTRALE-3,1,0.0
145,CENTRALE-3,2,0.0
146,CENTRALE-3,3,0.0
147,CENTRALE-3,4,0.0
148,CENTRALE-3,5,0.0
149,CENTRALE-3,6,0.0
150,CENTRALE-3,7,15.4
151,CENTRALE-3,8,0.0
152,CENTRALE-3,9,0.0
153,CENTRALE-3,10,0.0
154,CENTRALE-3,11,0.0
155,CENTRALE-3,12,0.0
156,CENTRALE-3,13,15.4
157,CENTRALE-3,14,0.0
158,CENTRALE-3,15,0.0
159,CENTRALE-3,16,15.4
160,CENTRALE-3,17,15.4
161,CENTRALE-3,18,15.4
162,CENTRALE-3,19,15.4
163,CENTRALE-3,20,0.0
164,CENTRALE-3,21,0.0
165,CENTRALE-3,22,15.4
166,CENTRALE-3,23,15.4
167,CENTRALE-3,24,0.0
168,CENTRALE-5,1,0.0
169,CENTRALE-5,2,0.0
170,CENTRALE-5,3,0.0
171,CENTRALE-5,4,0.0
172,CENTRALE-5,5,0.0
173,CENTRALE-5,6,0.0
174,CENTRALE-5,7,0.0
175,CENTRALE-5,8,10.0
176,CENTRALE-5,9,0.0
177,CENTRALE-5,10,0.0
