region_name,tech_id,tech_name,plant_id,unit_size_mw,xcoord,ycoord,index,buffer_in_km,sited_year,retirement_year,lmp_zone,locational_marginal_price_usd_per_mwh,generation_mwh_per_year,operating_cost_usd_per_year,net_operational_value_usd_per_year,interconnection_cost_usd_per_year,net_locational_cost_usd_per_year,capacity_factor_fraction,carbon_capture_rate_fraction,fuel_co2_content_tons_per_btu,fuel_price_usd_per_mmbtu,fuel_price_esc_rate_fraction,heat_rate_btu_per_kWh,lifetime_yrs,operational_life_yrs,variable_om_usd_per_mwh,variable_om_esc_rate_fraction,carbon_tax_usd_per_ton,carbon_tax_esc_rate_fraction,interconnect
california,17,cerf_gas_cc_no-ccs_dry,53021692020,727.0,-2322115.228,718934.1706999999,5302169,5,2020,2065,200001,60.16326360487114,2853911.175282,53.07615079363809,18134903.223605737,140730.9459579231,-17994172.277647816,0.44812785,0.0,5.4935521644211e-08,7.42665801737976,-0.0008,5914.12196,45.0,45.0,51.30190828841231,-0.191,0.0,0.0,wecc
california,17,cerf_gas_cc_no-ccs_dry,52748752020,727.0,-2316115.228,723934.1706999999,5274875,5,2020,2065,200001,60.16326360487114,2853911.175282,53.07615079363809,18134903.223605737,481373.95186393335,-17653529.271741804,0.44812785,0.0,5.4935521644211e-08,7.42665801737976,-0.0008,5914.12196,45.0,45.0,51.30190828841231,-0.191,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95722972020,4.0,-1914115.228,-63065.8293000001,9572297,1,2020,2050,280991,60.57039055426373,11641.05888,0.0,705103.4828267792,0.0,-705103.4828267792,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,97142982020,4.0,-1873115.228,-89065.8293000001,9714298,1,2020,2050,280991,60.57039055426373,11641.05888,0.0,705103.4828267792,0.0,-705103.4828267792,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,74862922020,4.0,-2199115.228,318934.1706999999,7486292,1,2020,2050,211211,60.59152112286081,11641.05888,0.0,705349.4650199858,44104.87298442752,-661244.5920355583,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,98234432020,4.0,-1928115.228,-109065.8293000001,9823443,1,2020,2050,280991,60.57039055426373,11641.05888,0.0,705103.4828267792,44104.87298442752,-660998.6098423518,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,90260672020,4.0,-2144115.228,36934.1706999999,9026067,1,2020,2050,261331,60.569444415567744,11641.05888,0.0,705092.4687705106,44104.87298442752,-660987.5957860831,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,76336632020,4.0,-2248115.228,291934.1706999999,7633663,1,2020,2050,211211,60.59152112286081,11641.05888,0.0,705349.4650199858,51455.68514849877,-653893.7798714871,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95559182020,4.0,-1913115.228,-60065.8293000001,9555918,1,2020,2050,280991,60.57039055426373,11641.05888,0.0,705103.4828267792,51455.68514849877,-653647.7976782805,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,91245912020,4.0,-1900115.228,18934.1706999999,9124591,1,2020,2050,280991,60.57039055426373,11641.05888,0.0,705103.4828267792,51455.68514849877,-653647.7976782805,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,98125222020,4.0,-1929115.228,-107065.8293000001,9812522,1,2020,2050,280991,60.57039055426373,11641.05888,0.0,705103.4828267792,62373.71373155012,-642729.7690952291,0.332222,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
