Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,6,1955,1997,1765,-232
2015,7,1,7,1807,1865,1582,-283
2015,7,1,8,1714,1739,1536,-203
2015,7,1,9,1649,1706,1529,-177
2015,7,1,10,1641,1730,1465,-265
2015,7,1,11,1709,1793,1518,-275
2015,7,1,12,1835,1897,1810,-87
2015,7,1,13,1972,2036,2047,11
2015,7,1,14,2058,2097,2161,64
2015,7,1,15,2162,2159,2267,108
2015,7,1,16,2284,2273,2329,56
2015,7,1,17,2390,2399,2497,98
2015,7,1,18,2476,2513,2568,55
2015,7,1,19,2560,2625,2722,97
2015,7,1,20,2628,2739,2933,194
2015,7,1,21,2695,2827,3016,189
2015,7,1,22,2767,2931,3062,131
2015,7,1,23,2820,3027,3066,39
2015,7,2,0,2811,2978,3053,75
2015,7,2,1,2705,2875,3070,195
2015,7,2,2,2607,2792,2987,195
2015,7,2,3,2560,2717,2860,143
2015,7,2,4,2321,2533,2467,-66
2015,7,2,5,2031,2200,2077,-123
2015,7,2,6,1880,1995,1816,-179
2015,7,2,7,1744,1833,1626,-207
2015,7,2,8,1658,1768,1594,-174
2015,7,2,9,1599,1712,1570,-142
2015,7,2,10,1596,1707,1585,-122
2015,7,2,11,1673,1762,1628,-134
2015,7,2,12,1811,1880,1925,45
2015,7,2,13,1948,1995,2141,146
2015,7,2,14,2051,2134,2279,145
2015,7,2,15,2174,2227,2295,68
2015,7,2,16,2310,2376,2452,76
2015,7,2,17,2425,2477,2675,198
2015,7,2,18,2513,2597,2869,272
2015,7,2,19,2592,2691,2928,237
2015,7,2,20,2640,2751,2936,185
2015,7,2,21,2681,2782,2920,138
2015,7,2,22,2714,2810,2941,131
2015,7,2,23,2735,2781,2920,139
2015,7,3,0,2714,2693,2910,217
2015,7,3,1,2614,2567,2877,310
2015,7,3,2,2522,2490,2754,264
2015,7,3,3,2422,2448,2558,110
2015,7,3,4,2225,2277,2184,-93
2015,7,3,5,1986,1997,1749,-248
2015,7,3,6,1768,1780,1515,-265
2015,7,3,7,1633,1683,1430,-253
2015,7,3,8,1546,1560,1355,-205
2015,7,3,9,1477,1559,1403,-156
2015,7,3,10,1462,1495,1348,-147
2015,7,3,11,1473,1535,1353,-182
2015,7,3,12,1516,1631,1443,-188
2015,7,3,13,1653,1739,1500,-239
2015,7,3,14,1851,1948,1771,-177
2015,7,3,15,1990,2137,2095,-42
2015,7,3,16,2063,2304,2421,117
2015,7,3,17,2136,2423,2649,226
2015,7,3,18,2215,2531,2694,163
2015,7,3,19,2273,2651,2749,98
2015,7,3,20,2317,2743,2754,11
2015,7,3,21,2367,2808,2732,-76
2015,7,3,22,2417,2851,2750,-101
2015,7,3,23,2450,2879,2749,-130
2015,7,4,0,2421,2783,2752,-31
2015,7,4,1,2360,2637,2715,78
2015,7,4,2,2289,2474,2414,-60
2015,7,4,3,2147,2377,2433,56
2015,7,4,4,1971,2226,2335,109
2015,7,4,5,1773,2029,2089,60
2015,7,4,6,1630,1752,1739,-13
2015,7,4,7,1500,1637,1549,-88
2015,7,4,8,1418,1553,1439,-114
2015,7,4,9,1355,1497,1434,-63
2015,7,4,10,1343,1473,1320,-153
2015,7,4,11,1358,1486,1285,-201
2015,7,4,12,1387,1500,1302,-198
2015,7,4,13,1544,1616,1541,-75
2015,7,4,14,1774,1913,1849,-64
2015,7,4,15,1978,2171,2163,-8
2015,7,4,16,2161,2411,2370,-41
2015,7,4,17,2319,2605,2517,-88
2015,7,4,18,2461,2753,2744,-9
2015,7,4,19,2583,2820,2834,14
2015,7,4,20,2701,2918,2868,-50
2015,7,4,21,2811,2998,2910,-88
2015,7,4,22,2883,3063,2828,-235
2015,7,4,23,2895,3041,2823,-218
2015,7,5,0,2810,2943,2526,-417
2015,7,5,1,2663,2748,2345,-403
2015,7,5,2,2516,2492,2212,-280
2015,7,5,3,2455,2354,2195,-159
2015,7,5,4,2272,2297,2301,4
2015,7,5,5,2018,2126,2028,-98
2015,7,5,6,1821,1949,1716,-233
2015,7,5,7,1670,1767,1524,-243
2015,7,5,8,1582,1664,1335,-329
2015,7,5,9,1523,1567,1277,-290
2015,7,5,10,1491,1575,1305,-270
2015,7,5,11,1484,1551,1327,-224
2015,7,5,12,1474,1556,1418,-138
2015,7,5,13,1654,1737,1540,-197
2015,7,5,14,1946,1994,1875,-119
2015,7,5,15,2183,2262,2163,-99
2015,7,5,16,2344,2480,2259,-221
2015,7,5,17,2509,2709,2403,-306
2015,7,5,18,2665,2908,2540,-368
2015,7,5,19,2802,3107,2792,-315
2015,7,5,20,2913,3155,2764,-391
2015,7,5,21,3004,3250,2843,-407
2015,7,5,22,3073,3310,2914,-396
2015,7,5,23,3110,3332,2922,-410
2015,7,6,0,3061,3236,2884,-352
2015,7,6,1,2927,3074,2796,-278
2015,7,6,2,2778,2931,2685,-246
2015,7,6,3,2680,2824,2573,-251
2015,7,6,4,2430,2588,2409,-179
2015,7,6,5,2134,2278,1943,-335
2015,7,6,6,1957,2037,1672,-365
2015,7,6,7,1813,1896,1642,-254
2015,7,6,8,1720,1729,1446,-283
2015,7,6,9,1664,1679,1465,-214
2015,7,6,10,1659,1707,1522,-185
2015,7,6,11,1729,1795,1642,-153
2015,7,6,12,1855,1906,1864,-42
2015,7,6,13,2008,2120,2099,-21
2015,7,6,14,2164,2240,2205,-35
2015,7,6,15,2357,2439,2415,-24
2015,7,6,16,2567,2619,2591,-28
2015,7,6,17,2749,2821,2809,-12
2015,7,6,18,2896,2919,2941,22
2015,7,6,19,3006,3104,3093,-11
2015,7,6,20,3081,3188,3143,-45
2015,7,6,21,3146,3220,3142,-78
2015,7,6,22,3196,3272,3094,-178
2015,7,6,23,3228,3285,3077,-208
2015,7,7,0,3187,3218,3074,-144
2015,7,7,1,3036,3034,2971,-63
2015,7,7,2,2867,2968,2805,-163
2015,7,7,3,2745,2837,2749,-88
2015,7,7,4,2505,2595,2387,-208
2015,7,7,5,2216,2264,2047,-217
2015,7,7,6,1952,2065,1825,-240
2015,7,7,7,1804,1935,1759,-176
2015,7,7,8,1714,1861,1635,-226
2015,7,7,9,1650,1765,1540,-225
2015,7,7,10,1638,1809,1579,-230
2015,7,7,11,1703,1845,1707,-138
2015,7,7,12,1820,1980,2014,34
2015,7,7,13,1940,2055,2120,65
2015,7,7,14,2020,2097,2292,195
2015,7,7,15,2106,2157,2391,234
2015,7,7,16,2199,2251,2461,210
2015,7,7,17,2265,2251,2631,380
2015,7,7,18,2302,2178,2540,362
2015,7,7,19,2341,2227,2553,326
2015,7,7,20,2360,2221,2579,358
2015,7,7,21,2387,2221,2583,362
2015,7,7,22,2433,2224,2589,365
2015,7,7,23,2489,2260,2623,363
2015,7,8,0,2481,2237,2603,366
2015,7,8,1,2394,2219,2494,275
2015,7,8,2,2328,2216,2405,189
2015,7,8,3,2295,2188,2388,200
