Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,5,11159,10611,10949,338
2015,7,1,6,10373,9942,10212,270
2015,7,1,7,9781,9515,9629,114
2015,7,1,8,9448,9273,9204,-69
2015,7,1,9,9333,9256,9226,-30
2015,7,1,10,9679,9632,9586,-46
2015,7,1,11,10166,10215,10210,-5
2015,7,1,12,10859,10837,10879,42
2015,7,1,13,11647,11429,11380,-49
2015,7,1,14,12648,12118,12194,76
2015,7,1,15,13808,13036,12640,-396
2015,7,1,16,14768,13948,13007,-941
2015,7,1,17,15686,14801,14057,-744
2015,7,1,18,16406,15552,15057,-495
2015,7,1,19,16996,16045,15270,-775
2015,7,1,20,17445,16386,15618,-768
2015,7,1,21,17514,16386,15749,-637
2015,7,1,22,17275,16077,15673,-404
2015,7,1,23,16728,15482,15140,-342
2015,7,2,0,16013,14794,14675,-119
2015,7,2,1,15367,14315,14297,-18
2015,7,2,2,14960,13968,13846,-122
2015,7,2,3,13765,12931,12926,-5
2015,7,2,4,12354,11751,12270,519
2015,7,2,5,11499,10785,11374,589
2015,7,2,6,10776,10156,10757,601
2015,7,2,7,10167,9781,10197,416
2015,7,2,8,9861,9492,9800,308
2015,7,2,9,9815,9483,9760,277
2015,7,2,10,10121,9837,10148,311
2015,7,2,11,10605,10410,10568,158
2015,7,2,12,11217,10975,11271,296
2015,7,2,13,11846,11443,12031,588
2015,7,2,14,12632,12069,12603,534
2015,7,2,15,13432,13016,13220,204
2015,7,2,16,14210,13858,13883,25
2015,7,2,17,14995,14546,14510,-36
2015,7,2,18,15712,15001,14750,-251
2015,7,2,19,16223,15147,15079,-68
2015,7,2,20,16571,15099,15044,-55
2015,7,2,21,16535,14837,14913,76
2015,7,2,22,16014,14405,14715,310
2015,7,2,23,15414,13951,14310,359
2015,7,3,0,14887,13384,13926,542
2015,7,3,1,14451,13027,13658,631
2015,7,3,2,14157,12881,13383,502
2015,7,3,3,13129,12053,12590,537
2015,7,3,4,11917,10998,11593,595
2015,7,3,5,10477,10065,10591,526
2015,7,3,6,9967,9457,9963,506
2015,7,3,7,9448,9120,9274,154
2015,7,3,8,9151,8878,8889,11
2015,7,3,9,9055,8836,8735,-101
2015,7,3,10,9184,8986,8805,-181
2015,7,3,11,9123,9183,8893,-290
2015,7,3,12,9433,9527,9529,2
2015,7,3,13,10221,10068,10493,425
2015,7,3,14,11341,10639,11116,477
2015,7,3,15,12378,11107,11502,395
2015,7,3,16,13216,11438,11897,459
2015,7,3,17,13937,11800,12447,647
2015,7,3,18,14620,12027,12627,600
2015,7,3,19,14872,12356,12899,543
2015,7,3,20,14946,12743,13233,490
2015,7,3,21,14853,13069,13554,485
2015,7,3,22,14030,13208,13752,544
2015,7,3,23,13374,12973,13729,756
2015,7,4,0,12756,12540,13363,823
2015,7,4,1,12571,12196,13033,837
2015,7,4,2,12182,12058,12789,731
2015,7,4,3,11590,11410,12021,611
2015,7,4,4,10800,10595,11137,542
2015,7,4,5,10321,9857,9910,53
2015,7,4,6,9603,9267,9002,-265
2015,7,4,7,9128,8857,8613,-244
2015,7,4,8,8814,8559,8384,-175
2015,7,4,9,8780,8437,8324,-113
2015,7,4,10,8767,8537,8414,-123
2015,7,4,11,8576,8487,8336,-151
2015,7,4,12,8863,8799,8889,90
2015,7,4,13,9669,9578,9963,385
2015,7,4,14,10743,10440,11042,602
2015,7,4,15,11733,11281,12366,1085
2015,7,4,16,12694,11867,13059,1192
2015,7,4,17,13409,12263,13341,1078
2015,7,4,18,13918,12589,13701,1112
2015,7,4,19,14080,12930,13834,904
2015,7,4,20,14371,13406,14348,942
2015,7,4,21,14420,13932,14934,1002
2015,7,4,22,14207,14029,15128,1099
2015,7,4,23,13888,13637,14817,1180
2015,7,5,0,13466,12973,14259,1286
2015,7,5,1,12834,12350,13579,1229
2015,7,5,2,12342,11953,13006,1053
2015,7,5,3,11717,11385,12315,930
2015,7,5,4,10831,10844,11882,1038
2015,7,5,5,9541,10076,10854,778
2015,7,5,6,8890,9448,9802,354
2015,7,5,7,8501,8985,9244,259
2015,7,5,8,8277,8727,8894,167
2015,7,5,9,8172,8567,8729,162
2015,7,5,10,8263,8565,8728,163
2015,7,5,11,8215,8527,8632,105
2015,7,5,12,8546,8869,9093,224
2015,7,5,13,9241,9616,10347,731
2015,7,5,14,9984,10450,11349,899
2015,7,5,15,10652,11171,12247,1076
2015,7,5,16,11270,11906,12698,792
2015,7,5,17,11959,12822,13126,304
2015,7,5,18,12578,13629,13768,139
2015,7,5,19,12976,14126,14354,228
2015,7,5,20,13366,14253,14515,262
2015,7,5,21,13682,14209,14495,286
2015,7,5,22,13870,14224,14494,270
2015,7,5,23,13637,14033,14180,147
2015,7,6,0,13340,13577,13430,-147
2015,7,6,1,12810,13087,12743,-344
2015,7,6,2,12541,12871,12571,-300
2015,7,6,3,11755,12025,12176,151
2015,7,6,4,10754,11013,11047,34
2015,7,6,5,10216,10130,9769,-361
2015,7,6,6,9640,9499,9088,-411
2015,7,6,7,9223,9128,8862,-266
2015,7,6,8,9036,8899,8703,-196
2015,7,6,9,9027,8972,8731,-241
2015,7,6,10,9495,9475,9400,-75
2015,7,6,11,10213,10132,10291,159
2015,7,6,12,10945,10958,11440,482
2015,7,6,13,11681,11788,12262,474
2015,7,6,14,12532,12706,13211,505
2015,7,6,15,13542,13707,13852,145
2015,7,6,16,14441,14704,14482,-222
2015,7,6,17,15236,15508,15257,-251
2015,7,6,18,15921,16246,16113,-133
2015,7,6,19,16550,16851,16923,72
2015,7,6,20,16856,17244,17332,88
2015,7,6,21,17096,17474,17536,62
2015,7,6,22,16972,17463,17547,84
2015,7,6,23,16521,17095,17210,115
2015,7,7,0,15941,16312,16340,28
2015,7,7,1,15122,15567,15472,-95
2015,7,7,2,14553,15111,14845,-266
2015,7,7,3,13436,13843,13777,-66
2015,7,7,4,12131,12472,12659,187
2015,7,7,5,11222,11313,11371,58
2015,7,7,6,10574,10661,10288,-373
2015,7,7,7,10067,10057,9525,-532
2015,7,7,8,9773,9737,9144,-593
2015,7,7,9,9731,9669,9132,-537
2015,7,7,10,10113,9986,9562,-424
2015,7,7,11,10673,10599,10349,-250
2015,7,7,12,11426,11404,11379,-25
2015,7,7,13,12300,12259,12212,-47
2015,7,7,14,13289,13250,13303,53
2015,7,7,15,14509,14427,14515,88
2015,7,7,16,15609,15636,16301,665
2015,7,7,17,16546,16615,17655,1040
2015,7,7,18,17496,17390,18460,1070
2015,7,7,19,18086,17950,18859,909
2015,7,7,20,18517,18349,18956,607
2015,7,7,21,18703,18591,19221,630
2015,7,7,22,18498,18539,19227,688
2015,7,7,23,17971,18176,18876,700
2015,7,8,0,17170,17456,18459,1003
2015,7,8,1,16409,16801,17590,789
2015,7,8,2,15791,16282,16577,295
2015,7,8,3,14575,14977,14679,-298
2015,7,8,4,13190,13562,13497,-65
2015,7,8,5,12263,12434,12028,-406
2015,7,8,6,11390,11642,10806,-836
2015,7,8,7,10742,11049,10126,-923
2015,7,8,8,10347,10625,9868,-757
2015,7,8,9,10263,10584,9867,-717
2015,7,8,10,10663,10901,10110,-791
2015,7,8,11,11232,11523,10829,-694
2015,7,8,12,11927,12204,11668,-536
2015,7,8,13,12834,12879,12527,-352
2015,7,8,14,13838,13813,13779,-34
2015,7,8,15,15146,15133,14727,-406
2015,7,8,16,16315,16203,15956,-247
2015,7,8,17,17390,17138,17526,388
2015,7,8,18,18197,17964,18567,603
2015,7,8,19,18767,18487,19237,750
2015,7,8,20,19126,18766,19409,643
2015,7,8,21,19229,18746,19453,707
2015,7,8,22,19160,18105,19182,1077
2015,7,8,23,18807,17250,18546,1296
2015,7,9,0,18153,16511,17767,1256
2015,7,9,1,17113,15929,16545,616
2015,7,9,2,16476,15517,15676,159
2015,7,9,3,15298,14368,14277,-91
2015,7,9,4,13846,13043,13341,298
2015,7,9,5,12488,11951,11952,1
2015,7,9,6,11650,11223,10608,-615
2015,7,9,7,11027,10750,9941,-809
2015,7,9,8,10668,10447,9675,-772
2015,7,9,9,10603,10361,9649,-712
2015,7,9,10,10896,10691,9997,-694
2015,7,9,11,11463,11279,10566,-713
2015,7,9,12,12129,12061,11642,-419
2015,7,9,13,12987,13059,12767,-292
2015,7,9,14,14008,14243,14158,-85
2015,7,9,15,15260,15686,15489,-197
2015,7,9,16,16503,16931,16762,-169
2015,7,9,17,17463,17831,18496,665
2015,7,9,18,18261,18612,20013,1401
2015,7,9,19,18886,19140,20328,1188
2015,7,9,20,19270,19486,20633,1147
2015,7,9,21,19250,19654,20802,1148
