Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,8,-9999,-9999,549,549
2015,7,1,9,-9999,-9999,547,547
2015,7,1,10,-9999,-9999,547,547
2015,7,1,11,-9999,-9999,548,548
2015,7,1,12,-9999,-9999,550,550
2015,7,1,13,-9999,-9999,548,548
2015,7,1,14,-9999,-9999,556,556
2015,7,1,15,-9999,-9999,557,557
2015,7,1,16,-9999,-9999,558,558
2015,7,1,17,-9999,-9999,555,555
2015,7,1,18,-9999,-9999,556,556
2015,7,1,19,-9999,-9999,555,555
2015,7,1,20,-9999,-9999,555,555
2015,7,1,21,-9999,-9999,555,555
2015,7,1,22,-9999,-9999,556,556
2015,7,1,23,-9999,-9999,555,555
2015,7,2,0,-9999,-9999,556,556
2015,7,2,1,-9999,-9999,555,555
2015,7,2,2,-9999,-9999,557,557
2015,7,2,3,-9999,-9999,557,557
2015,7,2,4,-9999,-9999,569,569
2015,7,2,5,-9999,-9999,571,571
2015,7,2,6,-9999,-9999,573,573
2015,7,2,7,-9999,-9999,571,571
2015,7,2,8,-9999,-9999,578,578
2015,7,2,9,-9999,-9999,583,583
2015,7,2,10,-9999,-9999,584,584
2015,7,2,11,-9999,-9999,550,550
2015,7,2,12,-9999,-9999,550,550
2015,7,2,13,-9999,-9999,548,548
2015,7,2,14,-9999,-9999,568,568
2015,7,2,15,-9999,-9999,564,564
2015,7,2,16,-9999,-9999,564,564
2015,7,2,17,-9999,-9999,564,564
2015,7,2,18,-9999,-9999,563,563
2015,7,2,19,-9999,-9999,563,563
2015,7,2,20,-9999,-9999,563,563
2015,7,2,21,-9999,-9999,563,563
2015,7,2,22,-9999,-9999,562,562
2015,7,2,23,-9999,-9999,562,562
2015,7,3,0,-9999,-9999,562,562
2015,7,3,1,-9999,-9999,562,562
2015,7,3,2,-9999,-9999,561,561
2015,7,3,3,-9999,-9999,563,563
2015,7,3,4,-9999,-9999,572,572
2015,7,3,5,-9999,-9999,563,563
2015,7,3,6,-9999,-9999,572,572
2015,7,3,7,-9999,-9999,572,572
2015,7,3,8,-9999,-9999,578,578
2015,7,3,9,-9999,-9999,582,582
2015,7,3,10,-9999,-9999,587,587
2015,7,3,11,-9999,-9999,589,589
2015,7,3,12,-9999,-9999,552,552
2015,7,3,13,-9999,-9999,550,550
2015,7,3,14,-9999,-9999,562,562
2015,7,3,15,-9999,-9999,562,562
2015,7,3,16,-9999,-9999,564,564
2015,7,3,17,-9999,-9999,563,563
2015,7,3,18,-9999,-9999,562,562
2015,7,3,19,-9999,-9999,563,563
2015,7,3,20,-9999,-9999,562,562
2015,7,3,21,-9999,-9999,563,563
2015,7,3,22,-9999,-9999,563,563
2015,7,3,23,-9999,-9999,562,562
2015,7,4,0,-9999,-9999,561,561
2015,7,4,1,-9999,-9999,562,562
2015,7,4,2,-9999,-9999,560,560
2015,7,4,3,-9999,-9999,561,561
2015,7,4,4,-9999,-9999,563,563
2015,7,4,5,-9999,-9999,561,561
2015,7,4,6,-9999,-9999,558,558
2015,7,4,7,-9999,-9999,541,541
2015,7,4,8,-9999,-9999,476,476
2015,7,4,9,-9999,-9999,498,498
2015,7,4,10,-9999,-9999,433,433
2015,7,4,11,-9999,-9999,380,380
2015,7,4,12,-9999,-9999,354,354
2015,7,4,13,-9999,-9999,361,361
2015,7,4,14,-9999,-9999,534,534
2015,7,4,15,-9999,-9999,548,548
2015,7,4,16,-9999,-9999,548,548
2015,7,4,17,-9999,-9999,548,548
2015,7,4,18,-9999,-9999,549,549
2015,7,4,19,-9999,-9999,548,548
2015,7,4,20,-9999,-9999,548,548
2015,7,4,21,-9999,-9999,548,548
2015,7,4,22,-9999,-9999,547,547
2015,7,4,23,-9999,-9999,548,548
2015,7,5,0,-9999,-9999,548,548
2015,7,5,1,-9999,-9999,547,547
2015,7,5,2,-9999,-9999,547,547
2015,7,5,3,-9999,-9999,546,546
2015,7,5,4,-9999,-9999,499,499
2015,7,5,5,-9999,-9999,523,523
2015,7,5,6,-9999,-9999,513,513
2015,7,5,7,-9999,-9999,514,514
2015,7,5,8,-9999,-9999,546,546
2015,7,5,9,-9999,-9999,548,548
2015,7,5,10,-9999,-9999,548,548
2015,7,5,11,-9999,-9999,548,548
2015,7,5,12,-9999,-9999,548,548
2015,7,5,13,-9999,-9999,547,547
2015,7,5,14,-9999,-9999,549,549
2015,7,5,15,-9999,-9999,547,547
2015,7,5,16,-9999,-9999,549,549
2015,7,5,17,-9999,-9999,548,548
2015,7,5,18,-9999,-9999,549,549
2015,7,5,19,-9999,-9999,548,548
2015,7,5,20,-9999,-9999,547,547
2015,7,5,21,-9999,-9999,549,549
2015,7,5,22,-9999,-9999,550,550
2015,7,5,23,-9999,-9999,547,547
2015,7,6,0,-9999,-9999,548,548
2015,7,6,1,-9999,-9999,548,548
2015,7,6,2,-9999,-9999,548,548
2015,7,6,3,-9999,-9999,548,548
2015,7,6,4,-9999,-9999,548,548
2015,7,6,5,-9999,-9999,548,548
2015,7,6,6,-9999,-9999,547,547
2015,7,6,7,-9999,-9999,548,548
2015,7,6,8,-9999,-9999,549,549
2015,7,6,9,-9999,-9999,549,549
2015,7,6,10,-9999,-9999,548,548
2015,7,6,11,-9999,-9999,548,548
2015,7,6,12,-9999,-9999,547,547
2015,7,6,13,-9999,-9999,549,549
2015,7,6,14,-9999,-9999,549,549
2015,7,6,15,-9999,-9999,548,548
