Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,8,2753,2848,1554,-1294
2015,7,1,9,2606,2701,1362,-1339
2015,7,1,10,2516,2603,1304,-1299
2015,7,1,11,2456,2513,1237,-1276
2015,7,1,12,2475,2458,1164,-1294
2015,7,1,13,2574,2456,1117,-1339
2015,7,1,14,2766,2511,1118,-1393
2015,7,1,15,2897,2683,1159,-1524
2015,7,1,16,3019,2853,1199,-1654
2015,7,1,17,3171,3008,1341,-1667
2015,7,1,18,3337,3142,1460,-1682
2015,7,1,19,3481,3281,1597,-1684
2015,7,1,20,3596,3398,1717,-1681
2015,7,1,21,3670,3516,1832,-1684
2015,7,1,22,3690,3592,1900,-1692
2015,7,1,23,3677,3648,1947,-1701
2015,7,2,0,3650,3679,1987,-1692
2015,7,2,1,3645,3697,1993,-1704
2015,7,2,2,3595,3700,2023,-1677
2015,7,2,3,3568,3648,1991,-1657
2015,7,2,4,3441,3536,1887,-1649
2015,7,2,5,3232,3447,1828,-1619
2015,7,2,6,2924,3297,1684,-1613
2015,7,2,7,2868,3038,1633,-1405
2015,7,2,8,2674,2823,1498,-1325
2015,7,2,9,2590,2665,1466,-1199
2015,7,2,10,2508,2548,1448,-1100
2015,7,2,11,2450,2465,1402,-1063
2015,7,2,12,2431,2402,1394,-1008
2015,7,2,13,2503,2396,1372,-1024
2015,7,2,14,2701,2444,1320,-1124
2015,7,2,15,2881,2608,1315,-1293
2015,7,2,16,3028,2767,1368,-1399
2015,7,2,17,3189,2911,1382,-1529
2015,7,2,18,3350,3041,1449,-1592
2015,7,2,19,3484,3197,1610,-1587
2015,7,2,20,3605,3321,1722,-1599
2015,7,2,21,3690,3442,1822,-1620
2015,7,2,22,3729,3439,1835,-1604
2015,7,2,23,3739,3450,1830,-1620
2015,7,3,0,3723,3433,1812,-1621
2015,7,3,1,3726,3350,1783,-1567
2015,7,3,2,3685,3368,1800,-1568
2015,7,3,3,3614,3383,1838,-1545
2015,7,3,4,3464,3374,1867,-1507
2015,7,3,5,3265,3352,1790,-1562
2015,7,3,6,2928,3226,1720,-1506
2015,7,3,7,2878,2989,1668,-1321
2015,7,3,8,2676,2782,1483,-1299
2015,7,3,9,2564,2624,1375,-1249
2015,7,3,10,2471,2498,1272,-1226
2015,7,3,11,2421,2413,1281,-1132
2015,7,3,12,2415,2347,1216,-1131
2015,7,3,13,2486,2321,1182,-1139
2015,7,3,14,2683,2332,1217,-1115
2015,7,3,15,2863,2455,1213,-1242
2015,7,3,16,3013,2627,1265,-1362
2015,7,3,17,3153,2796,1275,-1521
2015,7,3,18,3298,2957,1273,-1684
