Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,8,3475,3298,2622,-881
2015,7,1,9,3118,3045,2603,-700
2015,7,1,10,2938,2892,2653,-483
2015,7,1,11,2800,2787,2445,-596
2015,7,1,12,2743,2790,2392,-651
2015,7,1,13,2859,2899,2333,-588
2015,7,1,14,3004,3097,2500,-602
2015,7,1,15,3443,3403,2493,-925
2015,7,1,16,3774,3732,2494,-1231
2015,7,1,17,4114,3964,2578,-1366
2015,7,1,18,4481,4159,2670,-1477
2015,7,1,19,4835,4427,2992,-1413
2015,7,1,20,5088,4581,3234,-1335
2015,7,1,21,5256,4649,3350,-1299
2015,7,1,22,5483,4730,3221,-1498
2015,7,1,23,5592,4829,3399,-1426
2015,7,2,0,5617,4709,3452,-1266
2015,7,2,1,5503,4532,3442,-1105
2015,7,2,2,5209,4332,3148,-1192
2015,7,2,3,4851,4159,2922,-1255
2015,7,2,4,4571,4149,2968,-1185
2015,7,2,5,4412,4036,2917,-1132
2015,7,2,6,4058,3772,2748,-1029
2015,7,2,7,3662,3448,2586,-873
2015,7,2,8,3275,3141,2449,-695
2015,7,2,9,3181,2935,2125,-842
2015,7,2,10,2915,2802,2017,-819
2015,7,2,11,2769,2704,1891,-815
2015,7,2,12,2716,2700,2067,-658
2015,7,2,13,2799,2820,2172,-664
2015,7,2,14,3006,3041,2535,-524
2015,7,2,15,3292,3368,2886,-480
2015,7,2,16,3714,3653,2986,-672
2015,7,2,17,4153,3863,3068,-769
2015,7,2,18,4607,4107,3221,-865
2015,7,2,19,4961,4373,3270,-1095
2015,7,2,20,5234,4564,3440,-1105
2015,7,2,21,5293,4749,3585,-1144
2015,7,2,22,5431,4878,3919,-929
2015,7,2,23,5506,4968,3901,-1053
2015,7,3,0,5529,5012,3963,-1027
2015,7,3,1,5251,4898,4108,-788
2015,7,3,2,4772,4634,3707,-911
2015,7,3,3,4383,4354,3486,-852
2015,7,3,4,4300,4255,3515,-728
2015,7,3,5,4294,4102,3257,-832
2015,7,3,6,3989,3766,2955,-794
2015,7,3,7,3615,3428,2621,-812
2015,7,3,8,3262,3112,2492,-619
2015,7,3,9,2991,2886,2186,-701
2015,7,3,10,2791,2709,1972,-742
2015,7,3,11,2605,2606,1868,-741
2015,7,3,12,2611,2581,1844,-738
2015,7,3,13,2692,2600,1882,-717
2015,7,3,14,2849,2655,1971,-691
2015,7,3,15,3104,2827,2152,-679
2015,7,3,16,3484,3076,2439,-644
2015,7,3,17,3850,3341,2566,-794
2015,7,3,18,4172,3592,2708,-896
2015,7,3,19,4513,3804,2879,-936
2015,7,3,20,4869,3986,2888,-1115
2015,7,3,21,5127,4163,2979,-1198
2015,7,3,22,5242,4318,3271,-1056
2015,7,3,23,5105,4426,3365,-1068
2015,7,4,0,5026,4488,3540,-957
2015,7,4,1,4891,4452,3590,-875
2015,7,4,2,4620,4262,3472,-813
2015,7,4,3,4380,4004,3116,-892
2015,7,4,4,4207,3906,2949,-975
2015,7,4,5,4193,3766,2801,-982
2015,7,4,6,3902,3498,2620,-877
2015,7,4,7,3561,3214,2403,-827
2015,7,4,8,3087,2936,2394,-544
2015,7,4,9,2809,2730,2121,-628
2015,7,4,10,2647,2574,1946,-628
2015,7,4,11,2595,2491,1895,-597
2015,7,4,12,2548,2448,1826,-626
2015,7,4,13,2560,2430,1814,-625
2015,7,4,14,2491,2404,1781,-629
2015,7,4,15,2618,2496,1843,-665
2015,7,4,16,2852,2684,2034,-648
2015,7,4,17,3149,2904,2329,-586
2015,7,4,18,3389,3130,2562,-581
2015,7,4,19,3563,3320,2630,-702
2015,7,4,20,3696,3486,2653,-847
2015,7,4,21,3777,3604,2788,-836
2015,7,4,22,3874,3701,3059,-651
2015,7,4,23,3905,3739,2997,-753
2015,7,5,0,3968,3748,2846,-909
2015,7,5,1,3860,3709,3011,-711
2015,7,5,2,3691,3550,2989,-563
2015,7,5,3,3570,3363,2931,-449
2015,7,5,4,3590,3325,2799,-530
2015,7,5,5,3651,3232,2571,-675
2015,7,5,6,3506,3119,2385,-750
2015,7,5,7,3273,2961,2447,-522
2015,7,5,8,2939,2745,2345,-405
2015,7,5,9,2866,2580,2114,-488
2015,7,5,10,2694,2469,2025,-440
2015,7,5,11,2553,2397,1979,-436
2015,7,5,12,2527,2371,1946,-431
2015,7,5,13,2506,2377,1933,-459
2015,7,5,14,2472,2346,1890,-461
2015,7,5,15,2440,2402,1961,-452
2015,7,5,16,2645,2535,2127,-418
2015,7,5,17,2867,2692,2234,-475
2015,7,5,18,3060,2830,2321,-518
2015,7,5,19,3237,2961,2273,-708
2015,7,5,20,3348,3095,2400,-708
2015,7,5,21,3464,3228,2446,-793
2015,7,5,22,3617,3371,2600,-784
2015,7,5,23,3689,3494,2617,-882
2015,7,6,0,3765,3544,2610,-952
2015,7,6,1,3802,3547,2579,-982
2015,7,6,2,3741,3476,2721,-761
2015,7,6,3,3562,3366,2830,-531
2015,7,6,4,3548,3414,2814,-602
2015,7,6,5,3705,3339,2701,-652
2015,7,6,6,3510,3152,2603,-555
2015,7,6,7,3208,2896,2473,-430
2015,7,6,8,2821,2678,2361,-328
2015,7,6,9,2709,2529,2082,-459
2015,7,6,10,2596,2441,2007,-439
2015,7,6,11,2514,2417,1984,-443
2015,7,6,12,2547,2470,2034,-448
2015,7,6,13,2660,2623,2086,-538
2015,7,6,14,2781,2811,2234,-594
2015,7,6,15,3070,3052,2403,-649
2015,7,6,16,3404,3278,2592,-705
2015,7,6,17,3711,3438,2645,-797
2015,7,6,18,3973,3565,2812,-753
2015,7,6,19,4142,3650,2859,-801
2015,7,6,20,4333,3748,2827,-925
2015,7,6,21,4483,3881,2950,-942
2015,7,6,22,4601,4022,3102,-927
2015,7,6,23,4710,4122,3427,-710
2015,7,7,0,4770,4143,3451,-687
2015,7,7,1,4683,4063,3550,-508
2015,7,7,2,4504,3848,3493,-372
2015,7,7,3,4287,3657,3296,-361
2015,7,7,4,4127,3652,3161,-506
2015,7,7,5,4074,3538,2943,-598
2015,7,7,6,3747,3291,2695,-601
2015,7,7,7,3397,3006,2553,-462
2015,7,7,8,3073,2744,2257,-500
2015,7,7,9,2690,2603,2147,-460
2015,7,7,10,2556,2502,2126,-377
2015,7,7,11,2454,2442,2047,-402
2015,7,7,12,2443,2471,2140,-538
2015,7,7,13,2539,2603,2170,-466
2015,7,7,14,2690,2793,2266,-538
2015,7,7,15,2918,3063,2429,-628
2015,7,7,16,3175,3269,2559,-715
2015,7,7,17,3440,3434,2788,-652
2015,7,7,18,3691,3562,2955,-611
2015,7,7,19,3901,3667,3132,-547
2015,7,7,20,4035,3776,3319,-457
2015,7,7,21,4119,3899,3460,-449
2015,7,7,22,4249,4035,3611,-429
2015,7,7,23,4347,4140,3733,-418
2015,7,8,0,4401,4173,3707,-474
2015,7,8,1,4318,4085,3582,-508
2015,7,8,2,4100,3868,3664,-219
2015,7,8,3,3894,3693,3490,-217
2015,7,8,4,3842,3708,3296,-418
2015,7,8,5,3809,3604,3248,-369
2015,7,8,6,3609,3347,2850,-500
2015,7,8,7,3299,3060,2417,-656
2015,7,8,8,2889,2798,2229,-576
2015,7,8,9,2606,2630,2081,-558
2015,7,8,10,2494,2516,2009,-510
2015,7,8,11,2413,2455,2006,-460
2015,7,8,12,2393,2482,2057,-430
2015,7,8,13,2500,2608,2079,-535
2015,7,8,14,2625,2807,2275,-542
2015,7,8,15,2860,3064,2432,-633
2015,7,8,16,3120,3285,2473,-826
2015,7,8,17,3367,3464,2676,-794
2015,7,8,18,3539,3590,2841,-757
2015,7,8,19,3683,3643,3036,-622
2015,7,8,20,3748,3665,3261,-411
2015,7,8,21,3871,3670,3381,-297
2015,7,8,22,3956,3680,3332,-363
2015,7,8,23,4086,3694,3208,-487
2015,7,9,0,3993,3720,3267,-461
2015,7,9,1,3864,3697,3336,-372
2015,7,9,2,3668,3554,3071,-501
2015,7,9,3,3579,3450,3143,-306
2015,7,9,4,3649,3541,3196,-358
2015,7,9,5,3672,3481,3158,-325
2015,7,9,6,3498,3265,2778,-500
2015,7,9,7,3240,3013,2493,-517
2015,7,9,8,2918,2775,2434,-359
2015,7,9,9,2692,2619,2325,-293
2015,7,9,10,2525,2518,2283,-244
2015,7,9,11,2432,2456,2172,-286
2015,7,9,12,2391,2475,2185,-297
2015,7,9,13,2519,2599,2349,-255
2015,7,9,14,2683,2758,2446,-318
2015,7,9,15,3012,3008,2622,-390
2015,7,9,16,3282,3230,2741,-520
2015,7,9,17,3474,3411,2820,-578
2015,7,9,18,3630,3569,2932,-646
2015,7,9,19,3762,3653,3116,-547
2015,7,9,20,3781,3692,3221,-466
2015,7,9,21,3768,3714,3374,-352
2015,7,9,22,3785,3765,3376,-404
2015,7,9,23,3873,3776,3317,-470
2015,7,10,0,3960,3756,3229,-541
2015,7,10,1,3898,3675,3113,-577
2015,7,10,2,3769,3522,3142,-378
2015,7,10,3,3634,3420,3103,-327
2015,7,10,4,3621,3491,3213,-280
2015,7,10,5,3660,3435,3187,-248
2015,7,10,6,3388,3221,3038,-184
2015,7,10,7,3078,2952,2687,-269
2015,7,10,8,2753,2723,2521,-207
2015,7,10,9,2707,2553,2253,-307
2015,7,10,10,2551,2438,2106,-342
2015,7,10,11,2478,2380,2068,-318
2015,7,10,12,2462,2396,2073,-331
2015,7,10,13,2572,2528,2244,-291
2015,7,10,14,2698,2679,2317,-369
2015,7,10,15,2973,2935,2372,-577
2015,7,10,16,3235,3183,2498,-690
2015,7,10,17,3498,3408,2728,-683
2015,7,10,18,3729,3571,2796,-783
2015,7,10,19,3858,3674,3040,-645
2015,7,10,20,3964,3719,2985,-748
2015,7,10,21,4025,3760,2983,-760
2015,7,10,22,4130,3804,2987,-802
2015,7,10,23,4200,3839,3024,-809
2015,7,11,0,4208,3856,3025,-823
2015,7,11,1,4149,3809,2953,-839
2015,7,11,2,3960,3632,2980,-624
2015,7,11,3,3729,3491,2856,-612
2015,7,11,4,3631,3543,2903,-616
2015,7,11,5,3656,3473,2868,-595
2015,7,11,6,3482,3272,2689,-565
2015,7,11,7,3180,3025,2311,-706
2015,7,11,8,2927,2786,2011,-784
2015,7,11,9,2613,2616,1938,-685
2015,7,11,10,2487,2486,1852,-647
2015,7,11,11,2428,2405,1783,-642
2015,7,11,12,2414,2385,1741,-653
2015,7,11,13,2496,2399,1772,-634
2015,7,11,14,2591,2402,1799,-611
2015,7,11,15,2811,2545,1973,-589
2015,7,11,16,3023,2781,2112,-680
2015,7,11,17,3235,3029,2279,-767
2015,7,11,18,3423,3204,2327,-887
2015,7,11,19,3532,3355,2451,-905
2015,7,11,20,3623,3426,2584,-869
2015,7,11,21,3679,3457,2676,-783
2015,7,11,22,3770,3536,2688,-861
2015,7,11,23,3831,3623,2734,-895
2015,7,12,0,3842,3691,2947,-750
2015,7,12,1,3796,3694,3113,-596
2015,7,12,2,3638,3610,3087,-522
2015,7,12,3,3448,3500,2990,-509
2015,7,12,4,3368,3524,2911,-619
2015,7,12,5,3382,3456,2919,-535
2015,7,12,6,3236,3253,2735,-532
2015,7,12,7,2993,3016,2475,-552
2015,7,12,8,2686,2783,2307,-486
2015,7,12,9,2678,2604,2083,-535
2015,7,12,10,2546,2466,1947,-525
2015,7,12,11,2454,2378,1836,-554
2015,7,12,12,2408,2346,1795,-565
2015,7,12,13,2397,2333,1776,-565
2015,7,12,14,2326,2291,1762,-545
2015,7,12,15,2407,2396,1841,-564
2015,7,12,16,2592,2581,2037,-562
2015,7,12,17,2824,2795,2232,-572
2015,7,12,18,3060,3020,2397,-641
2015,7,12,19,3254,3212,2442,-781
2015,7,12,20,3432,3372,2527,-867
2015,7,12,21,3584,3516,2561,-974
2015,7,12,22,3702,3680,2651,-1042
2015,7,12,23,3805,3812,2884,-941
2015,7,13,0,3871,3908,2956,-958
2015,7,13,1,3921,3933,3152,-789
2015,7,13,2,3852,3884,3178,-721
2015,7,13,3,3759,3736,3038,-691
2015,7,13,4,3717,3753,3064,-703
2015,7,13,5,3790,3659,3037,-630
2015,7,13,6,3562,3413,2727,-702
2015,7,13,7,3239,3096,2508,-602
2015,7,13,8,2858,2823,2210,-619
2015,7,13,9,2827,2635,2096,-556
2015,7,13,10,2688,2517,1976,-559
2015,7,13,11,2589,2466,1927,-545
2015,7,13,12,2498,2493,1930,-577
2015,7,13,13,2619,2614,2060,-568
2015,7,13,14,2790,2796,2193,-610
2015,7,13,15,3081,3111,2292,-839
2015,7,13,16,3374,3415,2523,-902
2015,7,13,17,3577,3698,2605,-1110
2015,7,13,18,3799,3960,2780,-1201
2015,7,13,19,4049,4179,2909,-1268
2015,7,13,20,4228,4350,3250,-1111
