Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,7,6666,6591,6107,-484
2015,7,1,8,6295,6205,6132,-73
2015,7,1,9,6049,5933,5952,19
2015,7,1,10,5906,5840,6041,201
2015,7,1,11,5781,5769,5924,155
2015,7,1,12,5897,5863,5909,46
2015,7,1,13,6088,6039,5845,-194
2015,7,1,14,6605,6450,5589,-861
2015,7,1,15,6988,6829,5767,-1062
2015,7,1,16,7353,7306,6127,-1179
2015,7,1,17,7619,7718,6390,-1328
2015,7,1,18,7862,8038,6384,-1654
2015,7,1,19,8133,8219,6444,-1775
2015,7,1,20,8382,8448,6375,-2073
2015,7,1,21,8566,8605,6493,-2112
2015,7,1,22,8705,8706,6451,-2255
2015,7,1,23,8870,8624,6268,-2356
2015,7,2,0,8832,8614,6333,-2281
2015,7,2,1,8712,8488,6350,-2138
2015,7,2,2,8477,8242,6466,-1776
2015,7,2,3,8203,8065,6477,-1588
2015,7,2,4,7963,7982,6549,-1433
2015,7,2,5,7496,7348,6350,-998
2015,7,2,6,6854,6935,6300,-635
2015,7,2,7,6475,6466,5938,-528
2015,7,2,8,6144,6094,5919,-175
2015,7,2,9,5918,5892,5780,-112
2015,7,2,10,5760,5736,5802,66
2015,7,2,11,5682,5707,5862,155
2015,7,2,12,5791,5762,5938,176
2015,7,2,13,5912,5942,5813,-129
2015,7,2,14,6336,6290,5678,-612
2015,7,2,15,6736,6781,5880,-901
2015,7,2,16,7155,7163,6165,-998
2015,7,2,17,7482,7540,6245,-1295
2015,7,2,18,7726,7904,6274,-1630
2015,7,2,19,7995,8140,6217,-1923
2015,7,2,20,8298,8329,6250,-2079
2015,7,2,21,8473,8476,6188,-2288
2015,7,2,22,8634,8571,6238,-2333
2015,7,2,23,8681,8623,6264,-2359
2015,7,3,0,8627,8560,6438,-2122
2015,7,3,1,8486,8423,6445,-1978
2015,7,3,2,8283,8134,6374,-1760
2015,7,3,3,7999,7774,6428,-1346
2015,7,3,4,7760,7596,6437,-1159
2015,7,3,5,7353,7255,6384,-871
2015,7,3,6,6748,6693,6301,-392
2015,7,3,7,6290,6221,6218,-3
2015,7,3,8,5987,5918,5894,-24
2015,7,3,9,5747,5688,5830,142
2015,7,3,10,5658,5555,5651,96
2015,7,3,11,5594,5520,5729,209
2015,7,3,12,5643,5526,5823,297
2015,7,3,13,5726,5569,5622,53
2015,7,3,14,6215,5795,5512,-283
2015,7,3,15,6693,6188,5730,-458
2015,7,3,16,7003,6649,6051,-598
2015,7,3,17,7338,7093,6282,-811
2015,7,3,18,7632,7415,5995,-1420
2015,7,3,19,7798,7685,6002,-1683
2015,7,3,20,8065,7899,6068,-1831
2015,7,3,21,8317,8071,6052,-2019
2015,7,3,22,8468,8147,6014,-2133
2015,7,3,23,8526,8270,6103,-2167
2015,7,4,0,8490,8267,6239,-2028
2015,7,4,1,8400,8165,6359,-1806
2015,7,4,2,8264,7946,6642,-1304
2015,7,4,3,8001,7653,6724,-929
2015,7,4,4,7675,7496,6727,-769
2015,7,4,5,7213,7120,6465,-655
2015,7,4,6,6644,6647,6088,-559
2015,7,4,7,6267,6287,5762,-525
2015,7,4,8,5971,5973,5572,-401
2015,7,4,9,5773,5738,5537,-201
2015,7,4,10,5617,5625,5522,-103
2015,7,4,11,5463,5543,5499,-44
2015,7,4,12,5471,5472,5428,-44
2015,7,4,13,5429,5469,5328,-141
2015,7,4,14,5588,5603,5588,-15
2015,7,4,15,5933,5898,5429,-469
2015,7,4,16,6303,6297,5696,-601
2015,7,4,17,6656,6573,5795,-778
2015,7,4,18,6984,6825,5774,-1051
2015,7,4,19,7061,7092,5823,-1269
2015,7,4,20,7337,7255,5937,-1318
2015,7,4,21,7455,7414,6122,-1292
