Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,8,865,873,377,-484
2015,7,1,9,841,833,220,-601
2015,7,1,10,790,802,241,-550
2015,7,1,11,783,796,239,-546
2015,7,1,12,800,807,235,-561
2015,7,1,13,857,856,232,-612
2015,7,1,14,976,974,418,-546
2015,7,1,15,1086,1085,591,-480
2015,7,1,16,1140,1155,588,-552
2015,7,1,17,1175,1195,664,-515
2015,7,1,18,1200,1211,793,-402
2015,7,1,19,1225,1235,753,-466
2015,7,1,20,1235,1248,652,-582
2015,7,1,21,1245,1254,819,-419
2015,7,1,22,1250,1262,844,-402
2015,7,1,23,1250,1275,844,-415
2015,7,2,0,1250,1282,904,-363
2015,7,2,1,1240,1277,911,-350
2015,7,2,2,1185,1226,701,-509
2015,7,2,3,1150,1186,635,-537
2015,7,2,4,1125,1157,716,-424
2015,7,2,5,1110,1148,719,-411
2015,7,2,6,1055,1099,751,-333
2015,7,2,7,955,995,548,-433
2015,7,2,8,890,921,317,-591
2015,7,2,9,842,859,259,-588
2015,7,2,10,815,826,247,-567
2015,7,2,11,810,819,264,-544
2015,7,2,12,817,826,255,-559
2015,7,2,13,880,870,352,-506
2015,7,2,14,990,980,460,-509
2015,7,2,15,1114,1095,585,-498
2015,7,2,16,1162,1164,542,-608
2015,7,2,17,1207,1209,774,-420
2015,7,2,18,1238,1231,826,-389
2015,7,2,19,1261,1246,771,-459
2015,7,2,20,1255,1265,739,-511
2015,7,2,21,1270,1268,816,-437
2015,7,2,22,1270,1282,804,-462
2015,7,2,23,1275,1281,834,-431
2015,7,3,0,1275,1284,830,-437
2015,7,3,1,1260,1281,835,-429
2015,7,3,2,1205,1221,613,-592
2015,7,3,3,1160,1176,557,-604
2015,7,3,4,1140,1140,641,-484
2015,7,3,5,1120,1121,628,-478
2015,7,3,6,1070,1083,632,-434
2015,7,3,7,985,992,574,-403
2015,7,3,8,921,923,269,-643
2015,7,3,9,853,867,281,-575
2015,7,3,10,836,834,262,-563
2015,7,3,11,873,818,181,-627
2015,7,3,12,875,846,212,-624
2015,7,3,13,885,865,282,-573
2015,7,3,14,935,936,433,-490
2015,7,3,15,1005,1015,531,-467
2015,7,3,16,1085,1080,639,-425
2015,7,3,17,1155,1133,765,-350
2015,7,3,18,1185,1178,746,-412
2015,7,3,19,1205,1204,794,-391
2015,7,3,20,1205,1209,834,-358
2015,7,3,21,1215,1220,986,-218
2015,7,3,22,1205,1218,904,-296
2015,7,3,23,1220,1228,952,-259
2015,7,4,0,1250,1240,1001,-223
2015,7,4,1,1280,1236,848,-372
2015,7,4,2,1255,1204,728,-461
2015,7,4,3,1230,1171,627,-527
2015,7,4,4,1235,1134,611,-506
2015,7,4,5,1200,1128,601,-511
2015,7,4,6,1145,1096,627,-455
2015,7,4,7,1070,1026,642,-371
2015,7,4,8,960,960,595,-354
2015,7,4,9,905,905,433,-461
2015,7,4,10,870,868,407,-450
2015,7,4,11,845,860,405,-444
2015,7,4,12,840,844,411,-423
2015,7,4,13,855,831,409,-412
2015,7,4,14,860,854,307,-535
2015,7,4,15,915,910,389,-507
2015,7,4,16,1035,998,492,-490
2015,7,4,17,1105,1044,664,-363
2015,7,4,18,1145,1087,740,-329
2015,7,4,19,1160,1104,736,-350
2015,7,4,20,1165,1118,754,-348
2015,7,4,21,1165,1116,757,-343
2015,7,4,22,1160,1121,740,-365
2015,7,4,23,1155,1108,779,-315
2015,7,5,0,1170,1118,740,-361
2015,7,5,1,1160,1109,775,-316
2015,7,5,2,1145,1105,729,-360
2015,7,5,3,1130,1073,656,-401
2015,7,5,4,1140,1051,483,-550
2015,7,5,5,1105,1035,481,-537
2015,7,5,6,1060,1004,459,-530
2015,7,5,7,995,978,451,-513
2015,7,5,8,930,930,353,-563
2015,7,5,9,885,891,275,-603
2015,7,5,10,860,867,294,-559
2015,7,5,11,845,846,248,-586
2015,7,5,12,835,837,241,-583
2015,7,5,13,835,817,227,-578
2015,7,5,14,860,826,300,-515
2015,7,5,15,920,877,335,-530
2015,7,5,16,1005,918,388,-516
2015,7,5,17,1080,1021,478,-527
2015,7,5,18,1125,1072,572,-485
2015,7,5,19,1150,1099,589,-494
2015,7,5,20,1155,1115,638,-461
2015,7,5,21,1170,1133,720,-396
2015,7,5,22,1170,1087,747,-324
2015,7,5,23,1170,1104,903,-185
2015,7,6,0,1180,1117,913,-184
2015,7,6,1,1195,1125,942,-165
2015,7,6,2,1190,1157,929,-212
2015,7,6,3,1190,1163,944,-202
2015,7,6,4,1180,1157,660,-480
2015,7,6,5,1175,1158,475,-666
2015,7,6,6,1130,1114,552,-545
2015,7,6,7,1030,1020,355,-649
2015,7,6,8,945,950,244,-693
2015,7,6,9,900,909,251,-645
2015,7,6,10,875,888,253,-623
2015,7,6,11,870,875,267,-595
2015,7,6,12,885,901,299,-588
2015,7,6,13,945,932,235,-683
2015,7,6,14,1070,1035,383,-635
2015,7,6,15,1190,1114,359,-738
2015,7,6,16,1245,1188,460,-710
2015,7,6,17,1280,1215,641,-558
2015,7,6,18,1310,1268,799,-452
2015,7,6,19,1330,1290,710,-562
2015,7,6,20,1340,1288,584,-684
2015,7,6,21,1360,1321,736,-567
2015,7,6,22,1360,1330,686,-626
2015,7,6,23,1365,1325,624,-682
2015,7,7,0,1360,1334,602,-713
2015,7,7,1,1350,1327,713,-595
2015,7,7,2,1300,1280,590,-672
2015,7,7,3,1265,1240,598,-624
2015,7,7,4,1235,1197,596,-581
2015,7,7,5,1205,1184,569,-596
2015,7,7,6,1140,1118,557,-543
2015,7,7,7,1040,1018,455,-547
2015,7,7,8,935,940,333,-591
2015,7,7,9,885,889,246,-629
2015,7,7,10,860,855,229,-613
2015,7,7,11,850,842,226,-603
2015,7,7,12,865,861,208,-640
2015,7,7,13,910,887,222,-651
2015,7,7,14,1030,1005,316,-674
2015,7,7,15,1140,1104,338,-748
2015,7,7,16,1200,1148,308,-823
2015,7,7,17,1240,1187,323,-845
2015,7,7,18,1270,1204,395,-791
2015,7,7,19,1290,1233,516,-698
2015,7,7,20,1305,1228,530,-679
2015,7,7,21,1320,1252,607,-625
2015,7,7,22,1325,1266,662,-583
2015,7,7,23,1330,1266,701,-546
2015,7,8,0,1340,1271,726,-525
2015,7,8,1,1325,1237,735,-482
2015,7,8,2,1280,1159,632,-510
2015,7,8,3,1235,1119,642,-459
2015,7,8,4,1205,1095,502,-574
2015,7,8,5,1180,1080,456,-605
2015,7,8,6,1125,1022,381,-624
2015,7,8,7,1035,926,291,-620
2015,7,8,8,860,849,348,-491
2015,7,8,9,815,812,276,-526
2015,7,8,10,785,783,266,-508
2015,7,8,11,775,775,231,-534
2015,7,8,12,790,793,265,-519
2015,7,8,13,835,832,322,-500
2015,7,8,14,955,943,330,-601
2015,7,8,15,1070,1052,380,-656
2015,7,8,16,1155,1105,459,-631
2015,7,8,17,1195,1131,543,-572
2015,7,8,18,1225,1172,569,-585
2015,7,8,19,1240,1201,633,-550
2015,7,8,20,1255,1213,599,-598
2015,7,8,21,1270,1220,701,-503
2015,7,8,22,1275,1206,685,-504
2015,7,8,23,1280,1227,764,-447
2015,7,9,0,1285,1239,683,-538
2015,7,9,1,1275,1231,702,-511
2015,7,9,2,1215,1177,549,-613
2015,7,9,3,1175,1138,467,-657
2015,7,9,4,1145,1111,509,-587
2015,7,9,5,1130,1105,522,-567
2015,7,9,6,1080,1053,558,-479
2015,7,9,7,985,955,495,-445
2015,7,9,8,865,870,230,-629
2015,7,9,9,825,827,236,-580
2015,7,9,10,795,802,198,-595
2015,7,9,11,785,789,209,-571
2015,7,9,12,795,798,213,-576
2015,7,9,13,840,848,232,-605
2015,7,9,14,955,946,315,-620
2015,7,9,15,1065,1051,365,-672
2015,7,9,16,1155,1101,414,-670
2015,7,9,17,1190,1136,444,-675
2015,7,9,18,1220,1178,505,-656
2015,7,9,19,1235,1199,524,-658
2015,7,9,20,1250,1216,518,-681
2015,7,9,21,1265,1238,526,-693
2015,7,9,22,1270,1244,557,-670
2015,7,9,23,1275,1255,658,-579
2015,7,10,0,1280,1255,667,-570
