Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,8,3920,4103,4974,871
2015,7,1,9,3693,3897,4422,525
2015,7,1,10,3610,3694,4094,400
2015,7,1,11,3505,3590,3865,275
2015,7,1,12,3509,3546,3739,193
2015,7,1,13,3493,3534,3869,335
2015,7,1,14,3616,3634,4049,415
2015,7,1,15,3883,3810,4419,609
2015,7,1,16,4198,4053,4926,873
2015,7,1,17,4654,4330,5336,1006
2015,7,1,18,4997,4678,5896,1218
2015,7,1,19,5361,4955,6207,1252
2015,7,1,20,5690,5252,6498,1246
2015,7,1,21,5961,5451,6557,1106
2015,7,1,22,6100,5658,6806,1148
2015,7,1,23,6278,5723,6864,1141
2015,7,2,0,-9999,5723,6864,-9999
2015,7,2,1,-9999,-9999,-9999,-9999
2015,7,2,2,-9999,-9999,-9999,-9999
2015,7,2,3,-9999,-9999,-9999,-9999
2015,7,2,4,-9999,-9999,-9999,-9999
2015,7,2,5,-9999,-9999,-9999,-9999
2015,7,2,6,-9999,-9999,-9999,-9999
2015,7,2,7,-9999,-9999,-9999,-9999
2015,7,2,8,4083,3893,4378,485
2015,7,2,9,3783,3636,3848,212
2015,7,2,10,3633,3466,3556,90
2015,7,2,11,3514,3436,3391,-45
2015,7,2,12,3506,3395,3261,-134
2015,7,2,13,3541,3404,3364,-40
2015,7,2,14,3693,3540,3682,142
2015,7,2,15,3890,3792,4174,382
2015,7,2,16,4102,4096,4572,476
2015,7,2,17,4310,4433,4957,524
2015,7,2,18,4576,4756,5771,1015
2015,7,2,19,4935,5058,6234,1176
2015,7,2,20,5158,5318,6584,1266
2015,7,2,21,5447,5510,6895,1385
2015,7,2,22,5706,5731,7089,1358
2015,7,2,23,5848,5822,7164,1342
2015,7,3,0,-9999,5822,7164,-9999
2015,7,3,1,-9999,-9999,-9999,-9999
2015,7,3,2,-9999,-9999,-9999,-9999
2015,7,3,3,-9999,-9999,-9999,-9999
2015,7,3,4,-9999,-9999,-9999,-9999
2015,7,3,5,-9999,-9999,-9999,-9999
2015,7,3,6,-9999,-9999,-9999,-9999
2015,7,3,7,-9999,-9999,-9999,-9999
2015,7,3,8,4083,4014,4706,692
2015,7,3,9,3829,3825,4387,562
2015,7,3,10,3483,3688,4194,506
2015,7,3,11,3376,3539,3804,265
2015,7,3,12,3344,3500,3724,224
2015,7,3,13,3357,3449,3724,275
2015,7,3,14,3502,3370,3478,108
2015,7,3,15,3720,3353,3449,96
2015,7,3,16,3929,3470,3746,276
2015,7,3,17,4258,3646,4138,492
2015,7,3,18,4655,3856,4754,898
2015,7,3,19,5001,4061,4902,841
2015,7,3,20,5365,4248,5095,847
2015,7,3,21,5592,4412,5223,811
2015,7,3,22,5784,4492,5448,956
2015,7,3,23,5884,4554,5506,952
2015,7,4,0,-9999,4554,5506,-9999
2015,7,4,1,-9999,-9999,-9999,-9999
2015,7,4,2,-9999,-9999,-9999,-9999
2015,7,4,3,-9999,-9999,-9999,-9999
2015,7,4,4,-9999,-9999,-9999,-9999
2015,7,4,5,-9999,-9999,-9999,-9999
2015,7,4,6,-9999,-9999,-9999,-9999
2015,7,4,7,-9999,-9999,-9999,-9999
2015,7,4,8,3867,3682,4368,686
2015,7,4,9,3782,3473,3909,436
2015,7,4,10,3533,3280,3512,232
2015,7,4,11,3396,3141,3183,42
2015,7,4,12,3334,3106,3091,-15
2015,7,4,13,3251,3031,3030,-1
2015,7,4,14,3264,3063,3241,178
2015,7,4,15,3532,3285,3430,145
2015,7,4,16,3854,3659,3846,187
2015,7,4,17,4234,4101,4302,201
2015,7,4,18,4285,4419,4981,562
2015,7,4,19,4624,4616,5452,836
2015,7,4,20,4806,4822,5728,906
2015,7,4,21,4705,5032,5934,902
2015,7,4,22,5019,5237,5949,712
2015,7,4,23,5152,5373,5967,594
2015,7,5,0,-9999,5373,5967,-9999
2015,7,5,1,-9999,-9999,-9999,-9999
2015,7,5,2,-9999,-9999,-9999,-9999
2015,7,5,3,-9999,-9999,-9999,-9999
2015,7,5,4,-9999,-9999,-9999,-9999
2015,7,5,5,-9999,-9999,-9999,-9999
2015,7,5,6,-9999,-9999,-9999,-9999
2015,7,5,7,-9999,-9999,-9999,-9999
2015,7,5,8,3977,3773,3882,109
2015,7,5,9,3449,3605,3523,-82
2015,7,5,10,3326,3506,3511,5
2015,7,5,11,3217,3378,3420,42
2015,7,5,12,3149,3322,3364,42
2015,7,5,13,3042,3266,3316,50
2015,7,5,14,2920,3185,3193,8
2015,7,5,15,3140,3319,3299,-20
2015,7,5,16,3498,3635,3744,109
2015,7,5,17,3993,4076,4191,115
2015,7,5,18,4402,4486,4818,332
2015,7,5,19,4849,4811,5450,639
2015,7,5,20,5140,5062,5701,639
