Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,6,28673,28891,28286,-605
2015,7,1,7,27170,27413,26897,-514
2015,7,1,8,26041,26291,25632,-657
2015,7,1,9,25380,25582,24964,-617
2015,7,1,10,25214,25395,24830,-565
2015,7,1,11,25931,25963,25361,-602
2015,7,1,12,27079,26848,26045,-808
2015,7,1,13,28754,28082,27159,-926
2015,7,1,14,30463,29474,28512,-963
2015,7,1,15,32246,31159,30179,-982
2015,7,1,16,34138,32995,32007,-989
2015,7,1,17,35812,34995,33777,-1220
2015,7,1,18,37327,36894,35507,-1389
2015,7,1,19,38795,38565,36745,-1819
2015,7,1,20,39613,39512,37553,-1958
2015,7,1,21,40467,40220,38136,-2085
2015,7,1,22,40651,40692,38496,-2197
2015,7,1,23,40269,40595,38692,-1903
2015,7,2,0,39490,39918,38200,-1717
2015,7,2,1,38445,38696,37097,-1598
2015,7,2,2,36878,37245,35834,-1411
2015,7,2,3,36048,36321,35075,-1245
2015,7,2,4,33685,34084,33175,-907
2015,7,2,5,30702,31400,30621,-775
2015,7,2,6,29056,29231,28657,-571
2015,7,2,7,27487,27588,26964,-621
2015,7,2,8,26409,26475,25815,-658
2015,7,2,9,25782,25734,25033,-700
2015,7,2,10,25602,25506,24513,-992
2015,7,2,11,26304,26089,25374,-717
2015,7,2,12,27289,26946,26194,-756
2015,7,2,13,28822,28137,27248,-890
2015,7,2,14,30356,29550,28890,-662
2015,7,2,15,31832,30914,30254,-660
2015,7,2,16,33521,32262,31283,-980
2015,7,2,17,34987,33460,32453,-1007
2015,7,2,18,36351,34506,33536,-971
2015,7,2,19,37370,35392,34234,-1158
2015,7,2,20,37730,35700,34633,-1067
2015,7,2,21,37900,35924,34532,-1392
2015,7,2,22,37902,35857,34534,-1323
2015,7,2,23,37283,35173,33947,-1225
2015,7,3,0,36306,34183,33025,-1157
2015,7,3,1,35186,33056,31842,-1213
2015,7,3,2,33868,32028,31076,-951
2015,7,3,3,33119,31239,30317,-921
2015,7,3,4,30991,29540,28711,-828
2015,7,3,5,28498,27443,26873,-566
2015,7,3,6,26623,25607,24931,-675
2015,7,3,7,25166,24347,23854,-491
2015,7,3,8,24131,23531,23081,-449
2015,7,3,9,23416,22982,22449,-531
2015,7,3,10,23037,22797,22275,-522
2015,7,3,11,22961,23058,22459,-600
2015,7,3,12,22717,23225,22558,-667
2015,7,3,13,23510,23912,23065,-850
2015,7,3,14,25291,25348,24442,-908
2015,7,3,15,27126,27052,26159,-896
2015,7,3,16,28709,28623,27591,-1034
2015,7,3,17,29992,30127,29070,-1058
2015,7,3,18,31122,31500,30381,-1121
2015,7,3,19,32085,32735,31486,-1250
2015,7,3,20,32771,33544,32146,-1398
2015,7,3,21,33555,34276,32576,-1700
2015,7,3,22,33802,34711,33103,-1608
2015,7,3,23,33633,34536,32937,-1598
2015,7,4,0,32911,33621,32185,-1435
2015,7,4,1,31697,32372,31072,-1299
2015,7,4,2,30326,30929,29927,-1002
2015,7,4,3,29647,30108,29274,-833
2015,7,4,4,28276,28531,27700,-830
2015,7,4,5,26514,26750,26295,-452
2015,7,4,6,25381,24978,24203,-772
2015,7,4,7,23985,23577,22866,-710
2015,7,4,8,23031,22605,21781,-822
2015,7,4,9,22368,22039,21220,-818
2015,7,4,10,21989,21679,20891,-787
2015,7,4,11,21889,21634,20746,-888
2015,7,4,12,21722,21349,20479,-869
2015,7,4,13,22547,21894,20754,-1141
2015,7,4,14,24492,23550,22326,-1228
2015,7,4,15,26491,25600,24465,-1137
2015,7,4,16,28268,27701,26650,-1054
2015,7,4,17,29827,29587,28553,-1038
2015,7,4,18,31137,31153,30086,-1069
2015,7,4,19,32240,32376,31211,-1167
2015,7,4,20,33152,33303,31785,-1519
2015,7,4,21,34182,33999,32611,-1388
2015,7,4,22,34762,34146,32838,-1308
2015,7,4,23,34734,33748,32508,-1240
2015,7,5,0,34160,32812,31767,-1043
2015,7,5,1,33029,31523,30649,-873
2015,7,5,2,31741,29984,29135,-848
2015,7,5,3,31046,28840,28043,-795
2015,7,5,4,29628,27697,26854,-842
2015,7,5,5,27819,26707,26318,-388
2015,7,5,6,25936,25312,24617,-692
2015,7,5,7,24611,24017,23245,-770
2015,7,5,8,23762,23042,22207,-834
2015,7,5,9,23131,22437,21606,-829
2015,7,5,10,22726,22146,21385,-761
2015,7,5,11,22651,22153,21301,-852
2015,7,5,12,22500,21967,21069,-898
2015,7,5,13,23393,22735,21790,-946
2015,7,5,14,25323,24521,23457,-1066
2015,7,5,15,27354,26830,25742,-1091
2015,7,5,16,29016,29143,27913,-1233
2015,7,5,17,30746,31227,30097,-1134
2015,7,5,18,32457,33224,32123,-1104
2015,7,5,19,33967,34951,33955,-998
2015,7,5,20,35129,36353,35285,-1068
2015,7,5,21,36091,37428,36135,-1295
2015,7,5,22,36720,38186,36895,-1292
2015,7,5,23,36823,38428,37317,-1111
2015,7,6,0,36250,37835,36796,-1038
2015,7,6,1,35391,36563,35528,-1034
2015,7,6,2,34400,35184,34369,-814
2015,7,6,3,33834,34516,33806,-709
2015,7,6,4,32063,32508,31779,-725
2015,7,6,5,29714,30043,29591,-449
2015,7,6,6,27350,28090,27661,-427
2015,7,6,7,25956,26756,26129,-624
2015,7,6,8,25084,25827,25310,-515
2015,7,6,9,24589,25268,24779,-489
2015,7,6,10,24717,25176,24539,-637
2015,7,6,11,25545,25843,24982,-863
2015,7,6,12,26797,26712,26023,-692
2015,7,6,13,28608,28120,27273,-849
2015,7,6,14,30273,29917,29221,-699
2015,7,6,15,31915,31798,30922,-878
2015,7,6,16,33733,33792,32773,-1021
2015,7,6,17,35313,35473,34346,-1129
2015,7,6,18,36639,36914,35633,-1282
2015,7,6,19,37840,38170,36604,-1567
2015,7,6,20,38430,38739,37300,-1439
2015,7,6,21,38765,38938,37100,-1837
2015,7,6,22,38692,38485,37017,-1468
2015,7,6,23,37792,37233,35965,-1266
2015,7,7,0,36650,35807,34825,-981
2015,7,7,1,35313,34494,33764,-730
2015,7,7,2,33983,33454,32904,-549
