Year,Month,Day,Hour,Forecast_Demand_MWh,Adjusted_Demand_MWh,Adjusted_Generation_MWh,Adjusted_Interchange_MWh
2015,7,1,8,1091,1119,1094,-25
2015,7,1,9,1055,1018,890,-128
2015,7,1,10,1015,1039,867,-172
2015,7,1,11,997,1019,863,-156
2015,7,1,12,982,1018,915,-103
2015,7,1,13,988,1006,958,-48
2015,7,1,14,968,921,1059,138
2015,7,1,15,1043,971,1330,359
2015,7,1,16,1124,1042,1365,323
2015,7,1,17,1207,1103,1508,405
2015,7,1,18,1293,1160,1467,307
2015,7,1,19,1370,1230,1538,308
2015,7,1,20,1388,1238,1823,585
2015,7,1,21,1444,1289,1956,667
2015,7,1,22,1416,1299,2310,1011
2015,7,1,23,1390,1287,2310,1023
2015,7,2,0,1366,1278,2251,973
2015,7,2,1,1333,1243,1988,745
2015,7,2,2,1304,1219,1893,674
2015,7,2,3,1271,1176,2020,844
2015,7,2,4,1212,1173,1916,743
2015,7,2,5,1203,1102,1598,496
2015,7,2,6,1197,1185,1597,412
2015,7,2,7,1137,1113,1314,201
2015,7,2,8,1096,1075,952,-123
2015,7,2,9,1059,1044,892,-152
2015,7,2,10,1012,1024,876,-148
2015,7,2,11,1018,1012,875,-137
2015,7,2,12,1005,1008,898,-110
2015,7,2,13,1001,1010,902,-108
2015,7,2,14,1001,913,1157,244
2015,7,2,15,1056,980,1377,397
2015,7,2,16,1121,1051,1494,443
2015,7,2,17,1204,1095,1472,377
2015,7,2,18,1268,1164,1279,115
2015,7,2,19,1333,1218,1413,195
2015,7,2,20,1354,1258,1916,658
2015,7,2,21,1388,1296,2179,883
2015,7,2,22,1413,1345,2250,905
2015,7,2,23,1434,1353,2315,962
2015,7,3,0,1421,1368,2443,1075
2015,7,3,1,1393,1341,2234,893
2015,7,3,2,1340,1305,2203,898
2015,7,3,3,1288,1273,2133,860
2015,7,3,4,1246,1263,1921,658
2015,7,3,5,1234,1206,1684,478
2015,7,3,6,1205,1259,1352,93
2015,7,3,7,0,1190,1136,-54
2015,7,3,8,1098,1122,1061,-61
2015,7,3,9,1056,1083,1018,-65
2015,7,3,10,1019,1048,980,-68
2015,7,3,11,1006,1034,917,-117
2015,7,3,12,998,1031,907,-124
2015,7,3,13,982,1029,924,-105
2015,7,3,14,983,913,1147,234
2015,7,3,15,1043,922,990,68
2015,7,3,16,1123,978,1022,44
2015,7,3,17,1184,1027,1077,50
2015,7,3,18,1267,1097,1163,66
2015,7,3,19,1323,1147,1300,153
2015,7,3,20,1298,1196,1759,563
2015,7,3,21,1355,1233,2074,841
2015,7,3,22,1384,1264,2163,899
2015,7,3,23,1434,1297,2368,1071
2015,7,4,0,1408,1305,2442,1137
2015,7,4,1,1366,1314,2412,1098
2015,7,4,2,1331,1274,2170,896
2015,7,4,3,1275,1249,2012,763
2015,7,4,4,1244,1206,1846,640
2015,7,4,5,1267,1160,1669,509
2015,7,4,6,1227,1232,1337,105
2015,7,4,7,1162,1161,1149,-12
2015,7,4,8,1108,1104,983,-121
2015,7,4,9,1072,1061,909,-152
2015,7,4,10,1040,1031,874,-157
2015,7,4,11,1015,1008,846,-162
2015,7,4,12,1005,1002,834,-168
2015,7,4,13,989,1001,867,-134
2015,7,4,14,963,967,840,-127
2015,7,4,15,1014,993,871,-122
2015,7,4,16,1093,1061,963,-98
2015,7,4,17,1163,1125,1016,-109
2015,7,4,18,1236,1175,1033,-142
2015,7,4,19,1308,1230,1066,-164
2015,7,4,20,1272,1187,1104,-83
2015,7,4,21,1317,1206,1333,127
2015,7,4,22,1345,1239,1467,228
2015,7,4,23,1349,1260,1473,213
2015,7,5,0,1330,1263,1540,277
2015,7,5,1,1312,1243,1544,301
2015,7,5,2,1262,1232,1501,269
2015,7,5,3,1220,1191,1279,88
2015,7,5,4,1174,1212,1171,-41
2015,7,5,5,1219,1169,1050,-119
2015,7,5,6,1193,1178,1383,205
2015,7,5,7,1131,1127,1172,45
2015,7,5,8,1076,1064,1009,-55
2015,7,5,9,1046,1025,911,-114
2015,7,5,10,1010,992,912,-80
2015,7,5,11,994,976,853,-123
2015,7,5,12,988,981,838,-143
2015,7,5,13,975,970,837,-133
2015,7,5,14,960,928,869,-59
2015,7,5,15,1017,961,886,-75
2015,7,5,16,1093,1028,928,-100
2015,7,5,17,1167,1075,1036,-39
2015,7,5,18,1242,1124,1132,8
2015,7,5,19,1321,1171,1150,-21
2015,7,5,20,1308,1096,1287,191
2015,7,5,21,1315,1116,1434,318
2015,7,5,22,1331,1105,1434,329
2015,7,5,23,1322,1084,1423,339
2015,7,6,0,1312,1076,1459,383
2015,7,6,1,1298,1048,1523,475
2015,7,6,2,1242,1019,1547,528
2015,7,6,3,1219,1016,1452,436
2015,7,6,4,1208,1082,1281,199
2015,7,6,5,1190,1055,1120,65
2015,7,6,6,1168,1045,1015,-30
2015,7,6,7,1113,989,897,-92
2015,7,6,8,1064,973,835,-138
2015,7,6,9,1034,953,809,-144
2015,7,6,10,1011,896,747,-149
2015,7,6,11,982,906,742,-164
2015,7,6,12,994,925,750,-175
2015,7,6,13,997,916,800,-116
2015,7,6,14,1003,922,986,64
2015,7,6,15,1070,972,1032,60
2015,7,6,16,1135,1044,1111,67
2015,7,6,17,1211,1111,1254,143
2015,7,6,18,1293,1181,1388,207
2015,7,6,19,1371,1260,1454,194
2015,7,6,20,1318,1214,1715,501
2015,7,6,21,1374,1248,1817,569
2015,7,6,22,1414,1254,1901,647
2015,7,6,23,1429,1243,1608,365
2015,7,7,0,1397,1238,1845,607
2015,7,7,1,1353,1215,1817,602
2015,7,7,2,1289,1182,1711,529
2015,7,7,3,1245,1153,1526,373
2015,7,7,4,1221,1217,1672,455
2015,7,7,5,1254,1164,1477,313
2015,7,7,6,1231,1125,1190,65
2015,7,7,7,1162,1060,1026,-34
2015,7,7,8,1121,1028,1011,-17
2015,7,7,9,1084,990,888,-102
2015,7,7,10,1056,968,860,-108
2015,7,7,11,1035,954,777,-177
2015,7,7,12,1032,980,854,-126
2015,7,7,13,1046,976,955,-21
2015,7,7,14,1022,977,1017,40
2015,7,7,15,1090,1040,1133,93
2015,7,7,16,1151,1086,1178,92
2015,7,7,17,1231,1156,1243,87
2015,7,7,18,1285,1217,1283,66
2015,7,7,19,1340,1270,1383,113
2015,7,7,20,1291,1204,1528,324
2015,7,7,21,1317,1227,1758,531
2015,7,7,22,1351,1249,1820,571
2015,7,7,23,1371,1252,1703,451
2015,7,8,0,1371,1266,1869,603
2015,7,8,1,1336,1244,1913,669
2015,7,8,2,1283,1236,1876,640
2015,7,8,3,1222,1206,1886,680
2015,7,8,4,1183,1258,1752,494
2015,7,8,5,1162,1210,1504,294
2015,7,8,6,1208,1181,1303,122
2015,7,8,7,1146,1113,1123,10
2015,7,8,8,1119,1032,949,-83
2015,7,8,9,1018,992,877,-115
2015,7,8,10,1039,943,819,-124
2015,7,8,11,1019,899,767,-132
2015,7,8,12,1018,897,774,-123
2015,7,8,13,1006,894,792,-102
2015,7,8,14,921,941,905,-36
2015,7,8,15,971,1013,1030,17
2015,7,8,16,1042,1076,1092,16
2015,7,8,17,1103,1154,1172,18
2015,7,8,18,1160,1223,1247,24
2015,7,8,19,1230,1287,1315,28
2015,7,8,20,1238,1234,1529,295
2015,7,8,21,1289,1257,1587,330
2015,7,8,22,1299,1271,1663,392
2015,7,8,23,1287,1274,1735,461
2015,7,9,0,1278,1288,1984,696
2015,7,9,1,1243,1276,1935,659
2015,7,9,2,1219,1253,2097,844
2015,7,9,3,1176,1213,2161,948
2015,7,9,4,1173,1219,1951,732
2015,7,9,5,1102,1167,1597,430
2015,7,9,6,1185,1123,1361,238
2015,7,9,7,1113,1063,1136,73
2015,7,9,8,1075,1020,944,-76
2015,7,9,9,1044,988,811,-177
2015,7,9,10,1024,960,768,-192
2015,7,9,11,1012,942,768,-174
2015,7,9,12,1008,956,874,-82
2015,7,9,13,1010,944,955,11
2015,7,9,14,913,972,1053,81
2015,7,9,15,980,1027,1155,128
2015,7,9,16,1051,1073,1137,64
2015,7,9,17,1095,1142,1245,103
2015,7,9,18,1164,1168,1248,80
2015,7,9,19,1218,1217,1335,118
2015,7,9,20,1258,1240,1574,334
2015,7,9,21,1296,1262,1545,283
2015,7,9,22,1345,1272,1682,410
2015,7,9,23,1353,1275,1702,427
2015,7,10,0,1368,1269,1756,487
2015,7,10,1,1341,1255,1789,534
2015,7,10,2,1305,1267,1870,603
2015,7,10,3,1273,1232,1874,642
2015,7,10,4,1263,1208,1898,690
2015,7,10,5,1206,1154,1836,682
2015,7,10,6,1259,1077,1528,451
2015,7,10,7,1190,1004,1303,299
2015,7,10,8,1122,931,1002,71
2015,7,10,9,1083,912,893,-19
2015,7,10,10,1048,891,712,-179
2015,7,10,11,1034,880,665,-215
2015,7,10,12,1031,883,677,-206
2015,7,10,13,1029,879,691,-188
2015,7,10,14,913,915,939,24
2015,7,10,15,922,987,1133,146
2015,7,10,16,978,1036,1151,115
2015,7,10,17,1027,1095,1264,169
2015,7,10,18,1097,1150,1431,281
2015,7,10,19,1147,1205,1511,306
2015,7,10,20,1196,1241,1500,259
2015,7,10,21,1233,1263,1708,445
2015,7,10,22,1264,1304,1767,463
2015,7,10,23,1297,1306,1807,501
2015,7,11,0,1305,1276,1736,460
2015,7,11,1,1314,1282,1943,661
2015,7,11,2,1274,1278,1881,603
2015,7,11,3,1249,1251,1923,672
2015,7,11,4,1206,1213,1907,694
2015,7,11,5,1160,1164,1664,500
2015,7,11,6,1232,1097,1553,456
2015,7,11,7,1161,1032,1403,371
2015,7,11,8,1104,982,1044,62
2015,7,11,9,1061,937,870,-67
2015,7,11,10,1031,917,717,-200
2015,7,11,11,1008,901,701,-200
2015,7,11,12,1002,890,726,-164
2015,7,11,13,1001,903,770,-133
2015,7,11,14,967,924,777,-147
2015,7,11,15,993,958,853,-105
2015,7,11,16,1061,1037,950,-87
2015,7,11,17,1125,1096,1024,-72
2015,7,11,18,1175,1161,1183,22
2015,7,11,19,1230,1208,1239,31
2015,7,11,20,1187,1239,1342,103
2015,7,11,21,1206,1285,1633,348
2015,7,11,22,1239,1312,1686,374
2015,7,11,23,1260,1349,1867,518
2015,7,12,0,1263,1331,1985,654
2015,7,12,1,1243,1318,1925,607
2015,7,12,2,1232,1288,2045,757
2015,7,12,3,1191,1258,2072,814
2015,7,12,4,1212,1219,2022,803
2015,7,12,5,1169,1162,1712,550
2015,7,12,6,1178,1109,1688,579
2015,7,12,7,1127,1035,1394,359
2015,7,12,8,1064,1019,1082,63
2015,7,12,9,1025,976,1042,66
2015,7,12,10,992,938,830,-108
2015,7,12,11,976,910,799,-111
2015,7,12,12,981,908,777,-131
2015,7,12,13,970,901,887,-14
2015,7,12,14,928,915,709,-206
2015,7,12,15,961,963,687,-276
2015,7,12,16,1028,1033,746,-287
2015,7,12,17,1075,1111,849,-262
2015,7,12,18,1124,1190,945,-245
2015,7,12,19,1171,1254,1150,-104
2015,7,12,20,1096,1270,1282,12
2015,7,12,21,1116,1319,1687,368
2015,7,12,22,1105,1292,1934,642
2015,7,12,23,1084,1274,1834,560
2015,7,13,0,1076,1250,1991,741
2015,7,13,1,1048,1233,2026,793
2015,7,13,2,1019,1261,2117,856
2015,7,13,3,1016,1205,2249,1044
2015,7,13,4,1082,1147,2150,1003
2015,7,13,5,1055,1092,2020,928
2015,7,13,6,1045,1101,1689,588
2015,7,13,7,989,1034,993,-41
2015,7,13,8,973,981,843,-138
2015,7,13,9,953,938,736,-202
2015,7,13,10,896,917,706,-211
2015,7,13,11,906,916,741,-175
2015,7,13,12,925,931,739,-192
2015,7,13,13,916,939,872,-67
2015,7,13,14,922,979,1031,52
2015,7,13,15,972,1033,1054,21
2015,7,13,16,1044,1078,1053,-25
2015,7,13,17,1111,1145,1149,4
2015,7,13,18,1181,1221,1265,44
2015,7,13,19,1260,1283,1253,-30
2015,7,13,20,1214,1306,1627,321
2015,7,13,21,1248,1341,1684,343
2015,7,13,22,1254,1343,1878,535
2015,7,13,23,1243,1356,2012,656
2015,7,14,0,1238,1350,1995,645
2015,7,14,1,1215,1309,1952,643
2015,7,14,2,1182,1286,1896,610
2015,7,14,3,1153,1245,1688,443
2015,7,14,4,1217,1195,1707,512
2015,7,14,5,1164,1147,1452,305
2015,7,14,6,1125,1156,1161,5
2015,7,14,7,1060,1088,1024,-64
2015,7,14,8,1028,1031,873,-158
2015,7,14,9,990,1005,811,-194
2015,7,14,10,968,969,771,-198
2015,7,14,11,954,950,721,-229
2015,7,14,12,980,953,816,-137
2015,7,14,13,976,973,894,-79
2015,7,14,14,977,996,980,-16
2015,7,14,15,1040,1044,1006,-38
2015,7,14,16,1086,1083,1020,-63
2015,7,14,17,1156,1164,1091,-73
2015,7,14,18,1217,1189,1153,-36
2015,7,14,19,1270,1257,1238,-19
2015,7,14,20,1204,1260,1441,181
2015,7,14,21,1227,1279,1662,383
2015,7,14,22,1249,1314,1834,520
2015,7,14,23,1252,1310,1799,489
2015,7,15,0,1266,1287,1887,600
2015,7,15,1,1244,1258,1942,684
2015,7,15,2,1236,1230,1946,716
2015,7,15,3,1206,1186,2060,874
2015,7,15,4,1258,1162,2122,960
2015,7,15,5,1210,1093,1535,442
2015,7,15,6,1181,1145,1141,-4
2015,7,15,7,1113,1077,1042,-35
2015,7,15,8,1032,1025,945,-80
2015,7,15,9,992,989,904,-85
2015,7,15,10,943,958,728,-230
2015,7,15,11,899,954,712,-242
2015,7,15,12,897,943,718,-225
2015,7,15,13,894,959,872,-87
2015,7,15,14,941,998,960,-38
2015,7,15,15,1013,172,1041,869
2015,7,15,16,1076,1071,1026,-45
2015,7,15,17,1154,1139,1188,49
2015,7,15,18,1223,1198,1198,0
2015,7,15,19,1287,1261,1258,-3
2015,7,15,20,1234,1257,1362,105
2015,7,15,21,1257,1257,1478,221
2015,7,15,22,1271,1236,1513,277
2015,7,15,23,1274,1272,1626,354
2015,7,16,0,1288,1265,1692,427
2015,7,16,1,1276,1227,2140,913
2015,7,16,2,1253,1228,2094,866
2015,7,16,3,1213,1191,1984,793
2015,7,16,4,1219,1169,1880,711
2015,7,16,5,1167,1122,1642,520
2015,7,16,6,1123,1184,1362,178
2015,7,16,7,1063,1115,1074,-41
2015,7,16,8,1020,1059,854,-205
2015,7,16,9,988,1016,732,-284
2015,7,16,10,960,985,722,-263
2015,7,16,11,942,962,616,-346
2015,7,16,12,956,960,682,-278
2015,7,16,13,944,965,1004,39
2015,7,16,14,972,1001,1010,9
2015,7,16,15,1027,1039,1212,173
2015,7,16,16,1073,1080,1037,-43
2015,7,16,17,1142,1150,1087,-63
2015,7,16,18,1168,1040,1240,200
2015,7,16,19,1217,1135,1329,194
2015,7,16,20,1240,1232,1549,317
2015,7,16,21,1262,1282,2107,825
2015,7,16,22,1272,1316,2215,899
2015,7,16,23,1275,1321,2327,1006
2015,7,17,0,1269,1325,2296,971
2015,7,17,1,1255,1296,2197,901
2015,7,17,2,1267,1251,2287,1036
2015,7,17,3,1232,1213,2135,922
2015,7,17,4,1208,1164,1918,754
2015,7,17,5,1154,1104,1760,656
2015,7,17,6,1077,1163,1547,384
2015,7,17,7,1004,1113,1375,262
2015,7,17,8,931,1070,1072,2
2015,7,17,9,912,1039,991,-48
2015,7,17,10,891,1002,904,-98
2015,7,17,11,880,995,876,-119
2015,7,17,12,883,989,869,-120
2015,7,17,13,879,1004,951,-53
2015,7,17,14,915,1023,967,-56
2015,7,17,15,987,1062,1271,209
2015,7,17,16,1036,1109,1152,43
2015,7,17,17,1095,1168,1417,249
2015,7,17,18,1150,1213,1445,232
2015,7,17,19,1205,1250,1675,425
2015,7,17,20,1241,1237,1750,513
2015,7,17,21,1263,1267,2071,804
2015,7,17,22,1304,1229,2219,990
2015,7,17,23,1306,1212,2155,943
2015,7,18,0,1276,1204,2236,1032
2015,7,18,1,1282,1168,2119,951
2015,7,18,2,1278,1113,2102,989
2015,7,18,3,1251,1077,1871,794
2015,7,18,4,1213,1050,1435,385
2015,7,18,5,1164,1021,1282,261
2015,7,18,6,1097,1106,1117,11
2015,7,18,7,1032,1030,951,-79
2015,7,18,8,982,1004,821,-183
2015,7,18,9,937,970,695,-275
2015,7,18,10,917,943,527,-416
2015,7,18,11,901,967,458,-509
2015,7,18,12,890,929,432,-497
2015,7,18,13,903,947,444,-503
2015,7,18,14,924,932,450,-482
2015,7,18,15,958,899,462,-437
2015,7,18,16,1037,1059,662,-397
2015,7,18,17,1096,1116,815,-301
2015,7,18,18,1161,1182,1044,-138
2015,7,18,19,1208,1223,1179,-44
2015,7,18,20,1239,1217,1353,136
2015,7,18,21,1285,1205,1583,378
2015,7,18,22,1312,1067,1409,342
2015,7,18,23,1349,1003,1028,25
2015,7,19,0,1331,978,1107,129
2015,7,19,1,1318,962,1088,126
2015,7,19,2,1288,934,1307,373
2015,7,19,3,1258,927,1321,394
2015,7,19,4,1219,936,1741,805
2015,7,19,5,1162,916,1664,748
2015,7,19,6,1109,1013,1381,368
2015,7,19,7,1035,957,1245,288
2015,7,19,8,1019,930,1250,320
2015,7,19,9,976,905,1054,149
2015,7,19,10,938,878,943,65
2015,7,19,11,910,871,934,63
2015,7,19,12,908,868,794,-74
2015,7,19,13,901,873,805,-68
2015,7,19,14,915,875,702,-173
2015,7,19,15,963,915,852,-63
2015,7,19,16,1033,960,981,21
2015,7,19,17,1111,1027,1407,380
2015,7,19,18,1190,1087,1462,375
2015,7,19,19,1254,1152,1651,499
2015,7,19,20,1270,1139,1654,515
2015,7,19,21,1319,1184,1999,815
2015,7,19,22,1292,1215,2213,998
2015,7,19,23,1274,1232,2264,1032
2015,7,20,0,1250,1237,2286,1049
2015,7,20,1,1233,1220,1973,753
2015,7,20,2,1261,1201,1892,691
2015,7,20,3,1205,1167,1889,722
2015,7,20,4,1147,1167,1886,719
2015,7,20,5,1092,1118,1659,541
2015,7,20,6,1101,1105,1416,311
2015,7,20,7,1034,1043,1298,255
2015,7,20,8,981,992,887,-105
2015,7,20,9,938,953,831,-122
2015,7,20,10,917,944,769,-175
2015,7,20,11,916,929,649,-280
2015,7,20,12,931,943,771,-172
2015,7,20,13,939,954,843,-111
2015,7,20,14,979,999,975,-24
2015,7,20,15,1033,1032,1056,24
2015,7,20,16,1078,1100,1065,-35
2015,7,20,17,1145,1158,1095,-63
2015,7,20,18,1221,1222,1242,20
2015,7,20,19,1283,1299,1439,140
2015,7,20,20,1306,1291,1717,426
2015,7,20,21,1341,1336,2073,737
2015,7,20,22,1343,1266,2106,840
2015,7,20,23,1356,1235,2156,921
2015,7,21,0,1350,1246,2266,1020
2015,7,21,1,1309,1235,2184,949
2015,7,21,2,1286,1208,2046,838
2015,7,21,3,1245,1166,1915,749
2015,7,21,4,1195,1121,1756,635
2015,7,21,5,1147,1095,1581,486
2015,7,21,6,1156,1144,1392,248
2015,7,21,7,1088,1069,1036,-33
2015,7,21,8,1031,1029,741,-288
2015,7,21,9,1005,991,650,-341
2015,7,21,10,969,959,642,-317
2015,7,21,11,950,942,634,-308
2015,7,21,12,953,950,654,-296
2015,7,21,13,973,966,648,-318
2015,7,21,14,996,1005,799,-206
2015,7,21,15,1044,1046,744,-302
2015,7,21,16,1083,1098,761,-337
2015,7,21,17,1164,1196,868,-328
2015,7,21,18,1189,1247,925,-322
2015,7,21,19,1257,1299,948,-351
2015,7,21,20,1260,1305,999,-306
2015,7,21,21,1279,1268,1378,110
2015,7,21,22,1314,1291,1620,329
2015,7,21,23,1310,1302,1632,330
2015,7,22,0,1287,1309,1604,295
2015,7,22,1,1258,1283,1709,426
2015,7,22,2,1230,1250,1620,370
2015,7,22,3,1186,1200,1600,400
2015,7,22,4,1162,1171,1636,465
2015,7,22,5,1093,1213,1479,266
2015,7,22,6,1145,1178,1075,-103
2015,7,22,7,1077,1102,877,-225
2015,7,22,8,1025,1040,701,-339
2015,7,22,9,989,1006,627,-379
2015,7,22,10,958,961,583,-378
2015,7,22,11,954,954,537,-417
2015,7,22,12,943,957,599,-358
2015,7,22,13,959,961,650,-311
2015,7,22,14,998,994,710,-284
2015,7,22,15,172,1050,813,-237
2015,7,22,16,1071,1120,835,-285
2015,7,22,17,1139,1189,934,-255
2015,7,22,18,1198,1255,946,-309
