,SelectedNodes
0,12354
1,22334
2,60842
3,25517
4,29084
5,30499
6,586
7,46983
8,16860
9,68005
10,20522
11,61679
12,63856
13,18263
14,45398
15,18262
16,3545
17,10162
18,10164
19,9223
20,34789
21,52507
22,37156
23,62548
24,40062
25,49604
26,52164
27,33655
28,33657
29,66731
30,69540
31,29106
32,699
33,43599
34,57126
35,20184
36,3053
37,19773
38,22367
39,41638
40,26097
41,69073
42,33013
43,41498
44,28979
45,53749
46,2162
47,2164
48,68375
49,59484
50,18535
51,40478
52,66112
53,58938
54,69211
55,1271
56,26697
57,25831
58,69763
59,35798
60,6540
61,60672
62,22808
63,22811
64,30689
65,27298
66,21756
67,55912
68,69863
69,6332
70,26247
71,26250
72,67141
73,27996
74,24484
75,12355
76,36420
77,25155
78,69900
79,40506
80,49278
81,62876
82,6752
83,30466
84,33752
85,6542
86,61383
87,27815
88,3431
89,69342
90,24206
91,25841
92,57678
93,27818
94,62202
95,62087
96,58901
97,27549
98,17729
99,45692
100,25268
101,68307
102,2049
103,44625
104,20802
105,25844
106,57883
107,61960
108,22585
109,27924
110,61916
111,31205
112,58962
113,26684
114,61657
115,26772
116,20131
117,61969
118,708
119,53473
120,27152
121,27611
122,41372
123,32565
124,62464
125,31980
126,25978
127,60776
128,66097
129,27393
130,57205
131,69893
132,11327
133,25930
134,43232
135,43204
136,60577
137,27157
138,24260
139,24120
140,24136
141,27156
142,43193
143,24032
144,10642
145,27133
146,24035
147,43676
148,24128
149,27166
150,24131
151,43191
152,24363
153,43640
154,31322
155,60593
156,24161
157,43198
158,43208
159,24264
160,24023
161,24040
162,43283
163,43170
164,43282
165,32054
166,43362
167,20708
168,24158
169,24057
170,24157
171,43186
172,23997
173,27120
174,5929
175,5983
176,6232
177,5940
178,43324
179,43762
180,27666
181,17054
182,24280
183,27623
184,24348
185,60410
186,19143
187,24334
188,27154
189,43321
190,26282
191,43222
192,60584
193,21055
194,43415
195,24037
196,24124
197,43355
198,60291
199,19324
200,21081
201,24002
202,27174
203,60262
204,43188
205,16768
206,24267
207,27104
208,22558
209,27822
210,26700
211,23964
212,19360
213,27168
214,27411
215,23938
216,16156
217,27432
218,43499
219,27103
220,24341
221,20325
222,27842
223,43337
224,24159
225,16528
226,24361
227,26274
228,27769
229,43265
230,27829
231,37440
232,27773
233,37411
234,40418
235,18700
236,23179
237,60595
238,43318
239,29355
240,37455
241,11197
242,20683
243,23041
244,27747
245,24050
246,24360
247,26601
248,24135
249,20151
250,10664
251,26718
252,26811
253,21082
254,27135
255,18560
256,62834
257,43391
258,60001
259,19339
260,24053
261,31859
262,43351
263,24416
264,32011
265,24449
266,40594
267,24156
268,31065
269,29180
270,27118
271,6408
272,23198
273,24058
274,26557
275,27693
276,42064
277,30594
278,27446
279,22841
280,27975
281,43340
282,40682
283,27859
284,43242
285,16202
286,22520
287,16421
288,29248
289,32082
290,24188
291,21098
292,27143
293,16753
294,31682
295,26490
296,37406
297,20577
298,27614
299,43225
300,36215
301,26314
302,29275
303,26659
304,24177
305,21049
306,25864
307,6346
308,26276
309,27903
310,26631
311,43285
312,43189
313,26790
314,10643
315,18762
316,22609
317,27765
318,20418
319,27772
320,23929
321,27160
322,43496
323,60428
324,16771
325,19658
326,56486
327,43197
328,60472
329,40263
330,26579
331,27112
332,24142
333,16141
334,31855
335,27119
336,6353
337,26302
338,42054
339,24374
340,24377
341,24014
342,24328
343,17165
344,27927
345,24323
346,24245
347,43212
348,24126
349,60407
350,20010
351,24152
352,43408
353,18825
354,27695
355,24352
356,16750
357,27770
358,43255
359,24358
360,30190
361,19854
362,43278
363,16775
364,27680
365,27741
366,27377
367,43229
368,24004
369,23875
370,5925
371,27612
372,60267
373,20697
374,18540
375,19250
376,10596
377,37459
378,32048
379,31261
380,10666
381,18811
382,60768
383,22564
384,22560
385,56531
386,19666
387,27659
388,43615
389,43206
390,43272
391,31858
392,11268
393,19333
394,42171
395,24265
396,40612
397,22881
398,24170
399,43308
400,28279
401,26948
402,15995
403,28512
404,25542
405,7164
406,28396
407,36892
408,11548
409,41079
410,24559
411,25556
412,29767
413,61173
414,42651
415,40722
416,13847
417,9558
418,35396
419,28530
420,32519
421,18402
422,29691
423,28202
424,23512
425,29755
426,61581
427,61212
428,9870
429,17454
430,48729
431,25710
432,44168
433,21658
434,61079
435,24586
436,6934
437,32306
438,43039
439,13740
440,34079
441,15956
442,21298
443,34153
444,28470
445,19583
446,58487
447,51894
448,36836
449,16022
450,21253
451,36881
452,44532
453,46330
454,27051
455,14048
456,32507
457,59820
458,17413
459,23644
460,23358
461,57017
462,42822
463,61573
464,26996
465,4238
466,69998
467,35471
468,13841
469,44299
470,43048
471,7259
472,46726
473,28452
474,25769
475,26854
476,40981
477,39498
478,28312
479,37150
480,30889
481,34142
482,39264
483,42751
484,44457
485,5669
486,61194
487,21537
488,28344
489,65466
490,22266
491,29860
492,32197
493,23398
494,21623
495,35438
496,63267
497,29747
498,16031
499,59779
500,21529
501,16294
502,40893
503,11776
504,21688
505,19493
506,35410
507,24782
508,35467
509,19447
510,19422
511,17308
512,32387
513,35527
514,60976
515,30857
516,32203
517,28368
518,21482
519,37081
520,42673
521,29737
522,39563
523,23417
524,29983
525,30012
526,34132
527,59773
528,59935
529,42897
530,46504
531,26928
532,7275
533,55324
534,29998
535,55027
536,13775
537,46413
538,63325
539,36963
540,44572
541,5547
542,63257
543,25615
544,28241
545,32364
546,44112
547,61553
548,14033
549,58210
550,61113
551,32235
552,23651
553,34005
554,4312
555,42599
556,40948
557,65849
558,34019
559,7203
560,17461
561,46732
562,7211
563,42829
564,24759
565,13675
566,18497
567,11617
568,59713
569,32345
570,30902
571,61631
572,63527
573,61993
574,11913
575,63490
576,29948
577,67747
578,46452
579,25572
580,60917
581,63505
582,35431
583,30911
584,67702
585,11947
586,11715
587,30920
588,13905
589,30804
590,9610
591,69760
592,46283
593,51445
594,38341
595,48269
596,29810
597,13976
598,56784
599,28254
600,24547
601,29727
602,36921
603,63219
604,40841
605,65636
606,44522
607,56885
608,23577
609,19613
610,44383
611,60963
612,7054
613,1801
614,56893
615,48756
616,46637
617,5409
618,19557
619,30765
620,63377
621,30896
622,69753
623,48973
624,24731
625,42703
626,51517
627,33945
628,56764
629,4263
630,48775
631,28272
632,22249
633,34025
634,26889
635,1743
636,63453
637,61856
638,26037
639,63486
640,56918
641,29869
642,67479
643,28170
644,48592
645,61159
646,19607
647,42786
648,54419
649,23614
650,56730
651,34125
652,23552
653,50062
654,14013
655,41106
656,28537
657,63184
658,33968
659,61907
660,58439
661,38373
662,44339
663,61056
664,28191
665,26934
666,23704
667,9788
668,46350
669,40868
670,10013
671,32322
672,13705
673,21421
674,33981
675,13786
676,37025
677,63566
678,61624
679,4043
680,5418
681,27045
682,21281
683,32454
684,18294
685,41014
686,4295
687,61072
688,19387
689,17431
690,38216
691,61243
692,36901
693,24613
694,33998
695,66003
696,30842
697,30966
698,54340
699,7305
700,9882
701,19504
702,48533
703,14055
704,61593
705,44429
706,4184
707,26922
708,54373
709,18478
710,24703
711,850
712,5447
713,60983
714,22282
715,48517
716,11885
717,48405
718,69735
719,23503
720,56822
721,29702
722,36982
723,21617
724,44149
725,46444
726,46631
727,25733
728,18346
729,14090
730,42984
731,7238
732,67827
733,30796
734,25647
735,29681
736,38185
737,44475
738,1793
739,40833
740,34061
741,68730
742,51731
743,28324
744,30836
745,24540
746,67842
