TSMachine,MargCost $/MWh,MVABase,MWMax,BusNum,FuelType,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MWMin,MvarMin,MvarMax,CostModel,PartFact,Fuel Cost $/MBTU,Heat Rate MBTU/MWh
GENROU,8.53,1764.36,1403.2,40844,NUC (Nuclear),PHOENIX 74 5,1,Closed,1397.5,516.38,1.043,YES,YES,295.62,-115.06,516.38,Cubic,1403.2,1,8.53
GENROU,8.53,1663.53,1403.2,40843,NUC (Nuclear),PHOENIX 74 4,1,Closed,1397.5,516.38,1.043,YES,YES,305.1,-115.06,516.38,Cubic,1403.2,1,8.53
GENROU,8.53,1608.37,1403.2,40845,NUC (Nuclear),PHOENIX 74 6,1,Closed,1397.32,143.68,1.043,YES,YES,446.18,-115.06,516.38,Cubic,1403.2,1,8.53
GENROU,8.45,1400.38,1200,10811,NUC (Nuclear),RICHLAND 4 4,1,Closed,1195.12,296.98,1.042,YES,YES,469.13,-98.4,441.6,Cubic,1200,1,8.45
GENROU,8.44,1398.26,1161.5,26133,NUC (Nuclear),AVILA BEACH 4,1,Closed,1156.78,53.95,1.02312,YES,YES,165.83,-95.24,427.43,Cubic,1161.5,1,8.44
GENROU,8.44,1384.26,1161.5,26134,NUC (Nuclear),AVILA BEACH 5,1,Closed,1156.78,53.95,1.02312,YES,YES,130.25,-95.24,427.43,Cubic,1161.5,1,8.44
GENSAL,0,1357.65,1082.5,11016,WAT (Water),GRAND COULEE 6,1,Closed,1082.5,322.47,1.041,NO,YES,475.95,-53.04,415.68,Cubic,1082.5,0,
GENSAL,0,1082.5,1082.5,11018,WAT (Water),GRAND COULEE 8,1,Closed,885.08,322.47,1.041,NO,YES,330.24,-53.04,415.68,Cubic,1082.5,0,
GENROU,15.48,936.79,820,50385,BIT (Bituminous Coal),DELTA 2 3,1,Closed,816.67,-100.04,1.01795,YES,YES,114.27,-100.04,382.12,Cubic,820,1.648,9.393203883
GENROU,17.81,866.59,820,50386,BIT (Bituminous Coal),DELTA 2 4,1,Closed,816.67,-100.04,1.01795,YES,YES,100.66,-100.04,382.12,Cubic,820,1.896,9.393459916
GENROU,19.79,931.25,818.1,53297,BIT (Bituminous Coal),FRUITLAND 2 4,1,Closed,814.78,-99.81,1.01577,YES,YES,206.26,-99.81,381.23,Cubic,818.1,2.107,9.392501187
GENSAL,0,1169.43,1082.5,11014,WAT (Water),GRAND COULEE 4,1,Closed,812.69,322.47,1.041,NO,YES,416.53,-53.04,415.68,Cubic,1082.5,0,
