,Solar,Wind
ARIZONA PUBLIC SERVICE COMPANY,769.2,174.3
AVISTA CORPORATION,19.2,105.3
BALANCING AUTHORITY OF NORTHERN CALIFORNIA,133.0,0.0
BONNEVILLE POWER ADMINISTRATION,70.6,3077.5
PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,0.0,0.0
CALIFORNIA INDEPENDENT SYSTEM OPERATOR,13003.399999999996,6027.6
PUD NO. 1 OF DOUGLAS COUNTY,0.0,0.0
EL PASO ELECTRIC COMPANY,127.30000000000001,50.4
"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",0.0,0.0
IMPERIAL IRRIGATION DISTRICT,368.4,0.0
IDAHO POWER COMPANY,291.5,716.8000000000001
LOS ANGELES DEPARTMENT OF WATER AND POWER,979.6,440.5
NEVADA POWER COMPANY,1432.9,150.0
NORTHWESTERN ENERGY (NWMT),17.0,371.09999999999997
PACIFICORP - EAST,1007.4,1948.1
PACIFICORP - WEST,229.8,650.8999999999999
PORTLAND GENERAL ELECTRIC COMPANY,43.7,716.5
PUBLIC SERVICE COMPANY OF NEW MEXICO,307.8,1065.8
PUBLIC SERVICE COMPANY OF COLORADO,512.2,3526.5
PUGET SOUND ENERGY,0.5,366.90000000000003
SEATTLE CITY LIGHT,0.0,0.0
SALT RIVER PROJECT,155.39999999999998,63.0
TUCSON ELECTRIC POWER COMPANY,323.5,30.0
TURLOCK IRRIGATION DISTRICT,0.0,0.0
"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",0.0,0.0
WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,124.59999999999998,503.09999999999997
WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,142.2,0.0
WESTERN AREA POWER ADMINISTRATION UGP WEST,0.0,77.6
