,AVA,AZPS,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
0,0,19,63,2,,1222,,18,,3,61,307,166,0,86,79,,6,1,,,7,3,,,0,,
1,4,3,9,0,,1222,,0,,0,2,29,7,0,2,6,,0,0,,,0,0,,,0,,
2,0,10,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
3,0,19,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
4,0,23,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
5,0,9,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
6,0,4,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
7,0,7,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
8,0,8,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
9,0,12,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
10,0,11,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
11,0,6,1,0,,0,,0,,0,0,2,0,0,0,0,,0,0,,,0,0,,,0,,
12,0,3,1,0,,0,,0,,0,0,2,0,0,0,0,,0,0,,,0,0,,,0,,
13,0,5,1,0,,0,,0,,0,0,2,0,0,0,0,,0,0,,,0,0,,,0,,
14,0,7,1,0,,0,,0,,0,0,2,0,0,0,0,,0,0,,,0,0,,,0,,
15,0,4,1,0,,164,,13,,1,0,2,0,0,0,0,,3,0,,,4,1,,,0,,
16,0,57,1,0,,3389,,67,,28,4,111,84,0,74,3,,28,22,,,161,20,,,5,,
17,1,168,49,1,,6909,,87,,94,89,516,290,0,350,49,,47,44,,,422,28,,,16,,
18,7,201,97,3,,7931,,87,,117,131,812,379,0,517,97,,56,53,,,500,50,,,24,,
19,0,236,109,2,,7909,,85,,118,119,876,404,0,526,106,,66,63,,,523,85,,,26,,
20,7,349,106,2,,7831,,75,,119,123,885,395,0,516,118,,78,64,,,527,60,,,26,,
21,7,359,99,2,,7956,,79,,119,134,873,399,0,561,105,,70,82,,,542,62,,,23,,
22,6,367,101,2,,7727,,82,,118,93,827,419,0,638,108,,66,109,,,553,49,,,34,,
23,0,330,83,1,,6204,,78,,107,51,681,402,0,591,129,,46,62,,,457,62,,,25,,
24,1,253,52,1,,1821,,30,,58,18,333,227,0,228,55,,9,4,,,220,10,,,2,,
25,1,113,9,0,,1821,,0,,8,1,35,17,0,5,8,,0,0,,,11,0,,,0,,
26,0,104,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
27,0,83,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
28,0,46,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
29,0,57,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
30,0,67,1,0,,0,,0,,0,0,4,0,0,0,0,,0,1,,,0,0,,,0,,
31,0,70,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
32,0,69,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
33,0,81,2,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
34,0,79,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
35,0,86,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
36,0,90,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
37,0,82,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
38,0,76,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
39,0,78,1,0,,146,,4,,0,0,3,0,0,1,0,,1,2,,,3,1,,,0,,
40,0,159,3,0,,3462,,23,,28,4,112,94,0,148,4,,20,66,,,183,49,,,14,,
41,4,290,38,1,,7057,,36,,69,46,516,329,0,554,55,,38,143,,,463,75,,,33,,
42,0,425,89,3,,7879,,42,,106,92,806,404,0,633,112,,68,178,,,525,68,,,37,,
43,6,445,94,3,,7792,,45,,113,91,866,403,0,581,124,,89,197,,,487,65,,,34,,
44,4,441,97,2,,7731,,44,,112,126,875,400,0,558,113,,104,210,,,502,88,,,33,,
45,5,444,101,2,,7885,,36,,115,134,860,405,0,576,118,,104,214,,,490,113,,,37,,
46,8,448,95,3,,7861,,36,,112,127,819,411,0,657,109,,81,220,,,549,113,,,39,,
47,8,423,93,3,,6440,,14,,107,139,681,406,0,602,86,,46,145,,,468,71,,,33,,
48,5,307,59,1,,1949,,3,,51,35,337,255,0,224,59,,6,18,,,231,14,,,7,,
49,0,135,12,0,,80,,0,,6,1,36,90,0,3,7,,0,0,,,12,0,,,0,,
50,0,127,0,0,,55,,0,,0,0,2,94,0,0,0,,0,0,,,0,0,,,0,,
