,Node,Time,Value
0,bus_10001,1,0.0
1,bus_10001,2,0.0
2,bus_10001,3,0.0
3,bus_10001,4,0.0
4,bus_10001,5,0.0
5,bus_10001,6,0.0
6,bus_10001,7,0.0
7,bus_10001,8,0.0
8,bus_10001,9,0.0
9,bus_10001,10,0.0
10,bus_10001,11,0.0
11,bus_10001,12,0.0
12,bus_10001,13,0.0
13,bus_10001,14,0.0
14,bus_10001,15,0.0
15,bus_10001,16,0.0
16,bus_10001,17,0.0
17,bus_10001,18,0.0
18,bus_10001,19,0.0
19,bus_10001,20,0.0
20,bus_10001,21,0.0
21,bus_10001,22,0.0
22,bus_10001,23,0.0
23,bus_10001,24,0.0
24,bus_10022,1,0.0
25,bus_10022,2,0.0
26,bus_10022,3,0.0
27,bus_10022,4,0.0
28,bus_10022,5,0.0
29,bus_10022,6,0.0
30,bus_10022,7,0.0
31,bus_10022,8,0.0
32,bus_10022,9,0.0
33,bus_10022,10,0.0
34,bus_10022,11,0.0
35,bus_10022,12,0.0
36,bus_10022,13,0.0
37,bus_10022,14,0.0
38,bus_10022,15,0.0
39,bus_10022,16,0.0
40,bus_10022,17,0.0
41,bus_10022,18,0.0
42,bus_10022,19,0.0
43,bus_10022,20,0.0
44,bus_10022,21,0.0
45,bus_10022,22,0.0
46,bus_10022,23,0.0
47,bus_10022,24,0.0
48,bus_10025,1,0.0
49,bus_10025,2,0.0
50,bus_10025,3,0.0
51,bus_10025,4,0.0
52,bus_10025,5,0.0
53,bus_10025,6,0.0
54,bus_10025,7,0.0
55,bus_10025,8,0.0
56,bus_10025,9,0.0
57,bus_10025,10,0.0
58,bus_10025,11,0.0
59,bus_10025,12,0.0
60,bus_10025,13,0.0
61,bus_10025,14,0.0
62,bus_10025,15,0.0
63,bus_10025,16,0.0
64,bus_10025,17,0.0
65,bus_10025,18,0.0
66,bus_10025,19,0.0
67,bus_10025,20,0.0
68,bus_10025,21,0.0
69,bus_10025,22,0.0
70,bus_10025,23,0.0
71,bus_10025,24,0.0
72,bus_10033,1,0.0
73,bus_10033,2,0.0
74,bus_10033,3,0.0
75,bus_10033,4,0.0
76,bus_10033,5,0.0
77,bus_10033,6,0.0
78,bus_10033,7,0.0
79,bus_10033,8,0.0
80,bus_10033,9,0.0
81,bus_10033,10,0.0
82,bus_10033,11,0.0
83,bus_10033,12,0.0
84,bus_10033,13,0.0
85,bus_10033,14,0.0
86,bus_10033,15,0.0
87,bus_10033,16,0.0
88,bus_10033,17,0.0
89,bus_10033,18,0.0
90,bus_10033,19,0.0
91,bus_10033,20,0.0
92,bus_10033,21,0.0
93,bus_10033,22,0.0
94,bus_10033,23,0.0
95,bus_10033,24,0.0
96,bus_10035,1,0.0
97,bus_10035,2,0.0
98,bus_10035,3,0.0
99,bus_10035,4,0.0
100,bus_10035,5,0.0
101,bus_10035,6,0.0
102,bus_10035,7,0.0
103,bus_10035,8,0.0
104,bus_10035,9,0.0
105,bus_10035,10,0.0
106,bus_10035,11,0.0
107,bus_10035,12,0.0
108,bus_10035,13,0.0
109,bus_10035,14,0.0
110,bus_10035,15,0.0
111,bus_10035,16,0.0
112,bus_10035,17,0.0
113,bus_10035,18,0.0
114,bus_10035,19,0.0
115,bus_10035,20,0.0
116,bus_10035,21,0.0
117,bus_10035,22,0.0
118,bus_10035,23,0.0
119,bus_10035,24,0.0
120,bus_10093,1,0.0
121,bus_10093,2,0.0
122,bus_10093,3,0.0
123,bus_10093,4,0.0
124,bus_10093,5,0.0
125,bus_10093,6,0.0
126,bus_10093,7,0.0
127,bus_10093,8,0.0
128,bus_10093,9,0.0
129,bus_10093,10,0.0
130,bus_10093,11,0.0
131,bus_10093,12,0.0
132,bus_10093,13,0.0
133,bus_10093,14,0.0
134,bus_10093,15,0.0
135,bus_10093,16,0.0
136,bus_10093,17,0.0
137,bus_10093,18,0.0
138,bus_10093,19,0.0
139,bus_10093,20,0.0
140,bus_10093,21,0.0
141,bus_10093,22,0.0
142,bus_10093,23,0.0
143,bus_10093,24,0.0
144,bus_10209,1,0.0
145,bus_10209,2,0.0
146,bus_10209,3,0.0
147,bus_10209,4,0.0
148,bus_10209,5,0.0
149,bus_10209,6,0.0
150,bus_10209,7,0.0
151,bus_10209,8,0.0
152,bus_10209,9,0.0
153,bus_10209,10,0.0
154,bus_10209,11,0.0
155,bus_10209,12,0.0
156,bus_10209,13,0.0
157,bus_10209,14,0.0
158,bus_10209,15,0.0
159,bus_10209,16,0.0
160,bus_10209,17,0.0
161,bus_10209,18,0.0
162,bus_10209,19,0.0
163,bus_10209,20,0.0
164,bus_10209,21,0.0
165,bus_10209,22,0.0
166,bus_10209,23,0.0
167,bus_10209,24,0.0
168,bus_10228,1,0.0
169,bus_10228,2,0.0
170,bus_10228,3,0.0
171,bus_10228,4,0.0
172,bus_10228,5,0.0
173,bus_10228,6,0.0
174,bus_10228,7,0.0
175,bus_10228,8,0.0
176,bus_10228,9,0.0
177,bus_10228,10,0.0
178,bus_10228,11,0.0
179,bus_10228,12,0.0
180,bus_10228,13,0.0
181,bus_10228,14,0.0
182,bus_10228,15,0.0
183,bus_10228,16,0.0
184,bus_10228,17,0.0
185,bus_10228,18,0.0
186,bus_10228,19,0.0
187,bus_10228,20,0.0
188,bus_10228,21,0.0
189,bus_10228,22,0.0
190,bus_10228,23,0.0
191,bus_10228,24,0.0
192,bus_10344,1,0.0
193,bus_10344,2,0.0
194,bus_10344,3,0.0
195,bus_10344,4,0.0
196,bus_10344,5,0.0
197,bus_10344,6,0.0
198,bus_10344,7,0.0
199,bus_10344,8,0.0
200,bus_10344,9,0.0
201,bus_10344,10,0.0
202,bus_10344,11,0.0
203,bus_10344,12,0.0
204,bus_10344,13,0.0
205,bus_10344,14,0.0
206,bus_10344,15,0.0
207,bus_10344,16,0.0
208,bus_10344,17,0.0
209,bus_10344,18,0.0
210,bus_10344,19,0.0
211,bus_10344,20,0.0
212,bus_10344,21,0.0
213,bus_10344,22,0.0
214,bus_10344,23,0.0
215,bus_10344,24,0.0
216,bus_10525,1,0.0
217,bus_10525,2,0.0
218,bus_10525,3,0.0
219,bus_10525,4,0.0
220,bus_10525,5,0.0
221,bus_10525,6,0.0
222,bus_10525,7,0.0
223,bus_10525,8,0.0
224,bus_10525,9,0.0
225,bus_10525,10,0.0
226,bus_10525,11,0.0
227,bus_10525,12,0.0
228,bus_10525,13,0.0
229,bus_10525,14,0.0
230,bus_10525,15,0.0
231,bus_10525,16,0.0
232,bus_10525,17,0.0
233,bus_10525,18,0.0
234,bus_10525,19,0.0
235,bus_10525,20,0.0
236,bus_10525,21,0.0
237,bus_10525,22,0.0
238,bus_10525,23,0.0
239,bus_10525,24,0.0
240,bus_10558,1,0.0
241,bus_10558,2,0.0
242,bus_10558,3,0.0
243,bus_10558,4,0.0
244,bus_10558,5,0.0
245,bus_10558,6,0.0
246,bus_10558,7,0.0
247,bus_10558,8,0.0
248,bus_10558,9,0.0
249,bus_10558,10,0.0
250,bus_10558,11,0.0
251,bus_10558,12,0.0
252,bus_10558,13,0.0
253,bus_10558,14,0.0
254,bus_10558,15,0.0
255,bus_10558,16,0.0
256,bus_10558,17,0.0
257,bus_10558,18,0.0
258,bus_10558,19,0.0
259,bus_10558,20,0.0
260,bus_10558,21,0.0
261,bus_10558,22,0.0
262,bus_10558,23,0.0
263,bus_10558,24,0.0
264,bus_10570,1,0.0
265,bus_10570,2,0.0
266,bus_10570,3,0.0
267,bus_10570,4,0.0
268,bus_10570,5,0.0
269,bus_10570,6,0.0
270,bus_10570,7,0.0
271,bus_10570,8,0.0
272,bus_10570,9,0.0
273,bus_10570,10,0.0
274,bus_10570,11,0.0
275,bus_10570,12,0.0
276,bus_10570,13,0.0
277,bus_10570,14,0.0
278,bus_10570,15,0.0
279,bus_10570,16,0.0
280,bus_10570,17,0.0
281,bus_10570,18,0.0
282,bus_10570,19,0.0
283,bus_10570,20,0.0
284,bus_10570,21,0.0
285,bus_10570,22,0.0
286,bus_10570,23,0.0
287,bus_10570,24,0.0
288,bus_10600,1,0.0
289,bus_10600,2,0.0
290,bus_10600,3,0.0
291,bus_10600,4,0.0
292,bus_10600,5,0.0
293,bus_10600,6,0.0
294,bus_10600,7,0.0
295,bus_10600,8,0.0
296,bus_10600,9,0.0
297,bus_10600,10,0.0
298,bus_10600,11,0.0
299,bus_10600,12,0.0
300,bus_10600,13,0.0
301,bus_10600,14,0.0
302,bus_10600,15,0.0
303,bus_10600,16,0.0
304,bus_10600,17,0.0
305,bus_10600,18,0.0
306,bus_10600,19,0.0
307,bus_10600,20,0.0
308,bus_10600,21,0.0
309,bus_10600,22,0.0
310,bus_10600,23,0.0
311,bus_10600,24,0.0
312,bus_10607,1,0.0
313,bus_10607,2,0.0
314,bus_10607,3,0.0
315,bus_10607,4,0.0
316,bus_10607,5,0.0
317,bus_10607,6,0.0
318,bus_10607,7,0.0
319,bus_10607,8,0.0
320,bus_10607,9,0.0
321,bus_10607,10,0.0
322,bus_10607,11,0.0
323,bus_10607,12,0.0
324,bus_10607,13,0.0
325,bus_10607,14,0.0
326,bus_10607,15,0.0
327,bus_10607,16,0.0
328,bus_10607,17,0.0
329,bus_10607,18,0.0
330,bus_10607,19,0.0
331,bus_10607,20,0.0
332,bus_10607,21,0.0
333,bus_10607,22,0.0
334,bus_10607,23,0.0
335,bus_10607,24,0.0
336,bus_10609,1,0.0
337,bus_10609,2,0.0
338,bus_10609,3,0.0
339,bus_10609,4,0.0
340,bus_10609,5,0.0
341,bus_10609,6,0.0
342,bus_10609,7,0.0
343,bus_10609,8,0.0
344,bus_10609,9,0.0
345,bus_10609,10,0.0
346,bus_10609,11,0.0
347,bus_10609,12,0.0
348,bus_10609,13,0.0
349,bus_10609,14,0.0
350,bus_10609,15,0.0
351,bus_10609,16,0.0
352,bus_10609,17,0.0
353,bus_10609,18,0.0
354,bus_10609,19,0.0
355,bus_10609,20,0.0
356,bus_10609,21,0.0
357,bus_10609,22,0.0
358,bus_10609,23,0.0
359,bus_10609,24,0.0
360,bus_10677,1,0.0
361,bus_10677,2,0.0
362,bus_10677,3,0.0
363,bus_10677,4,0.0
364,bus_10677,5,0.0
365,bus_10677,6,0.0
366,bus_10677,7,0.0
367,bus_10677,8,0.0
368,bus_10677,9,0.0
369,bus_10677,10,0.0
370,bus_10677,11,0.0
371,bus_10677,12,0.0
372,bus_10677,13,0.0
373,bus_10677,14,0.0
374,bus_10677,15,0.0
375,bus_10677,16,0.0
376,bus_10677,17,0.0
377,bus_10677,18,0.0
378,bus_10677,19,0.0
379,bus_10677,20,0.0
380,bus_10677,21,0.0
381,bus_10677,22,0.0
382,bus_10677,23,0.0
383,bus_10677,24,0.0
384,bus_10683,1,0.0
385,bus_10683,2,0.0
386,bus_10683,3,0.0
387,bus_10683,4,0.0
388,bus_10683,5,0.0
389,bus_10683,6,0.0
390,bus_10683,7,0.0
391,bus_10683,8,0.0
392,bus_10683,9,0.0
393,bus_10683,10,0.0
394,bus_10683,11,0.0
395,bus_10683,12,0.0
396,bus_10683,13,0.0
397,bus_10683,14,0.0
398,bus_10683,15,0.0
399,bus_10683,16,0.0
400,bus_10683,17,0.0
401,bus_10683,18,0.0
402,bus_10683,19,0.0
403,bus_10683,20,0.0
404,bus_10683,21,0.0
405,bus_10683,22,0.0
406,bus_10683,23,0.0
407,bus_10683,24,0.0
408,bus_10710,1,0.0
409,bus_10710,2,0.0
410,bus_10710,3,0.0
411,bus_10710,4,0.0
412,bus_10710,5,0.0
413,bus_10710,6,0.0
414,bus_10710,7,0.0
415,bus_10710,8,0.0
416,bus_10710,9,0.0
417,bus_10710,10,0.0
418,bus_10710,11,0.0
419,bus_10710,12,0.0
420,bus_10710,13,0.0
421,bus_10710,14,0.0
422,bus_10710,15,0.0
423,bus_10710,16,0.0
424,bus_10710,17,0.0
425,bus_10710,18,0.0
426,bus_10710,19,0.0
427,bus_10710,20,0.0
428,bus_10710,21,0.0
429,bus_10710,22,0.0
430,bus_10710,23,0.0
431,bus_10710,24,0.0
432,bus_10750,1,0.0
433,bus_10750,2,0.0
434,bus_10750,3,0.0
435,bus_10750,4,0.0
436,bus_10750,5,0.0
437,bus_10750,6,0.0
438,bus_10750,7,0.0
439,bus_10750,8,0.0
440,bus_10750,9,0.0
441,bus_10750,10,0.0
442,bus_10750,11,0.0
443,bus_10750,12,0.0
444,bus_10750,13,0.0
445,bus_10750,14,0.0
446,bus_10750,15,0.0
447,bus_10750,16,0.0
448,bus_10750,17,0.0
449,bus_10750,18,0.0
450,bus_10750,19,0.0
451,bus_10750,20,0.0
452,bus_10750,21,0.0
453,bus_10750,22,0.0
454,bus_10750,23,0.0
455,bus_10750,24,0.0
456,bus_10768,1,0.0
457,bus_10768,2,0.0
458,bus_10768,3,0.0
459,bus_10768,4,0.0
460,bus_10768,5,0.0
461,bus_10768,6,0.0
462,bus_10768,7,0.0
463,bus_10768,8,0.0
464,bus_10768,9,0.0
465,bus_10768,10,0.0
466,bus_10768,11,0.0
467,bus_10768,12,0.0
468,bus_10768,13,0.0
469,bus_10768,14,0.0
470,bus_10768,15,0.0
471,bus_10768,16,0.0
472,bus_10768,17,0.0
473,bus_10768,18,0.0
474,bus_10768,19,0.0
475,bus_10768,20,0.0
476,bus_10768,21,0.0
477,bus_10768,22,0.0
478,bus_10768,23,0.0
479,bus_10768,24,0.0
