fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt,mu_Sf,mu_St,mu_angmin,mu_angmax
21129,21165,0.000512,0.003056,0,257.81,0,0,0,0,1,0,0,-125.33,79.56,125.45,-79.1,0,0,0,0
25400,25490,0.001723,0.00946,0,268.75,0,0,0,0,1,0,0,-145.12,-69.48,145.54,71.25,0,0,0,0
25474,25598,0.000649,0.003437,0,273.67,0,0,0,0,1,0,0,82.51,64.33,-82.44,-64.27,0,0,0,0
25474,25598,0.000649,0.003437,0,273.67,0,0,0,0,1,0,0,82.51,64.33,-82.44,-64.27,0,0,0,0
25587,25474,0.001315,0.008085,0,286.98,0,0,0,0,1,0,0,-125.64,-54.03,125.88,54.99,0,0,0,0
25657,25675,0.000876,0.005469,0,222.62,0,0,0,0,1,0,0,-40.87,-16.98,40.89,14.28,0,0,0,0
25714,25659,0.001574,0.011737,0,217.84,0,0,0,0,1,0,0,41.22,86.38,-41.09,-86.22,0,0,0,0
30126,30127,0.000791,0.004027,0,291.86,0,0,0,0,1,0,0,-69.12,45.18,69.18,-48.38,0,0,0,0
30144,30174,0.000844,0.00513,0,298.05,0,0,0,0,1,0,0,-85.79,-60.81,85.88,59.49,0,0,0,0
30174,30126,0.001332,0.007524,0,220.75,0,0,0,0,1,0,0,14.06,67.21,-14,-67.29,0,0,0,0
30226,30189,0.000502,0.003375,0,200.41,0,0,0,0,1,0,0,-5.61,-46.4,5.62,46.13,0,0,0,0
40144,40168,0.00297,0.014369,0,172.56,0,0,0,0,1,0,0,-64.18,15.4,64.31,-15.19,0,0,0,0
40192,40151,0.004426,0.019717,0,197.35,0,0,0,0,1,0,0,-78.7,-27.64,79,28.8,0,0,0,0
40192,40151,0.004426,0.019717,0,197.35,0,0,0,0,1,0,0,-78.7,-27.64,79,28.8,0,0,0,0
40299,40206,0.001286,0.005404,0,193.49,0,0,0,0,1,0,0,60.3,25.11,-60.25,-25.04,0,0,0,0
40299,40206,0.001286,0.005404,0,193.49,0,0,0,0,1,0,0,60.3,25.11,-60.25,-25.04,0,0,0,0
40367,40410,0.001148,0.00562,0,130.56,0,0,0,0,1,0,0,-5.84,-5.93,5.84,5.83,0,0,0,0
40534,40563,0.007318,0.034713,0,161.36,0,0,0,0,1,0,0,-41.8,-10.89,41.93,9.09,0,0,0,0
10001,11077,0,6.021074896,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,11041,0,14.45891754,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,11014,0,8.39189226,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10022,0,0.857680151,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10025,0,10.23065847,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10930,0,10.74097584,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10525,0,18.96424192,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10919,0,6.364203323,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10908,0,8.903415373,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10209,0,3.878490396,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10344,0,9.037953661,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10710,0,5.580603679,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10750,0,5.561597684,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10859,0,0.83822159,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10001,10683,0,13.29353543,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,74235,0,15.00336754,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13698,0,6.878308701,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13693,0,17.8026101,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13684,0,7.081085613,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13669,0,6.960197965,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13518,0,14.96405722,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13509,0,8.04423969,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13475,0,6.078186179,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13265,0,4.753622556,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10093,0,11.39161448,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13181,0,12.91700352,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,11077,0,0.812687659,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10033,0,4.730990245,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,11041,0,1.92639173,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,11014,0,1.115890317,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10025,0,1.233236991,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10930,0,1.279544356,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10525,0,2.769317162,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10919,0,1.007539244,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10908,0,1.118474098,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10209,0,0.495418621,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10344,0,1.145612188,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10710,0,0.701567983,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10558,0,3.604111319,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10750,0,0.771124603,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10859,0,0.08918825,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10570,0,5.722549274,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10683,0,1.672025245,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10609,0,20.94638621,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10811,0,3.887381584,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10944,0,16.84164273,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,10677,0,14.97313642,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13175,0,19.93512445,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13177,0,19.30532032,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10022,13499,0,10.61093947,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13698,0,5.425936525,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13693,0,5.114285583,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13684,0,5.056618636,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13669,0,2.52277285,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13518,0,7.680273421,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13509,0,7.374551687,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13475,0,5.867262515,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13265,0,1.505264594,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10093,0,3.217774971,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13181,0,3.747711035,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13183,0,14.2879287,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,13034,0,17.56895061,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,11077,0,1.465145681,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10033,0,0.500502211,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10035,0,13.9987912,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,11041,0,3.467898872,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,11014,0,2.012885653,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10930,0,0.334623201,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10525,0,4.312091453,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10919,0,1.825041683,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10908,0,1.929702066,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
10025,10209,0,0.464371168,0,99999,99999,99999,1,0,1,-360,360,0,0,0,0,0,0,0,0
