name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
NEWPLYMOUTH_NG,ngcc,bus_13446,318.5,10.30252511172,113.28,3,955.5,22295.0,318.5,4,4
ALAMEDA_NG,ngcc,bus_21121,83.3,4.855678757698,26.53,3,249.89999999999998,5831.0,83.3,4,4
ANTIOCH_NG,ngcc,bus_21121,666.71,10.334663518785,197.48,3,2000.13,46669.700000000004,666.71,4,4
BENICIA_NG,ngcc,bus_21121,98.0,9.462657491405,44.6,3,294.0,6860.0,98.0,4,4
BYRON_NG,ngcc,bus_21121,199.6,6.9956007199090005,75.93,3,598.8,13972.0,199.6,4,4
CROCKETT_NG,ngcc,bus_21121,247.4,10.690957855218,49.35,3,742.2,17318.0,247.4,4,4
ELSOBRANTE_NG,ngcc,bus_21121,155.6,10.206815946899331,48.14,3,466.79999999999995,10892.0,155.6,4,4
MARTINEZ_NG,ngcc,bus_21121,213.48,9.621060843356334,60.17,3,640.4399999999999,14943.599999999999,213.48,4,4
OAKLAND_C,coal,bus_21121,223.5,10.752137170380001,58.330000000000005,4,670.5,15645.0,73.75500000000001,12,12
PITTSBURG_NG,ngcc,bus_21121,1621.8199999999997,9.102952026362857,469.25,3,4865.459999999999,113527.39999999998,1621.8199999999997,4,4
RODEO_NG,ngcc,bus_21121,54.900000000000006,3.2246220089046664,15.09,3,164.70000000000002,3843.0000000000005,54.900000000000006,4,4
SANJOSE_NG,ngcc,bus_21121,338.1,4.226920345279714,90.13,3,1014.3000000000001,23667.0,338.1,4,4
SANTACLARA_NG,ngcc,bus_21121,245.59000000000003,8.503896463749141,58.31,3,736.7700000000001,17191.300000000003,245.59000000000003,4,4
SANTACLARA_C,coal,bus_21121,53.58,10.609527596243336,12.19,4,160.74,3750.6,17.6814,12,12
STANFORD_NG,ngcc,bus_21121,52.8,9.707458750594999,14.919999999999998,3,158.39999999999998,3696.0,52.8,4,4
SUISUNCITY_NG,ngcc,bus_21121,141.0,9.886668475912664,44.51,3,423.0,9870.0,141.0,4,4
TRACY_NG,ngcc,bus_21121,336.09000000000003,10.090267627112667,59.91,3,1008.2700000000001,23526.300000000003,336.09000000000003,4,4
ALAMOSA_NG,ngcc,bus_53002,53.2,9.599911151172,16.51,3,159.60000000000002,3724.0,53.2,4,4
ALBUQUERQUE_NG,ngcc,bus_40367,317.68999999999994,10.293839038206999,108.3,3,953.0699999999998,22238.299999999996,317.68999999999994,4,4
ALGODONES_NG,ngcc,bus_40367,45.0,5.717778300419334,13.06,3,135.0,3150.0,45.0,4,4
CHANDLER_NG,ngcc,bus_40367,726.0,10.102395921744664,184.71,3,2178.0,50820.0,726.0,4,4
GILBERT_NG,ngcc,bus_40367,1326.0,10.544447735531,379.11,3,3978.0,92820.0,1326.0,4,4
JOSEPHCITY_C,coal,bus_40367,1128.8,10.976681758455001,393.08,4,3386.3999999999996,79016.0,372.504,12,12
PREWITT_C,coal,bus_40367,257.0,11.06478508599,53.25,4,771.0,17990.0,84.81,12,12
PUEBLO_C,coal,bus_40367,1635.3000000000002,11.702338761003334,611.8,4,4905.900000000001,114471.00000000001,539.6490000000001,12,12
PUEBLO_NG,ngcc,bus_40367,366.65,9.92001552514257,115.23,3,1099.9499999999998,25665.5,366.65,4,4
SAINTJOHNS_C,coal,bus_40367,821.8,10.977245396435,299.65,4,2465.3999999999996,57526.0,271.194,12,12
SPRINGERVILLE_C,coal,bus_40367,1765.8,11.254416579795002,384.93,4,5297.4,123606.0,582.714,12,12
TEMPE_NG,ngcc,bus_40367,626.8,7.42948694417325,141.71,3,1880.3999999999999,43876.0,626.8,4,4
GILLETTEC_C,coal,bus_70063,610.3,10.372536494572499,148.56,4,1830.8999999999999,42721.0,201.399,12,12
GILLETTE_NG,ngcc,bus_70063,107.5,10.157016552896199,32.540000000000006,3,322.5,7525.0,107.5,4,4
GILLETTE_C,coal,bus_70063,211.2,10.754008897070001,70.59,4,633.5999999999999,14784.0,69.696,12,12
GLENROCK_C,coal,bus_70063,922.2,10.831750023735001,276.1,4,2766.6000000000004,64554.0,304.326,12,12
WRIGHT_C,coal,bus_70063,483.7,10.75338456941,106.38,4,1451.1,33859.0,159.621,12,12
CHOWCHILLA_NG,ngcc,bus_23060,49.61999999999999,1.2942885571043332,13.43,3,148.85999999999996,3473.399999999999,49.61999999999999,4,4
ELKGROVE_NG,ngcc,bus_23060,89.75,9.469954419325001,20.88,3,269.25,6282.5,89.75,4,4
FRESNONG_NG,ngcc,bus_23060,121.0,10.41918686687,40.9,3,363.0,8470.0,121.0,4,4
HANFORD_NG,ngcc,bus_23060,92.2,9.795189890327999,32.7,3,276.6,6454.0,92.2,4,4
HERALD_NG,ngcc,bus_23060,530.01,10.380478054249332,186.49,3,1590.03,37100.7,530.01,4,4
LEMOORE_NG,ngcc,bus_23060,98.0,9.808148105506001,23.5,3,294.0,6860.0,98.0,4,4
LODI_NG,ngcc,bus_23060,103.9,10.052215087774,12.12,3,311.70000000000005,7273.0,103.9,4,4
MODESTO_NG,ngcc,bus_23060,388.88,9.14403252701311,99.87,3,1166.6399999999999,27221.6,388.88,4,4
RIPON_NG,ngcc,bus_23060,170.5,6.299142469341334,47.7,3,511.5,11935.0,170.5,4,4
SANGER_NG,ngcc,bus_23060,97.7,7.052697217154999,31.930000000000003,3,293.1,6839.0,97.7,4,4
TURLOCK_NG,ngcc,bus_23060,374.4,9.779746798005666,102.49,3,1123.1999999999998,26208.0,374.4,4,4
ELKGROVE_NG_2,ngcc,bus_20136,35.75,9.752507869922,12.61,3,107.25,2502.5,35.75,4,4
LODI_NG_3,ngcc,bus_20136,54.8,9.096755877981998,14.73,3,164.39999999999998,3836.0,54.8,4,4
MAXWELL_NG,ngcc,bus_20136,741.01,10.4163383823735,198.23,3,2223.0299999999997,51870.7,741.01,4,4
MCCLELLAN_NG,ngcc,bus_20136,77.0,9.93093725428,23.9,3,231.0,5390.0,77.0,4,4
REDBLUFF_NG,ngcc,bus_20136,46.38000000000001,4.397917556995001,13.7,3,139.14000000000004,3246.600000000001,46.38000000000001,4,4
ROSEVILLE_NG,ngcc,bus_20136,164.01,9.954974057763334,45.03,3,492.03,11480.699999999999,164.01,4,4
SACRAMENTO_NG,ngcc,bus_20136,367.3,6.245829187448332,112.77,3,1101.9,25711.0,367.3,4,4
VACAVILLE_NG,ngcc,bus_20136,60.5,9.861822999728,26.37,3,181.5,4235.0,60.5,4,4
YUBACITY_NG,ngcc,bus_20136,894.8,8.868766313557554,309.23999999999995,3,2684.3999999999996,62636.0,894.8,4,4
CLATSKANIE_NG,ngcc,bus_10093,1324.52,7.970573130957412,354.8,3,3973.56,92716.4,1324.52,4,4
LONGVIEW_NG,ngcc,bus_10093,319.0,10.301255734653,62.46,3,957.0,22330.0,319.0,4,4
VANCOUVER_NG,ngcc,bus_10093,248.0,10.698787696118,115.79,3,744.0,17360.0,248.0,4,4
KEMMERER_C,coal,bus_50196,831.99,10.735834911186668,304.11,4,2495.9700000000003,58239.3,274.55670000000003,12,12
ANACONDA_NG,ngcc,bus_74132,67.7,9.890491011632,26.84,3,203.10000000000002,4739.0,67.7,4,4
BUTTE_NG,ngcc,bus_74132,54.9,7.516166583177666,14.64,3,164.7,3843.0,54.9,4,4
GREATFALLS_NG,ngcc,bus_74132,42.6,9.719518609516,6.6,3,127.80000000000001,2982.0,42.6,4,4
ANACONDA_NG_4,ngcc,bus_77001,135.4,4.945844080951,50.08,3,406.20000000000005,9478.0,135.4,4,4
BILLINGS_C,coal,bus_77001,240.8,10.768427062955,51.17,4,722.4000000000001,16856.0,79.46400000000001,12,12
COLSTRIP_C,coal,bus_77001,2318.1,11.251328714474,650.4300000000001,4,6954.299999999999,162267.0,764.973,12,12
HARDIN_C,coal,bus_77001,115.7,10.756295908170001,36.52,4,347.1,8099.0,38.181000000000004,12,12
ANACORTES_NG,ngcc,bus_10228,166.8,7.2501050701755005,46.7,3,500.40000000000003,11676.0,166.8,4,4
BLAINE_NG,ngcc,bus_10228,169.2,10.250942176307,54.89,3,507.59999999999997,11844.0,169.2,4,4
BURLINGTON_NG,ngcc,bus_10228,376.0,10.008464929412,118.95,3,1128.0,26320.0,376.0,4,4
CENTRALIA_C,coal,bus_10228,1459.8,11.070585857034999,669.44,4,4379.4,102186.0,481.734,12,12
CHEHALIS_NG,ngcc,bus_10228,698.01,10.546863143699333,212.9,3,2094.0299999999997,48860.7,698.01,4,4
