,Generator,Time,Value
0,CENTRALIA,1,1459.8
1,CENTRALIA,2,1459.8
2,CENTRALIA,3,1459.8
3,CENTRALIA,4,1459.8
4,CENTRALIA,5,1459.8
5,CENTRALIA,6,1459.8
6,CENTRALIA,7,1459.8
7,CENTRALIA,8,1459.8
8,CENTRALIA,9,1459.8
9,CENTRALIA,10,1459.8
10,CENTRALIA,11,1459.8
11,CENTRALIA,12,1459.8
12,CENTRALIA,13,1459.8
13,CENTRALIA,14,1459.8
14,CENTRALIA,15,1459.8
15,CENTRALIA,16,1459.8
16,CENTRALIA,17,1459.8
17,CENTRALIA,18,1459.8
18,CENTRALIA,19,1459.8
19,CENTRALIA,20,1459.8
20,CENTRALIA,21,1459.8
21,CENTRALIA,22,1459.8
22,CENTRALIA,23,1459.8
23,CENTRALIA,24,1459.8
24,SANJOSE,1,393.4
25,SANJOSE,2,393.4
26,SANJOSE,3,393.4
27,SANJOSE,4,393.4
28,SANJOSE,5,393.4
29,SANJOSE,6,393.4
30,SANJOSE,7,393.4
31,SANJOSE,8,393.4
32,SANJOSE,9,393.4
33,SANJOSE,10,393.4
34,SANJOSE,11,393.4
35,SANJOSE,12,393.4
36,SANJOSE,13,393.4
37,SANJOSE,14,393.4
38,SANJOSE,15,393.4
39,SANJOSE,16,393.4
40,SANJOSE,17,393.4
41,SANJOSE,18,393.4
42,SANJOSE,19,393.4
43,SANJOSE,20,393.4
44,SANJOSE,21,393.4
45,SANJOSE,22,393.4
46,SANJOSE,23,393.4
47,SANJOSE,24,393.4
48,OAKLAND,1,223.5
49,OAKLAND,2,223.5
50,OAKLAND,3,223.5
51,OAKLAND,4,223.5
52,OAKLAND,5,223.5
53,OAKLAND,6,223.5
54,OAKLAND,7,223.5
55,OAKLAND,8,223.5
56,OAKLAND,9,223.5
57,OAKLAND,10,223.5
58,OAKLAND,11,223.5
59,OAKLAND,12,223.5
60,OAKLAND,13,223.5
61,OAKLAND,14,223.5
62,OAKLAND,15,223.5
63,OAKLAND,16,223.5
64,OAKLAND,17,223.5
65,OAKLAND,18,223.5
66,OAKLAND,19,223.5
67,OAKLAND,20,223.5
68,OAKLAND,21,223.5
69,OAKLAND,22,223.5
70,OAKLAND,23,223.5
71,OAKLAND,24,223.5
72,BAKERSFIELD,1,84.2
73,BAKERSFIELD,2,84.2
74,BAKERSFIELD,3,84.2
75,BAKERSFIELD,4,84.2
76,BAKERSFIELD,5,84.2
77,BAKERSFIELD,6,84.2
78,BAKERSFIELD,7,84.2
79,BAKERSFIELD,8,84.2
80,BAKERSFIELD,9,84.2
81,BAKERSFIELD,10,84.2
82,BAKERSFIELD,11,84.2
83,BAKERSFIELD,12,84.2
84,BAKERSFIELD,13,84.2
