MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,FULTON_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro
272.1355262,32.8,604.8,6,701,1650.81747,628.4,274.0064542
268,22,403.2,9,701,1848.338068,471.2,205.0064542
268,22,403.2,12,1051.4,1478.738068,314,138
268,22,403.2,15,1401.8,1209.204379,314,138
268,22,403.2,15,1401.8,1578.804379,314,138
268,22,403.2,12,1051.4,1209.204379,314,138
268,22,419.5895218,9,701,1277.793295,471.2,207
268,22,621.1895218,6,701,1379.300527,628.4,276
401.8,32.8,822.7895218,6,701,1612.913522,785.6,345
387.1281306,43.6,1024.389522,6,701,1834.853765,942.8,414
353.7110712,43.925,1225.989522,6,701,2011.155976,952.8019073,419.9231851
487.5110712,52.8,1427.589522,6,701,2038.959837,795.6019073,350.9231851
353.7110712,42,1350.7,6,701,2044.372803,638.4019073,281.9231851
438.4963549,31.2,1149.1,8.35126,701,2413.972803,481.2019073,212.9231851
572.2963549,42,947.5,11.35126,1051.4,2783.572803,324.0019073,143.9231851
706.0963549,52.8,1149.1,14.35126,1401.8,2813.462148,314,212.9231851
839.8963549,63.6,1350.7,11.35126,1752.2,2611.0729,471.2,281.9231851
973.6963549,74.4,1552.3,8.35126,1936.7,2672.737474,628.4,350.9231851
1107.496355,85.2,1753.9,6,1586.3,2581.576767,785.6,419.9231851
1165.8,96,1753.9,6,1235.9,2353.466755,942.8,488.9231851
1032,85.2,1643.640717,6,885.5,2495.944789,1023.381991,419.9231851
898.2,74.4,1442.040717,6,701,2126.344789,866.1819908,350.9231851
764.4,63.6,1240.440717,9,701,1756.744789,708.9819908,281.9231851
630.6,52.8,1038.840717,6,701,1922.74914,551.7819908,212.9231851
496.8,42,837.2407173,9,701,2292.34914,394.5819908,143.9231851
363,31.2,635.6407173,12,945.0614692,2661.94914,314,138
268,22,446.3,13.9,1236.350911,3031.54914,314,138
268,22,647.9,12.4,885.9509111,2812.368729,314,138
268,22,706.0523105,15.4,1051.4,2442.768729,314,138
268,22,907.6523105,12.4,701,2073.168729,314,138
268,22,1109.25231,9.4,701,1933.175086,314,138
401.8,32.8,1310.85231,6.4,1051.4,2219.792365,314,138
535.6,43.6,1512.45231,6,1401.8,1967.552394,314,207
669.4,54.4,1714.05231,6,1752.2,1834.575296,471.2,276
770.4456225,65.2,1753.9,6,2102.6,1967.059325,336.4275302,284.9839383
636.6456225,57.07440346,1753.9,6,1752.2,2110.555397,314,215.9839383
535.6,60.16794236,1753.9,6,1424.833816,2221.122869,314,146.9839383
401.8,49.36794236,1753.9,6,1074.433816,2236.529985,314,138
268,38.56794236,1753.9,6,724.0338155,1972.846732,377.9330958,207
