,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
0,1240,AZ,Actus Lend Lease DMAFB,58632,1,0,OP,PV,SUN,3,0.171,4481,2210,Distributed from 923 Generation And Fuel,2009,,TEPC,Tucson Electric Power Co,32.1825,-110.863333,Arizona,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,1241,AZ,Agua Caliente Solar Project,57373,AGU1,0,OP,PV,SUN,90.7,0.244,193955.833,90641.829,Distributed from 923 Generation And Fuel,2012,,CISO,San Diego Gas & Electric Co,32.9774,-113.4945,Arizona,0.0,0.0,0.0,0.0,0.0,90.7,0.0,0.0,0.0,0.0
2,1242,AZ,Agua Caliente Solar Project,57373,AGU2,0,OP,PV,SUN,136,0.244,290826.828,135912.775,Distributed from 923 Generation And Fuel,2012,,CISO,San Diego Gas & Electric Co,32.9774,-113.4945,Arizona,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0
3,1243,AZ,Agua Caliente Solar Project,57373,AGU3,0,OP,PV,SUN,121,0.244,258750.339,120922.396,Distributed from 923 Generation And Fuel,2014,,CISO,San Diego Gas & Electric Co,32.9774,-113.4945,Arizona,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0
4,1245,AZ,Agua Fria,141,AF1,1,OP,ST,NG,113.6,0.02,19839,20818,EIA-923 Generator File,1958,,SRP,Salt River Project,33.5561,-112.2153,Arizona,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1246,AZ,Agua Fria,141,AF2,1,OP,ST,NG,113.6,0.027,26480,22830,EIA-923 Generator File,1957,,SRP,Salt River Project,33.5561,-112.2153,Arizona,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1247,AZ,Agua Fria,141,AF3,1,OP,ST,NG,163.2,0.027,38612,32860,EIA-923 Generator File,1961,,SRP,Salt River Project,33.5561,-112.2153,Arizona,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1248,AZ,Agua Fria,141,AF4,0,OP,GT,NG,80.5,,-83.064,128.569,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1975,,SRP,Salt River Project,33.5561,-112.2153,Arizona,0.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1249,AZ,Agua Fria,141,AF5,0,OP,GT,NG,71.2,,-73.468,113.716,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1974,,SRP,Salt River Project,33.5561,-112.2153,Arizona,0.0,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1250,AZ,Agua Fria,141,AF6,0,OP,GT,NG,71.2,,-73.468,113.716,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1974,,SRP,Salt River Project,33.5561,-112.2153,Arizona,0.0,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
