,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
0,7979,ID,Albeni Falls,851,1,0,OP,HY,WAT,14,0.566,69466.667,33851,Distributed from 923 Generation And Fuel,1955,,BPAT,Bonneville Power Administration,48.180245,-116.99859,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
1,7980,ID,Albeni Falls,851,2,0,OP,HY,WAT,14,0.566,69466.667,33851,Distributed from 923 Generation And Fuel,1955,,BPAT,Bonneville Power Administration,48.180245,-116.99859,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
2,7981,ID,Albeni Falls,851,3,0,OP,HY,WAT,14,0.566,69466.667,33851,Distributed from 923 Generation And Fuel,1955,,BPAT,Bonneville Power Administration,48.180245,-116.99859,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
3,7982,ID,Amalgamated Sugar LLC Nampa,54690,2250,0,OP,ST,NG,2.2,0.977,18827,6723.07836781609,EIA-923 Generator File,1948,,IPCO,Idaho Power Co,43.6058,-116.5753,Idaho,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7984,ID,Amalgamated Sugar LLC Nampa,54690,6500,0,OP,ST,NG,6,0.665,34966,18335.6682758621,EIA-923 Generator File,1968,,IPCO,Idaho Power Co,43.6058,-116.5753,Idaho,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7985,ID,Amalgamated Sugar Twin Falls,10504,1500,2,OP,ST,BIT,1.5,0.409,5371.918,821,EIA-923 Generator File,1948,,IPCO,Idaho Power Co,42.5328,-114.4328,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
6,7986,ID,Amalgamated Sugar Twin Falls,10504,2500,2,OP,ST,BIT,2.5,0.63,13802.393,3587,EIA-923 Generator File,1948,,IPCO,Idaho Power Co,42.5328,-114.4328,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
7,7987,ID,Amalgamated Sugar Twin Falls,10504,4000,1,OP,ST,BIT,6.2,0.604,32797.127,11727,EIA-923 Generator File,1994,,IPCO,Idaho Power Co,42.5328,-114.4328,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
8,7988,ID,American Falls,809,1,0,OP,HY,WAT,30.8,0.301,81126.333,39533,Distributed from 923 Generation And Fuel,1978,,IPCO,Idaho Power Co,42.7778,-112.8764,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0
9,7989,ID,American Falls,809,2,0,OP,HY,WAT,30.8,0.301,81126.333,39533,Distributed from 923 Generation And Fuel,1978,,IPCO,Idaho Power Co,42.7778,-112.8764,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0
10,7990,ID,American Falls,809,3,0,OP,HY,WAT,30.8,0.301,81126.333,39533,Distributed from 923 Generation And Fuel,1978,,IPCO,Idaho Power Co,42.7778,-112.8764,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0
11,7993,ID,Anderson Ranch,6395,1,0,OP,HY,WAT,20,0.415,72697,35425.5,Distributed from 923 Generation And Fuel,1950,,BPAT,Bonneville Power Administration,43.357066,-115.451517,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
12,7994,ID,Anderson Ranch,6395,2,0,OP,HY,WAT,20,0.415,72697,35425.5,Distributed from 923 Generation And Fuel,1951,,BPAT,Bonneville Power Administration,43.357066,-115.451517,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
13,7995,ID,Arrowrock Hydroelectric Project,56997,1,0,OP,HY,WAT,7.5,0.508,33402.5,16277,Distributed from 923 Generation And Fuel,2010,,IPCO,Idaho Power Co,43.595,-115.9233,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
14,7996,ID,Arrowrock Hydroelectric Project,56997,2,0,OP,HY,WAT,7.5,0.508,33402.5,16277,Distributed from 923 Generation And Fuel,2010,,IPCO,Idaho Power Co,43.595,-115.9233,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
15,7997,ID,Ashton,825,1,0,OP,HY,WAT,2.7,0.49,11597.507,5651.463,Distributed from 923 Generation And Fuel,1917,,PACE,PacifiCorp,44.07863,-111.497326,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0
16,7998,ID,Ashton,825,2,0,OP,HY,WAT,2,0.49,8590.746,4186.269,Distributed from 923 Generation And Fuel,1925,,PACE,PacifiCorp,44.07863,-111.497326,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
17,7999,ID,Ashton,825,3,0,OP,HY,WAT,2,0.49,8590.746,4186.269,Distributed from 923 Generation And Fuel,1925,,PACE,PacifiCorp,44.07863,-111.497326,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
18,8000,ID,Bannock County LFG to Energy,59529,GEN1,0,OP,IC,LFG,1.6,0.777,10884,4570,Distributed from 923 Generation And Fuel,2014,,IPCO,Idaho Power Co,42.787778,-112.365556,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
19,8001,ID,Barber Dam,10735,GEN1,0,OP,HY,WAT,4.1,0.339,12163,5927,Distributed from 923 Generation And Fuel,1990,,IPCO,Idaho Power Co,43.561001,-116.121269,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0
20,8002,ID,Bennett Creek Windfarm LLC,56637,1,0,OP,WT,WND,21,0.243,44697,14950,Distributed from 923 Generation And Fuel,2008,,IPCO,Idaho Power Co,43.0536,-115.4803,Idaho,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
21,8003,ID,Bennett Mountain,55733,1,0,OP,GT,NG,172.8,0.068,103240,89319,Distributed from 923 Generation And Fuel,2005,,IPCO,Idaho Power Co,43.147153,-115.666637,Idaho,0.0,172.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8006,ID,Big Sky Dairy Digester,57393,GEN1,0,OP,IC,OBG,0.8,0.62,4346,1824.5,Distributed from 923 Generation And Fuel,2009,,IPCO,Idaho Power Co,42.8656,-114.7914,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
23,8007,ID,Big Sky Dairy Digester,57393,GEN2,0,OP,IC,OBG,0.8,0.62,4346,1824.5,Distributed from 923 Generation And Fuel,2009,,IPCO,Idaho Power Co,42.8656,-114.7914,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
24,8008,ID,Birch Creek Power,10140,GEN1,0,OP,HY,WAT,2.6,0.497,11317,5515,Distributed from 923 Generation And Fuel,1986,,PACE,PacifiCorp,44.027444,-112.719439,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0
